# c, p(c)
0.000000000000000000e+00,0.000000000000000000e+00
5.025125628140703592e-03,9.119543528533809836e-11
1.005025125628140718e-02,4.912067349542541833e-11
1.507537688442210991e-02,3.440176685572350433e-11
2.010050251256281437e-02,2.680539030628664103e-11
2.512562814070351883e-02,2.213631550216646656e-11
3.015075376884421982e-02,1.896194781893069226e-11
3.517587939698492427e-02,1.665665795200024092e-11
4.020100502512562873e-02,1.490270212260603583e-11
4.522613065326633319e-02,1.352116054926492242e-11
5.025125628140703765e-02,1.240339600225992160e-11
5.527638190954774211e-02,1.147953271817934778e-11
6.030150753768843963e-02,1.070253168747197825e-11
6.532663316582915103e-02,1.003953525823584632e-11
7.035175879396984855e-02,9.466878774459802033e-12
7.537688442211055995e-02,8.967073894821891278e-12
8.040201005025125747e-02,8.526909319463027946e-12
8.542713567839195499e-02,8.136213411197077519e-12
9.045226130653266639e-02,7.787023954292098766e-12
9.547738693467336391e-02,7.473016635359959028e-12
1.005025125628140753e-01,7.189102671499206516e-12
1.055276381909547728e-01,6.931139825139746862e-12
1.105527638190954842e-01,6.695721133668059881e-12
1.155778894472361817e-01,6.480017972219843266e-12
1.206030150753768793e-01,6.281661786841912327e-12
1.256281407035175768e-01,6.098653798229056636e-12
1.306532663316583021e-01,5.929295235728733139e-12
1.356783919597989996e-01,5.772132843583708615e-12
1.407035175879396971e-01,5.625915888299748723e-12
1.457286432160803946e-01,5.489561925546534737e-12
1.507537688442211199e-01,5.362129308418965407e-12
1.557788944723618174e-01,5.242794934176759219e-12
1.608040201005025149e-01,5.130836098269738236e-12
1.658291457286432125e-01,5.025615595712491887e-12
1.708542713567839100e-01,4.926569409995928137e-12
1.758793969849246352e-01,4.833196478872008647e-12
1.809045226130653328e-01,4.745050138564910160e-12
1.859296482412060303e-01,4.661730933145081791e-12
1.909547738693467278e-01,4.582880541006721806e-12
1.959798994974874531e-01,4.508176620693404454e-12
2.010050251256281506e-01,4.437328417413914824e-12
2.060301507537688481e-01,4.370073002190849540e-12
2.110552763819095456e-01,4.306172039693384083e-12
2.160804020100502432e-01,4.245408999919565581e-12
2.211055276381909684e-01,4.187586744137425338e-12
2.261306532663316660e-01,4.132525427720817710e-12
2.311557788944723635e-01,4.080060672374972084e-12
2.361809045226130610e-01,4.030041968237720531e-12
2.412060301507537585e-01,3.982331272850743627e-12
2.462311557788944838e-01,3.936801779320914610e-12
2.512562814070351536e-01,3.893336830369214244e-12
2.562814070351758788e-01,3.851828958577975999e-12
2.613065326633166041e-01,3.812179036142157042e-12
2.663316582914572739e-01,3.774295519922246014e-12
2.713567839195979992e-01,3.738093779677903907e-12
2.763819095477387244e-01,3.703495499106266839e-12
2.814070351758793942e-01,3.670428140776624649e-12
2.864321608040201195e-01,3.638824467292124860e-12
2.914572864321607892e-01,3.608622112058414026e-12
2.964824120603015145e-01,3.579763193930411920e-12
3.015075376884422398e-01,3.552193970768080075e-12
3.065326633165829096e-01,3.525864527581332081e-12
3.115577889447236348e-01,3.500728495500890443e-12
3.165829145728643046e-01,3.476742798290558550e-12
3.216080402010050299e-01,3.453867423529140627e-12
3.266331658291457551e-01,3.432065215947255007e-12
3.316582914572864249e-01,3.411301690713976322e-12
3.366834170854271502e-01,3.391544864737675711e-12
3.417085427135678199e-01,3.372765104280623698e-12
3.467336683417085452e-01,3.354934987392835859e-12
3.517587939698492705e-01,3.338029179851598867e-12
3.567839195979899403e-01,3.322024323452678378e-12
3.618090452261306655e-01,3.306898935640569642e-12
3.668341708542713353e-01,3.292633319590823008e-12
3.718592964824120606e-01,3.279209483969880544e-12
3.768844221105527859e-01,3.266611071698904501e-12
3.819095477386934556e-01,3.254823297139478524e-12
3.869346733668341809e-01,3.243832891202421217e-12
3.919597989949749062e-01,3.233628053957490454e-12
3.969849246231155759e-01,3.224198414392847560e-12
4.020100502512563012e-01,3.215534997039677896e-12
4.070351758793969710e-01,3.207630195240603340e-12
4.120603015075376963e-01,3.200477750901134542e-12
4.170854271356784215e-01,3.194072740622577232e-12
4.221105527638190913e-01,3.188411568173182926e-12
4.271356783919598166e-01,3.183491963312971242e-12
4.321608040201004863e-01,3.179312987047365212e-12
4.371859296482412116e-01,3.175875043446493136e-12
4.422110552763819369e-01,3.173179898231853739e-12
4.472361809045226066e-01,3.171230704400919946e-12
4.522613065326633319e-01,3.170032035234520261e-12
4.572864321608040017e-01,3.169589925112812395e-12
4.623115577889447270e-01,3.169911918654813511e-12
4.673366834170854522e-01,3.171007128795642835e-12
4.723618090452261220e-01,3.172886304526882125e-12
4.773869346733668473e-01,3.175561909151180035e-12
4.824120603015075170e-01,3.179048210045230105e-12
4.874371859296482423e-01,3.183361381089031449e-12
4.924623115577889676e-01,3.188519619107724324e-12
4.974874371859296374e-01,3.194543275890394609e-12
5.025125628140703071e-01,3.201455007603603643e-12
5.075376884422110324e-01,3.209279943713339098e-12
5.125628140703517577e-01,3.218045877876095728e-12
5.175879396984924830e-01,3.227783483668419632e-12
5.226130653266332082e-01,3.238526558507472994e-12
5.276381909547738225e-01,3.250312299688969009e-12
5.326633165829145478e-01,3.263181617152920387e-12
5.376884422110552730e-01,3.277179488406889727e-12
5.427135678391959983e-01,3.292355362021561710e-12
5.477386934673367236e-01,3.308763617303549489e-12
5.527638190954774489e-01,3.326464089194608208e-12
5.577889447236180631e-01,3.345522669207636252e-12
5.628140703517587884e-01,3.366011995368377508e-12
5.678391959798995137e-01,3.388012246791196269e-12
5.728643216080402389e-01,3.411612061812233066e-12
5.778894472361809642e-01,3.436909602709358117e-12
5.829145728643215785e-01,3.464013795187339676e-12
5.879396984924623037e-01,3.493045777305965007e-12
5.929648241206030290e-01,3.524140600790509117e-12
5.979899497487437543e-01,3.557449238245355887e-12
6.030150753768844796e-01,3.593140963453963334e-12
6.080402010050250938e-01,3.631406189744471383e-12
6.130653266331658191e-01,3.672459874802789533e-12
6.180904522613065444e-01,3.716545631414576281e-12
6.231155778894472697e-01,3.763940725428971735e-12
6.281407035175879949e-01,3.814962199189666923e-12
6.331658291457286092e-01,3.869974437425034793e-12
6.381909547738693345e-01,3.929398603391719804e-12
6.432160804020100597e-01,3.993724532304349997e-12
6.482412060301507850e-01,4.063525904085231595e-12
6.532663316582915103e-01,4.139479876652046065e-12
6.582914572864321245e-01,4.222392937668326230e-12
6.633165829145728498e-01,4.313235729837335524e-12
6.683417085427135751e-01,4.413191546483087929e-12
6.733668341708543004e-01,4.523727809325891199e-12
6.783919597989950256e-01,4.646715271928456559e-12
6.834170854271356399e-01,4.784715670930682715e-12
6.884422110552763652e-01,4.938196144575139820e-12
6.934673366834170904e-01,5.113155430664774950e-12
6.984924623115578157e-01,5.312113284874645411e-12
7.035175879396985410e-01,5.543015493946217467e-12
7.085427135678391553e-01,5.814308958546744210e-12
7.135678391959798805e-01,6.136980424297581702e-12
7.185929648241206058e-01,6.526732071681586839e-12
7.236180904522613311e-01,7.007532263579668026e-12
7.286432160804020564e-01,7.605687565333948127e-12
7.336683417085426706e-01,8.339796446391816395e-12
7.386934673366833959e-01,9.270493691278761493e-12
7.437185929648241212e-01,1.021929682783135853e-11
7.487437185929648464e-01,1.066565226749928009e-11
7.537688442211055717e-01,6.632341210967257229e-12
7.587939698492462970e-01,1.997500986278007944e-12
7.638190954773869112e-01,4.786843673068801587e-13
7.688442211055276365e-01,1.456609724751590536e-13
7.738693467336683618e-01,3.949122107902020182e-14
7.788944723618090871e-01,1.366898857355575181e-14
7.839195979899498123e-01,3.155498057891615850e-15
7.889447236180904266e-01,9.735018832507399893e-16
7.939698492462311519e-01,0.000000000000000000e+00
7.989949748743718771e-01,0.000000000000000000e+00
8.040201005025126024e-01,0.000000000000000000e+00
