# log(rho), p(log(rho))
-4.605170185988090914e+00,9.756355938175229759e-08
-4.582121286158320927e+00,1.056963068568656305e-07
-4.559072386328550053e+00,1.160753927965751331e-07
-4.536023486498780066e+00,1.279261092249862463e-07
-4.512974586669010080e+00,1.395604078672491696e-07
-4.489925686839240093e+00,1.558451123562418210e-07
-4.466876787009469219e+00,1.746110970257897268e-07
-4.443827887179699232e+00,1.950347771214780085e-07
-4.420778987349929245e+00,2.152808709632315595e-07
-4.397730087520159259e+00,2.351126926734913184e-07
-4.374681187690388384e+00,2.556537369408772522e-07
-4.351632287860618398e+00,2.778468644576241307e-07
-4.328583388030848411e+00,3.062324013182020988e-07
-4.305534488201077536e+00,3.351922032601258529e-07
-4.282485588371307550e+00,3.635248763975996159e-07
-4.259436688541537563e+00,3.980779972332175140e-07
-4.236387788711767577e+00,4.334383761296369439e-07
-4.213338888881996702e+00,4.686398077897382434e-07
-4.190289989052226716e+00,5.074986979512259901e-07
-4.167241089222456729e+00,5.531222346694881941e-07
-4.144192189392686743e+00,6.006864241985518409e-07
-4.121143289562915868e+00,6.579950737099336869e-07
-4.098094389733145881e+00,7.184527606883814900e-07
-4.075045489903375895e+00,7.903482179380160091e-07
-4.051996590073605020e+00,8.642924798014501454e-07
-4.028947690243835034e+00,9.509974872766073658e-07
-4.005898790414065047e+00,1.036660246995255625e-06
-3.982849890584295061e+00,1.133850087506798821e-06
-3.959800990754524630e+00,1.234137863789255760e-06
-3.936752090924754199e+00,1.338778188939144676e-06
-3.913703191094984213e+00,1.476972746877300007e-06
-3.890654291265213782e+00,1.603691906012437264e-06
-3.867605391435443796e+00,1.738201157097565916e-06
-3.844556491605673365e+00,1.898379029655787474e-06
-3.821507591775903379e+00,2.041171748084142183e-06
-3.798458691946132948e+00,2.224965763054419200e-06
-3.775409792116362517e+00,2.436861191682254391e-06
-3.752360892286592531e+00,2.684530424514113550e-06
-3.729311992456822544e+00,2.955717806384470725e-06
-3.706263092627052114e+00,3.197381350535836836e-06
-3.683214192797281683e+00,3.484793044924053060e-06
-3.660165292967511697e+00,3.776325849235408473e-06
-3.637116393137741266e+00,4.090654885671740535e-06
-3.614067493307971279e+00,4.384619869834325221e-06
-3.591018593478200849e+00,4.761684277956012322e-06
-3.567969693648430862e+00,5.192836367993473893e-06
-3.544920793818660432e+00,5.659853660716890408e-06
-3.521871893988890001e+00,6.168507828670944453e-06
-3.498822994159120015e+00,6.731576674154680010e-06
-3.475774094329350028e+00,7.268872614119983863e-06
-3.452725194499579597e+00,7.883100919273789437e-06
-3.429676294669809167e+00,8.567598934250557938e-06
-3.406627394840039180e+00,9.244358714631842436e-06
-3.383578495010269194e+00,9.996502144923737784e-06
-3.360529595180498763e+00,1.073835318673076643e-05
