# time, lyapunov_exponent_2
3.000000000000000062e-03,4.234036160338002647e-02
6.000000000000000125e-03,8.530729267381381709e-02
1.200000000000000025e-02,1.715419009047740584e-01
2.400000000000000050e-02,3.453395087894544635e-01
4.800000000000000100e-02,6.791349138726490153e-01
9.600000000000000200e-02,1.252851282512701392e+00
1.920000000000000040e-01,1.855201559971029202e+00
3.840000000000000080e-01,2.016716797097293679e+00
7.680000000000000160e-01,2.084632133646124430e+00
1.536000000000000032e+00,2.073791135581826595e+00
3.072000000000000064e+00,2.022126772124398730e+00
6.144000000000000128e+00,1.861123120873317216e+00
9.215999999999999304e+00,1.906015169265607323e+00
