# time, c_var
2.000000000000000042e-03,8.894349701526402958e-11
4.000000000000000083e-03,2.223513628584364492e-09
1.600000000000000033e-02,5.174789825784776460e-09
3.200000000000000067e-02,3.984514777379091587e-09
6.400000000000000133e-02,2.834507631216035691e-09
1.280000000000000027e-01,1.823993892948624451e-09
2.560000000000000053e-01,9.985624823734394621e-10
5.120000000000000107e-01,4.159530562332065669e-10
1.024000000000000021e+00,1.022789117745378620e-10
2.048000000000000043e+00,8.079693153286590601e-12
4.096000000000000085e+00,8.577908987625691942e-14
8.192000000000000171e+00,nan
