# time, c_var
8.000000000000000167e-03,4.858717802956796877e-09
1.600000000000000033e-02,4.662930755023759418e-09
3.200000000000000067e-02,4.056372780800835014e-09
6.400000000000000133e-02,2.925272425788448830e-09
1.280000000000000027e-01,2.043125296983031500e-09
2.560000000000000053e-01,1.304445824016696793e-09
5.120000000000000107e-01,7.359177999493851285e-10
1.024000000000000021e+00,3.117474131580516312e-10
2.048000000000000043e+00,7.003751544728330302e-11
4.096000000000000085e+00,5.046260123192250104e-12
8.192000000000000171e+00,5.704975284149548547e-14
