# c, p(c)
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,7.826690516695205752e-07
2.020202020202020374e-02,4.315805213001358956e-07
3.030303030303030387e-02,3.078511251493261896e-07
4.040404040404040747e-02,2.437514666376284757e-07
5.050505050505051108e-02,2.042859947317740094e-07
6.060606060606060774e-02,1.774529692053905749e-07
7.070707070707071829e-02,1.579935262188192950e-07
8.080808080808081495e-02,1.432295083780791727e-07
9.090909090909091161e-02,1.316494850666726654e-07
1.010101010101010222e-01,1.223340989919421000e-07
1.111111111111111188e-01,1.146912338453278725e-07
1.212121212121212155e-01,1.083219693837855219e-07
1.313131313131313260e-01,1.029476055166340477e-07
1.414141414141414366e-01,9.836754413073202925e-08
1.515151515151515194e-01,9.443378842388645068e-08
1.616161616161616299e-01,9.103487425458250252e-08
1.717171717171717404e-01,8.808539730042496590e-08
1.818181818181818232e-01,8.551898823385351061e-08
1.919191919191919338e-01,8.328348363321730429e-08
2.020202020202020443e-01,8.133753651636569196e-08
2.121212121212121271e-01,7.964819596814325879e-08
2.222222222222222376e-01,7.818915535445041891e-08
2.323232323232323482e-01,7.693947298179345710e-08
2.424242424242424310e-01,7.588263499370100448e-08
2.525252525252525415e-01,7.500587316166777151e-08
2.626262626262626521e-01,7.429967899587601877e-08
2.727272727272727626e-01,7.375747568966169593e-08
2.828282828282828731e-01,7.337542424495481766e-08
2.929292929292929282e-01,7.315235201544893984e-08
3.030303030303030387e-01,7.308980259450335964e-08
3.131313131313131493e-01,7.319221702950773364e-08
3.232323232323232598e-01,7.346726949719309517e-08
3.333333333333333703e-01,7.392639815677526109e-08
3.434343434343434809e-01,7.458559750280295053e-08
3.535353535353535914e-01,7.546657820275295429e-08
3.636363636363636465e-01,7.659846488537281934e-08
3.737373737373737570e-01,7.802031180051198836e-08
3.838383838383838675e-01,7.978491036603440958e-08
3.939393939393939781e-01,8.196472378706200290e-08
4.040404040404040886e-01,8.466149479539417739e-08
4.141414141414141992e-01,8.802257051025478688e-08
4.242424242424242542e-01,9.227043098051802396e-08
4.343434343434343647e-01,9.776080622106363033e-08
4.444444444444444753e-01,1.051123351523906962e-07
4.545454545454545858e-01,1.155291989781482529e-07
4.646464646464646964e-01,1.310129457668165935e-07
4.747474747474748069e-01,1.507072824161213910e-07
4.848484848484848619e-01,1.564069773482096610e-07
4.949494949494949725e-01,9.554373693935294124e-08
5.050505050505050830e-01,1.556515913366277033e-08
5.151515151515152491e-01,7.397361162035010904e-10
5.252525252525253041e-01,1.207224382603701352e-11
5.353535353535353591e-01,0.000000000000000000e+00
5.454545454545455252e-01,0.000000000000000000e+00
5.555555555555555802e-01,0.000000000000000000e+00
5.656565656565657463e-01,0.000000000000000000e+00
5.757575757575758013e-01,0.000000000000000000e+00
5.858585858585858563e-01,0.000000000000000000e+00
5.959595959595960224e-01,0.000000000000000000e+00
6.060606060606060774e-01,0.000000000000000000e+00
6.161616161616162435e-01,0.000000000000000000e+00
6.262626262626262985e-01,0.000000000000000000e+00
6.363636363636364646e-01,0.000000000000000000e+00
6.464646464646465196e-01,0.000000000000000000e+00
6.565656565656565746e-01,0.000000000000000000e+00
6.666666666666667407e-01,0.000000000000000000e+00
6.767676767676767957e-01,0.000000000000000000e+00
6.868686868686869618e-01,0.000000000000000000e+00
6.969696969696970168e-01,0.000000000000000000e+00
7.070707070707071829e-01,0.000000000000000000e+00
7.171717171717172379e-01,0.000000000000000000e+00
7.272727272727272929e-01,0.000000000000000000e+00
7.373737373737374590e-01,0.000000000000000000e+00
7.474747474747475140e-01,0.000000000000000000e+00
7.575757575757576801e-01,0.000000000000000000e+00
7.676767676767677351e-01,0.000000000000000000e+00
7.777777777777777901e-01,0.000000000000000000e+00
7.878787878787879562e-01,0.000000000000000000e+00
7.979797979797980112e-01,0.000000000000000000e+00
8.080808080808081773e-01,0.000000000000000000e+00
8.181818181818182323e-01,0.000000000000000000e+00
8.282828282828283983e-01,0.000000000000000000e+00
8.383838383838384534e-01,0.000000000000000000e+00
8.484848484848485084e-01,0.000000000000000000e+00
8.585858585858586745e-01,0.000000000000000000e+00
8.686868686868687295e-01,0.000000000000000000e+00
8.787878787878788955e-01,0.000000000000000000e+00
8.888888888888889506e-01,0.000000000000000000e+00
8.989898989898991166e-01,0.000000000000000000e+00
9.090909090909091717e-01,0.000000000000000000e+00
9.191919191919192267e-01,0.000000000000000000e+00
9.292929292929293927e-01,0.000000000000000000e+00
9.393939393939394478e-01,0.000000000000000000e+00
9.494949494949496138e-01,0.000000000000000000e+00
9.595959595959596689e-01,0.000000000000000000e+00
9.696969696969697239e-01,0.000000000000000000e+00
9.797979797979798899e-01,0.000000000000000000e+00
9.898989898989899450e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
