# log(rho), p(log(rho))
-4.605170185988090914e+00,2.398613237113366942e-07
-4.582121286158320927e+00,2.544360782740070664e-07
-4.559072386328550053e+00,2.721352938644322997e-07
-4.536023486498780066e+00,2.947485254724663077e-07
-4.512974586669010080e+00,3.140259035861199868e-07
-4.489925686839240093e+00,3.346443248992776212e-07
-4.466876787009469219e+00,3.582619381139463882e-07
-4.443827887179699232e+00,3.882894231484081293e-07
-4.420778987349929245e+00,4.145897392110242976e-07
-4.397730087520159259e+00,4.520490338356183453e-07
-4.374681187690388384e+00,4.738053472107349032e-07
-4.351632287860618398e+00,5.101240344474451941e-07
-4.328583388030848411e+00,5.492267859499705712e-07
-4.305534488201077536e+00,5.829915693039499199e-07
-4.282485588371307550e+00,6.216061510054019323e-07
-4.259436688541537563e+00,6.671535013919735319e-07
-4.236387788711767577e+00,7.176169448505101978e-07
-4.213338888881996702e+00,7.664290318537524002e-07
-4.190289989052226716e+00,8.173217462924028638e-07
-4.167241089222456729e+00,8.754142979755357847e-07
-4.144192189392686743e+00,9.320541229277484723e-07
-4.121143289562915868e+00,1.031085107009593749e-06
-4.098094389733145881e+00,1.078032480572147008e-06
-4.075045489903375895e+00,1.123671285834755686e-06
-4.051996590073605020e+00,1.189134830983342259e-06
-4.028947690243835034e+00,1.259861991477970186e-06
-4.005898790414065047e+00,1.347720697186912895e-06
-3.982849890584295061e+00,1.436851482119785210e-06
-3.959800990754524630e+00,1.532498810588300661e-06
-3.936752090924754199e+00,1.648474745397074802e-06
-3.913703191094984213e+00,1.763988506689746329e-06
-3.890654291265213782e+00,1.888697916892876570e-06
-3.867605391435443796e+00,2.023447172634188803e-06
-3.844556491605673365e+00,2.159421931194760046e-06
-3.821507591775903379e+00,2.318131176179823715e-06
-3.798458691946132948e+00,2.481134358133730583e-06
-3.775409792116362517e+00,2.662595397364036825e-06
-3.752360892286592531e+00,2.835100636942883143e-06
-3.729311992456822544e+00,2.970874730267619880e-06
-3.706263092627052114e+00,3.158093037592609591e-06
-3.683214192797281683e+00,3.389407359498456671e-06
-3.660165292967511697e+00,3.658955489066042560e-06
-3.637116393137741266e+00,3.891423646073479405e-06
-3.614067493307971279e+00,4.109818443166597095e-06
-3.591018593478200849e+00,4.300865042540307718e-06
-3.567969693648430862e+00,4.584262253734102772e-06
-3.544920793818660432e+00,4.849588466431787325e-06
-3.521871893988890001e+00,5.264278427690762494e-06
-3.498822994159120015e+00,5.609903416838759094e-06
-3.475774094329350028e+00,5.946086109054888611e-06
-3.452725194499579597e+00,6.316304940577236555e-06
-3.429676294669809167e+00,6.685502483912909655e-06
-3.406627394840039180e+00,7.150884766682150801e-06
-3.383578495010269194e+00,7.578376533946133730e-06
-3.360529595180498763e+00,8.006418043696289489e-06
-3.337480695350728332e+00,8.476506946095931211e-06
-3.314431795520958346e+00,9.144894105713018359e-06
-3.291382895691188359e+00,9.697678983915553695e-06
-3.268333995861417485e+00,1.018693931419413987e-05
-3.245285096031647498e+00,1.093601321370047037e-05
-3.222236196201877512e+00,1.157579949868539351e-05
-3.199187296372107081e+00,1.231093183068007238e-05
-3.176138396542336650e+00,1.306248072101736643e-05
-3.153089496712566664e+00,1.382605709461187465e-05
-3.130040596882796677e+00,1.472840935281545760e-05
-3.106991697053026247e+00,1.565569357717240485e-05
-3.083942797223255816e+00,1.658984477057620131e-05
-3.060893897393485830e+00,1.747075380817397276e-05
-3.037844997563715843e+00,1.882018938414863169e-05
-3.014796097733945413e+00,1.963832057047343335e-05
-2.991747197904174982e+00,2.051428644958422712e-05
-2.968698298074404995e+00,2.148995205756625096e-05
-2.945649398244634565e+00,2.260751820496527232e-05
-2.922600498414864134e+00,2.407034979096269630e-05
-2.899551598585094148e+00,2.541146788968091583e-05
-2.876502698755324161e+00,2.710850067794070162e-05
-2.853453798925553730e+00,2.846536035926588461e-05
-2.830404899095783300e+00,2.988574277818194773e-05
-2.807355999266013313e+00,3.158261457327651649e-05
-2.784307099436243327e+00,3.349036141611543216e-05
-2.761258199606472896e+00,3.537198352172191363e-05
-2.738209299776702466e+00,3.774158707409567995e-05
-2.715160399946932479e+00,4.032095203984934709e-05
-2.692111500117162493e+00,4.369843482892868993e-05
-2.669062600287391618e+00,4.617153426985378349e-05
-2.646013700457621631e+00,4.956222047366723373e-05
-2.622964800627851645e+00,5.327783194878425542e-05
-2.599915900798081214e+00,5.629375747085230207e-05
-2.576867000968311228e+00,5.890291211088888556e-05
-2.553818101138540797e+00,6.191998995426259531e-05
-2.530769201308770366e+00,6.650318274179360428e-05
-2.507720301479000380e+00,7.136586826833734719e-05
-2.484671401649229949e+00,7.440600101678388487e-05
-2.461622501819459963e+00,7.769267058684232227e-05
-2.438573601989689532e+00,8.134451472038728317e-05
-2.415524702159919546e+00,8.517949205927043729e-05
-2.392475802330149115e+00,9.189136219185531579e-05
-2.369426902500379128e+00,9.452866847840513110e-05
-2.346378002670608698e+00,1.004497117265943810e-04
-2.323329102840838711e+00,1.062409650263398573e-04
-2.300280203011068281e+00,1.115789234314087128e-04
-2.277231303181298294e+00,1.178008486140408583e-04
-2.254182403351527864e+00,1.224066657862973027e-04
-2.231133503521757433e+00,1.287406207575508214e-04
-2.208084603691987446e+00,1.391187594920371647e-04
-2.185035703862217016e+00,1.450566140839560367e-04
-2.161986804032447029e+00,1.555422863837319645e-04
-2.138937904202676599e+00,1.698155277827480877e-04
-2.115889004372906612e+00,1.759736151684290046e-04
-2.092840104543136182e+00,1.874437318265592060e-04
-2.069791204713366195e+00,1.999665989851067294e-04
-2.046742304883595764e+00,2.122637726143296343e-04
-2.023693405053825778e+00,2.231112066142896817e-04
