# time, lyapunov_exponent
8.000000000000000167e-03,9.430610335368140584e-02
1.600000000000000033e-02,-8.181221907566550364e-03
3.200000000000000067e-02,5.659951997590213085e-02
6.400000000000000133e-02,1.553732036636407965e-01
1.280000000000000027e-01,3.457562931386939931e-01
2.560000000000000053e-01,6.382347524247221626e-01
5.120000000000000107e-01,8.634781523972192563e-01
1.024000000000000021e+00,1.065649432465133772e+00
2.048000000000000043e+00,1.195916915502133193e+00
4.096000000000000085e+00,1.233332930562916152e+00
8.192000000000000171e+00,1.223846261603379393e+00
