# time, lyapunov_exponent_2
8.000000000000000167e-03,3.327694246889349727e-02
1.600000000000000033e-02,6.516044344771645958e-02
3.200000000000000067e-02,1.274887190758321465e-01
6.400000000000000133e-02,2.458857980635575091e-01
1.280000000000000027e-01,4.613799570188771293e-01
2.560000000000000053e-01,7.753999378009126531e-01
5.120000000000000107e-01,9.864523048039985920e-01
1.024000000000000021e+00,1.156846146515119411e+00
2.048000000000000043e+00,1.240640406212632385e+00
4.096000000000000085e+00,1.236303485262548518e+00
8.192000000000000171e+00,1.166728835460767888e+00
