# c, p(c)
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,5.893317856003528261e-07
2.020202020202020374e-02,3.229991021495416473e-07
3.030303030303030387e-02,2.292724135887490229e-07
4.040404040404040747e-02,1.807379721911157704e-07
5.050505050505051108e-02,1.508499386420280951e-07
6.060606060606060774e-02,1.305132291063915293e-07
7.070707070707071829e-02,1.157455207638800161e-07
8.080808080808081495e-02,1.045198844552810049e-07
9.090909090909091161e-02,9.569286498712105789e-08
1.010101010101010222e-01,8.856908402977335781e-08
1.111111111111111188e-01,8.270067941346798357e-08
1.212121212121212155e-01,7.778583192197013895e-08
1.313131313131313260e-01,7.361353979761039646e-08
1.414141414141414366e-01,7.003175254274378743e-08
1.515151515151515194e-01,6.692807912256872228e-08
1.616161616161616299e-01,6.421763020721735363e-08
1.717171717171717404e-01,6.183509061210528194e-08
1.818181818181818232e-01,5.972939636598742409e-08
1.919191919191919338e-01,5.786006856234946026e-08
2.020202020202020443e-01,5.619463147492731647e-08
2.121212121212121271e-01,5.470675828951297987e-08
2.222222222222222376e-01,5.337491615612036766e-08
2.323232323232323482e-01,5.218136085753284523e-08
2.424242424242424310e-01,5.111138079358609695e-08
2.525252525252525415e-01,5.015272177893706314e-08
2.626262626262626521e-01,4.929514506418786782e-08
2.727272727272727626e-01,4.853008501855614509e-08
2.828282828282828731e-01,4.785038250020701965e-08
2.929292929292929282e-01,4.725007661399757433e-08
3.030303030303030387e-01,4.672424229068951130e-08
3.131313131313131493e-01,4.626886455574229899e-08
3.232323232323232598e-01,4.588074292556949422e-08
3.333333333333333703e-01,4.555742140059165341e-08
3.434343434343434809e-01,4.529714133125376108e-08
3.535353535353535914e-01,4.509881653177075178e-08
3.636363636363636465e-01,4.496203399666154549e-08
3.737373737373737570e-01,4.488709750240412419e-08
3.838383838383838675e-01,4.487522969796191160e-08
3.939393939393939781e-01,4.492523164030122013e-08
4.040404040404040886e-01,4.504192000272205443e-08
4.141414141414141992e-01,4.522869235111162941e-08
4.242424242424242542e-01,4.549006625857200765e-08
4.343434343434343647e-01,4.583194046106846549e-08
4.444444444444444753e-01,4.626207882576134200e-08
4.545454545454545858e-01,4.678784863640763653e-08
4.646464646464646964e-01,4.742426851194913638e-08
4.747474747474748069e-01,4.818089691764106420e-08
4.848484848484848619e-01,4.907525543489963651e-08
4.949494949494949725e-01,5.013429328406812420e-08
5.050505050505050830e-01,5.137864126797871964e-08
5.151515151515152491e-01,5.285231590526216125e-08
5.252525252525253041e-01,5.461417145363705800e-08
5.353535353535353591e-01,5.674019831000993680e-08
5.454545454545455252e-01,5.929296524723237936e-08
5.555555555555555802e-01,6.243508486676758726e-08
5.656565656565657463e-01,6.628013703673251276e-08
5.757575757575758013e-01,7.100798861791273775e-08
5.858585858585858563e-01,7.693725446020428056e-08
5.959595959595960224e-01,8.392238555071282619e-08
6.060606060606060774e-01,9.089936887468818625e-08
6.161616161616162435e-01,9.334134902013717327e-08
6.262626262626262985e-01,7.094720893738108800e-08
6.363636363636364646e-01,2.504005998456898917e-08
6.464646464646465196e-01,7.171615425859596046e-09
6.565656565656565746e-01,2.205786049720888243e-09
6.666666666666667407e-01,6.689233559147653458e-10
6.767676767676767957e-01,2.051196276981242904e-10
6.868686868686869618e-01,7.618245304049783514e-11
6.969696969696970168e-01,2.624372043669910562e-11
7.070707070707071829e-01,9.964561844082073996e-12
7.171717171717172379e-01,3.001399573338994543e-12
7.272727272727272929e-01,1.005045780930215360e-12
7.373737373737374590e-01,0.000000000000000000e+00
7.474747474747475140e-01,0.000000000000000000e+00
7.575757575757576801e-01,0.000000000000000000e+00
7.676767676767677351e-01,0.000000000000000000e+00
7.777777777777777901e-01,0.000000000000000000e+00
7.878787878787879562e-01,0.000000000000000000e+00
7.979797979797980112e-01,0.000000000000000000e+00
8.080808080808081773e-01,0.000000000000000000e+00
8.181818181818182323e-01,0.000000000000000000e+00
8.282828282828283983e-01,0.000000000000000000e+00
8.383838383838384534e-01,0.000000000000000000e+00
8.484848484848485084e-01,0.000000000000000000e+00
8.585858585858586745e-01,0.000000000000000000e+00
8.686868686868687295e-01,0.000000000000000000e+00
8.787878787878788955e-01,0.000000000000000000e+00
8.888888888888889506e-01,0.000000000000000000e+00
8.989898989898991166e-01,0.000000000000000000e+00
9.090909090909091717e-01,0.000000000000000000e+00
9.191919191919192267e-01,0.000000000000000000e+00
9.292929292929293927e-01,0.000000000000000000e+00
9.393939393939394478e-01,0.000000000000000000e+00
9.494949494949496138e-01,0.000000000000000000e+00
9.595959595959596689e-01,0.000000000000000000e+00
9.696969696969697239e-01,0.000000000000000000e+00
9.797979797979798899e-01,0.000000000000000000e+00
9.898989898989899450e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
