# time, log_rho_var
2.000000000000000042e-03,3.192792297613230489e-05
4.000000000000000083e-03,3.803990815057802215e-04
1.600000000000000033e-02,7.571357338086454579e-03
3.200000000000000067e-02,3.061357595202611470e-02
6.400000000000000133e-02,1.133685900513236172e-01
1.280000000000000027e-01,3.454171872583884362e-01
2.560000000000000053e-01,8.953851136196434579e-01
5.120000000000000107e-01,2.157946188238082819e+00
1.024000000000000021e+00,4.993607718543958462e+00
1.536000000000000032e+00,7.316380057593514508e+00
2.048000000000000043e+00,9.093202980929367740e+00
4.096000000000000085e+00,1.593354307111708756e+01
8.192000000000000171e+00,5.519328618809051079e+01
