# log(rho), p(log(rho))
-2.302585092994045901e+00,1.745870820841101401e-02
-2.288755753096183732e+00,1.760380309520057085e-02
-2.274926413198321562e+00,1.785049451870018844e-02
-2.261097073300459392e+00,1.805983086451988170e-02
-2.247267733402597223e+00,1.825551157430732249e-02
-2.233438393504735053e+00,1.839173511581188719e-02
-2.219609053606872884e+00,1.862818175955670980e-02
-2.205779713709011158e+00,1.878500994172517188e-02
-2.191950373811148989e+00,1.903754377223256661e-02
-2.178121033913286819e+00,1.916057493545701707e-02
-2.164291694015424650e+00,1.944637321840240324e-02
-2.150462354117562480e+00,1.952166180632407266e-02
-2.136633014219700311e+00,1.977172674157974541e-02
-2.122803674321838141e+00,2.003505871293068119e-02
-2.108974334423975971e+00,2.017826913744155681e-02
-2.095144994526113802e+00,2.037314871429138363e-02
-2.081315654628251632e+00,2.051320707856457010e-02
-2.067486314730389463e+00,2.069873668550216081e-02
-2.053656974832527293e+00,2.084066419946344062e-02
-2.039827634934665124e+00,2.103380037777286687e-02
-2.025998295036803398e+00,2.128651546360187108e-02
-2.012168955138941229e+00,2.158346719141199938e-02
-1.998339615241078837e+00,2.173842503478630103e-02
-1.984510275343216890e+00,2.192506755745218805e-02
-1.970680935445354720e+00,2.221643326973796184e-02
-1.956851595547492551e+00,2.238183657549957031e-02
-1.943022255649630381e+00,2.263241730065523177e-02
-1.929192915751768211e+00,2.289339387713412374e-02
-1.915363575853906042e+00,2.315218679387380171e-02
-1.901534235956043872e+00,2.357098061382446180e-02
-1.887704896058181703e+00,2.382973880357747848e-02
-1.873875556160319533e+00,2.404057467838617568e-02
-1.860046216262457586e+00,2.435592290759895640e-02
-1.846216876364595416e+00,2.455934352765528836e-02
-1.832387536466733247e+00,2.492266289484490471e-02
-1.818558196568871077e+00,2.504135500352822064e-02
-1.804728856671008907e+00,2.543090005910479678e-02
-1.790899516773146960e+00,2.575200570285225005e-02
-1.777070176875284790e+00,2.600880464084555366e-02
-1.763240836977422621e+00,2.624011782276155363e-02
-1.749411497079560451e+00,2.652974328742681645e-02
-1.735582157181698282e+00,2.682306918968498793e-02
-1.721752817283836112e+00,2.699223772955904044e-02
-1.707923477385973943e+00,2.739445699638549947e-02
-1.694094137488111773e+00,2.764131375567373955e-02
-1.680264797590249604e+00,2.777659632368918718e-02
-1.666435457692387656e+00,2.796106342658166710e-02
-1.652606117794525487e+00,2.824276197790782580e-02
-1.638776777896663317e+00,2.826630420582110920e-02
-1.624947437998801369e+00,2.843733097684691263e-02
-1.611118098100939200e+00,2.862087814312516687e-02
-1.597288758203077030e+00,2.890811387929115989e-02
-1.583459418305214861e+00,2.908396083425034834e-02
-1.569630078407352691e+00,2.928809485533066803e-02
-1.555800738509490522e+00,2.968144707568589821e-02
-1.541971398611628352e+00,3.008695652574468887e-02
-1.528142058713766183e+00,3.050507231720313642e-02
-1.514312718815904013e+00,3.096429823622649791e-02
-1.500483378918041844e+00,3.124282314565314522e-02
-1.486654039020179896e+00,3.139863303819872414e-02
-1.472824699122317726e+00,3.145554059697100446e-02
-1.458995359224455557e+00,3.178289367858729009e-02
-1.445166019326593387e+00,3.200219722551683743e-02
-1.431336679428731440e+00,3.223332320700708631e-02
-1.417507339530869270e+00,3.254714309705449005e-02
-1.403677999633007101e+00,3.291742711910593255e-02
-1.389848659735144931e+00,3.317683300371553068e-02
-1.376019319837282762e+00,3.346971562745636175e-02
-1.362189979939420592e+00,3.357946629279961320e-02
-1.348360640041558423e+00,3.388108210577731039e-02
-1.334531300143696253e+00,3.409184800812874172e-02
-1.320701960245834083e+00,3.450900517454617844e-02
-1.306872620347971914e+00,3.477855827897379654e-02
-1.293043280450109966e+00,3.491777598133267990e-02
-1.279213940552247797e+00,3.529424955022014004e-02
-1.265384600654385627e+00,3.552325424545116350e-02
-1.251555260756523458e+00,3.584734200677289206e-02
-1.237725920858661288e+00,3.610564134333589525e-02
-1.223896580960799341e+00,3.648293704824574768e-02
-1.210067241062937171e+00,3.679219503840400196e-02
-1.196237901165075002e+00,3.720769826121223672e-02
-1.182408561267212832e+00,3.757509539898726963e-02
-1.168579221369350662e+00,3.784950199275876476e-02
-1.154749881471488493e+00,3.811312107858282061e-02
-1.140920541573626323e+00,3.865782337981667205e-02
-1.127091201675764376e+00,3.900496366922551195e-02
-1.113261861777902206e+00,3.929472974813835034e-02
-1.099432521880040037e+00,3.960575649301353862e-02
-1.085603181982177867e+00,3.989961415343865059e-02
-1.071773842084315698e+00,4.019851822412043307e-02
-1.057944502186453528e+00,4.050523612719906380e-02
-1.044115162288591581e+00,4.069629292745556570e-02
-1.030285822390729411e+00,4.103775703341675657e-02
-1.016456482492867242e+00,4.131842598173439407e-02
-1.002627142595005072e+00,4.155858093002798292e-02
-9.887978026971429024e-01,4.189472067667329713e-02
-9.749684627992807329e-01,4.224535688676525624e-02
-9.611391229014185633e-01,4.281033632547300710e-02
-9.473097830035566158e-01,4.311417329405112936e-02
-9.334804431056944463e-01,4.342372139451421836e-02
-9.196511032078322767e-01,4.360993879163756887e-02
-9.058217633099701072e-01,4.399925978334136289e-02
-8.919924234121079376e-01,4.433189121278009043e-02
-8.781630835142457681e-01,4.474433426899834115e-02
-8.643337436163835985e-01,4.517434612976870684e-02
-8.505044037185216510e-01,4.574566596377048489e-02
-8.366750638206594815e-01,4.622069430612443797e-02
-8.228457239227973119e-01,4.658263328822567773e-02
-8.090163840249351423e-01,4.691048856545626533e-02
-7.951870441270729728e-01,4.706022028160561366e-02
-7.813577042292108032e-01,4.758531556239515431e-02
-7.675283643313486337e-01,4.794465057766301302e-02
-7.536990244334866862e-01,4.855397368130694863e-02
-7.398696845356245166e-01,4.903320533390155556e-02
-7.260403446377623471e-01,4.946111385232962454e-02
-7.122110047399001775e-01,4.950913766972929453e-02
-6.983816648420380080e-01,4.996134862108858599e-02
-6.845523249441758384e-01,5.049812888700132285e-02
-6.707229850463138909e-01,5.056550846016613643e-02
-6.568936451484517214e-01,5.119027888495408102e-02
-6.430643052505895518e-01,5.168432494280943840e-02
-6.292349653527273823e-01,5.212085934056302078e-02
-6.154056254548652127e-01,5.263482114980456983e-02
-6.015762855570030432e-01,5.288873897777982003e-02
-5.877469456591408736e-01,5.334344498280919195e-02
-5.739176057612789261e-01,5.388553254767089462e-02
-5.600882658634167566e-01,5.438503747474562888e-02
-5.462589259655545870e-01,5.464558246093559335e-02
-5.324295860676924175e-01,5.537848404972574995e-02
-5.186002461698302479e-01,5.586374568005282593e-02
-5.047709062719680784e-01,5.629628690188045320e-02
-4.909415663741059088e-01,5.659903592866343675e-02
-4.771122264762439613e-01,5.681927607800259239e-02
-4.632828865783817918e-01,5.746283920190468908e-02
-4.494535466805196222e-01,5.785108792324173549e-02
-4.356242067826574527e-01,5.817233679217849451e-02
-4.217948668847952831e-01,5.883287352804778686e-02
-4.079655269869331136e-01,5.930582549972393536e-02
-3.941361870890709440e-01,5.978782703982629676e-02
-3.803068471912089965e-01,6.020607585108841281e-02
-3.664775072933468270e-01,6.070235008630266160e-02
-3.526481673954846574e-01,6.141780372655003539e-02
-3.388188274976224879e-01,6.180903087902344523e-02
-3.249894875997603183e-01,6.219847945326733435e-02
-3.111601477018981488e-01,6.232281286370551510e-02
-2.973308078040362012e-01,6.273423872814234969e-02
-2.835014679061740317e-01,6.307178142663373566e-02
-2.696721280083118621e-01,6.336813128317611565e-02
-2.558427881104496926e-01,6.376152976005972084e-02
-2.420134482125875230e-01,6.417369306838591192e-02
-2.281841083147253535e-01,6.426260856372875696e-02
-2.143547684168631839e-01,6.464879073299953371e-02
-2.005254285190010144e-01,6.512146982124644712e-02
-1.866960886211388448e-01,6.526866435239919717e-02
-1.728667487232766753e-01,6.583109782302777602e-02
-1.590374088254149498e-01,6.605915652494072365e-02
-1.452080689275527803e-01,6.582544978438267802e-02
-1.313787290296906107e-01,6.613434786873575999e-02
-1.175493891318284412e-01,6.637210189312256481e-02
-1.037200492339662716e-01,6.602390438783076188e-02
-8.989070933610410208e-02,6.637510774420374293e-02
-7.606136943824193253e-02,6.693249880056981183e-02
-6.223202954037976298e-02,6.730650251559182340e-02
-4.840268964251759343e-02,6.769370584935507917e-02
-3.457334974465542388e-02,6.774545312619047188e-02
-2.074400984679325433e-02,6.820812326665016967e-02
-6.914669948931084775e-03,6.834130153576768729e-02
6.914669948931084775e-03,6.883537408097048504e-02
2.074400984679325433e-02,6.925154851664891420e-02
3.457334974465497979e-02,6.984658109756938793e-02
4.840268964251714934e-02,7.012951910288919843e-02
6.223202954037931889e-02,7.083979248871560830e-02
7.606136943824148844e-02,7.089108420910528174e-02
8.989070933610365799e-02,7.076577012237511566e-02
1.037200492339658275e-01,7.116856784343897346e-02
1.175493891318279971e-01,7.139218402267431818e-02
1.313787290296901666e-01,7.142139098417790710e-02
1.452080689275523362e-01,7.145145858068531475e-02
1.590374088254145057e-01,7.168679978158604138e-02
1.728667487232766753e-01,7.240221459349474586e-02
1.866960886211388448e-01,7.286063180078439228e-02
2.005254285190010144e-01,7.352806438579426174e-02
2.143547684168627399e-01,7.366371295148879672e-02
2.281841083147249094e-01,7.380167838254955703e-02
2.420134482125870790e-01,7.407886388214410256e-02
2.558427881104492485e-01,7.402288359920652927e-02
2.696721280083114181e-01,7.404023685245483821e-02
2.835014679061735876e-01,7.460923627441717887e-02
2.973308078040357572e-01,7.489710767216098408e-02
3.111601477018979267e-01,7.502614376498267790e-02
3.249894875997600963e-01,7.537602916550424637e-02
3.388188274976222658e-01,7.573597512653393315e-02
3.526481673954844354e-01,7.589587844901990454e-02
3.664775072933466049e-01,7.619615565446706540e-02
