# c, p(c)
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,4.368963124221798195e-07
2.020202020202020374e-02,2.260214143107749613e-07
3.030303030303030387e-02,1.532345643639178213e-07
4.040404040404040747e-02,1.172355717988606985e-07
5.050505050505051108e-02,9.488773603766751971e-08
6.060606060606060774e-02,7.929524602653951622e-08
7.070707070707071829e-02,6.840661223242380960e-08
8.080808080808081495e-02,6.049257247507908184e-08
9.090909090909091161e-02,5.431773660200009210e-08
1.010101010101010222e-01,4.934217503903123081e-08
1.111111111111111188e-01,4.520015791454179890e-08
1.212121212121212155e-01,4.177545644603938571e-08
1.313131313131313260e-01,3.878081599690287951e-08
1.414141414141414366e-01,3.622922173142535170e-08
1.515151515151515194e-01,3.395748696678129745e-08
1.616161616161616299e-01,3.205461879399882029e-08
1.717171717171717404e-01,3.038087364343561655e-08
1.818181818181818232e-01,2.886351883281806494e-08
1.919191919191919338e-01,2.756243903033213392e-08
2.020202020202020443e-01,2.637070854098374846e-08
2.121212121212121271e-01,2.534214313706994083e-08
2.222222222222222376e-01,2.440396732904390530e-08
2.323232323232323482e-01,2.350161966304857528e-08
2.424242424242424310e-01,2.269435584478176059e-08
2.525252525252525415e-01,2.198393428608406337e-08
2.626262626262626521e-01,2.129661308590292278e-08
2.727272727272727626e-01,2.067793579803604590e-08
2.828282828282828731e-01,2.012657623801157568e-08
2.929292929292929282e-01,1.960341471221285034e-08
3.030303030303030387e-01,1.912301401757469263e-08
3.131313131313131493e-01,1.867324737977636110e-08
3.232323232323232598e-01,1.824071301961396327e-08
3.333333333333333703e-01,1.784067374655780217e-08
3.434343434343434809e-01,1.745585915924366215e-08
3.535353535353535914e-01,1.708874655916477023e-08
3.636363636363636465e-01,1.674826731304928999e-08
3.737373737373737570e-01,1.642454352131722680e-08
3.838383838383838675e-01,1.613141336995751161e-08
3.939393939393939781e-01,1.585916065626128312e-08
4.040404040404040886e-01,1.559431679052314619e-08
4.141414141414141992e-01,1.534116299944900891e-08
4.242424242424242542e-01,1.510262068652123370e-08
4.343434343434343647e-01,1.487347944794628098e-08
4.444444444444444753e-01,1.466437493780973945e-08
4.545454545454545858e-01,1.446374961134377221e-08
4.646464646464646964e-01,1.426960185824396425e-08
4.747474747474748069e-01,1.409186760575364554e-08
4.848484848484848619e-01,1.392830199198203678e-08
4.949494949494949725e-01,1.377577657814162360e-08
5.050505050505050830e-01,1.362480263450054647e-08
5.151515151515152491e-01,1.348608679760234950e-08
5.252525252525253041e-01,1.336227650448978542e-08
5.353535353535353591e-01,1.324316706959004004e-08
5.454545454545455252e-01,1.312588484354075346e-08
5.555555555555555802e-01,1.301831540092353470e-08
5.656565656565657463e-01,1.292621219693999510e-08
5.757575757575758013e-01,1.284094872464346821e-08
5.858585858585858563e-01,1.276132633481369011e-08
5.959595959595960224e-01,1.269189358102085826e-08
6.060606060606060774e-01,1.262937326920950700e-08
6.161616161616162435e-01,1.257580975821972616e-08
6.262626262626262985e-01,1.252448623399523851e-08
6.363636363636364646e-01,1.248344224857991902e-08
6.464646464646465196e-01,1.244976099755752149e-08
6.565656565656565746e-01,1.241832532292237110e-08
6.666666666666667407e-01,1.239161476293741564e-08
6.767676767676767957e-01,1.237162415832583261e-08
6.868686868686869618e-01,1.235871123351835330e-08
6.969696969696970168e-01,1.235761123938067171e-08
7.070707070707071829e-01,1.235570061066569870e-08
7.171717171717172379e-01,1.236241333746111025e-08
7.272727272727272929e-01,1.238194341904384982e-08
7.373737373737374590e-01,1.241141301550479456e-08
7.474747474747475140e-01,1.245003581984342809e-08
7.575757575757576801e-01,1.249744892710319828e-08
7.676767676767677351e-01,1.256116122088236238e-08
7.777777777777777901e-01,1.263038706650957681e-08
7.878787878787879562e-01,1.270459401290464280e-08
7.979797979797980112e-01,1.279544260384831741e-08
8.080808080808081773e-01,1.290008434903528171e-08
8.181818181818182323e-01,1.300765803927356925e-08
8.282828282828283983e-01,1.313506085224088707e-08
8.383838383838384534e-01,1.328304710853843359e-08
8.484848484848485084e-01,1.345562209654460204e-08
8.585858585858586745e-01,1.365039437559112746e-08
8.686868686868687295e-01,1.386973125708881111e-08
8.787878787878788955e-01,1.411398423848087367e-08
8.888888888888889506e-01,1.438094258281923014e-08
8.989898989898991166e-01,1.468560325436353659e-08
9.090909090909091717e-01,1.503819493663647087e-08
9.191919191919192267e-01,1.542345171798671015e-08
9.292929292929293927e-01,1.587940402975652471e-08
9.393939393939394478e-01,1.632669916784273293e-08
9.494949494949496138e-01,1.675481645347820716e-08
9.595959595959596689e-01,1.704548044423457087e-08
9.696969696969697239e-01,1.678628308631295158e-08
9.797979797979798899e-01,1.467057062679121694e-08
9.898989898989899450e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
