# time, lyapunov_exponent
2.000000000000000042e-03,2.809740921017550619e+01
4.000000000000000083e-03,1.278834600573748048e+01
1.600000000000000033e-02,3.163541964136874718e+00
3.200000000000000067e-02,4.177729693032977032e+00
6.400000000000000133e-02,5.704049053108067646e+00
1.280000000000000027e-01,6.608569865624909667e+00
2.560000000000000053e-01,5.778008641706596116e+00
5.120000000000000107e-01,1.394977311228892791e+00
1.024000000000000021e+00,8.784057136591919696e-03
1.536000000000000032e+00,7.285522938356492340e-01
2.048000000000000043e+00,1.105107973419725866e-02
4.096000000000000085e+00,2.317894664299900709e-02
8.192000000000000171e+00,1.426352050627576196e-01
