# intensity,pdf
5.000000000000000104e-03,9.651791400037276958e+01
1.499999999999999944e-02,1.949242047713717618e-01
2.500000000000000139e-02,9.852991426441352896e-02
3.500000000000000333e-02,6.897093998508944945e-02
4.499999999999999833e-02,5.363327845427434681e-02
5.500000000000000028e-02,4.664396433896622618e-02
6.500000000000000222e-02,4.067392519880712320e-02
7.500000000000001110e-02,3.611145626242547035e-02
8.499999999999999223e-02,3.300509443339961352e-02
9.500000000000000111e-02,3.436412773359838468e-02
1.050000000000000100e-01,3.499510748011929601e-02
1.149999999999999911e-01,3.839269073061632453e-02
1.250000000000000000e-01,4.057685139165006366e-02
1.350000000000000089e-01,4.853690357852878667e-02
1.450000000000000178e-01,6.222431038767407829e-02
1.549999999999999989e-01,8.493958126242537321e-02
1.650000000000000078e-01,1.089653485337971212e-01
1.749999999999999889e-01,1.492995154075549558e-01
1.849999999999999978e-01,1.834694955268388050e-01
1.950000000000000067e-01,2.162804423459242509e-01
2.050000000000000155e-01,2.379279013419487721e-01
2.149999999999999967e-01,2.657880839960236052e-01
2.250000000000000056e-01,2.646231983101389185e-01
2.349999999999999867e-01,2.577309580019885860e-01
2.449999999999999956e-01,2.435581821570574346e-01
2.550000000000000044e-01,2.024474248260435816e-01
2.650000000000000133e-01,1.603659294234590915e-01
2.750000000000000222e-01,1.197405411282305016e-01
2.850000000000000311e-01,8.052272303677970866e-02
2.949999999999999845e-01,4.581883697813116801e-02
3.049999999999999933e-01,1.888085549204769620e-02
3.150000000000000022e-01,6.649555790258443455e-03
3.250000000000000111e-01,2.378308275347910256e-03
3.350000000000000200e-01,5.339059393638166499e-04
3.450000000000000289e-01,0.000000000000000000e+00
3.549999999999999822e-01,0.000000000000000000e+00
3.649999999999999911e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
3.850000000000000089e-01,9.707380715705756532e-05
3.950000000000000178e-01,0.000000000000000000e+00
4.050000000000000266e-01,4.853690357852878266e-05
4.150000000000000355e-01,0.000000000000000000e+00
4.249999999999999889e-01,0.000000000000000000e+00
4.349999999999999978e-01,0.000000000000000000e+00
4.450000000000000067e-01,0.000000000000000000e+00
4.550000000000000155e-01,9.707380715705756532e-05
4.650000000000000244e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
4.849999999999999867e-01,0.000000000000000000e+00
4.949999999999999956e-01,0.000000000000000000e+00
5.050000000000000044e-01,0.000000000000000000e+00
5.150000000000000133e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.350000000000000311e-01,0.000000000000000000e+00
5.450000000000000400e-01,4.853690357852878266e-05
5.550000000000000488e-01,0.000000000000000000e+00
5.650000000000000577e-01,0.000000000000000000e+00
5.749999999999999556e-01,4.853690357852932476e-05
5.849999999999999645e-01,0.000000000000000000e+00
5.949999999999999734e-01,0.000000000000000000e+00
6.049999999999999822e-01,0.000000000000000000e+00
6.149999999999999911e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.350000000000000089e-01,0.000000000000000000e+00
6.450000000000000178e-01,0.000000000000000000e+00
6.550000000000000266e-01,0.000000000000000000e+00
6.650000000000000355e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
6.850000000000000533e-01,4.853690357852878266e-05
6.950000000000000622e-01,0.000000000000000000e+00
7.050000000000000711e-01,0.000000000000000000e+00
7.149999999999999689e-01,0.000000000000000000e+00
7.249999999999999778e-01,9.707380715705756532e-05
7.349999999999999867e-01,0.000000000000000000e+00
7.449999999999999956e-01,0.000000000000000000e+00
7.550000000000000044e-01,0.000000000000000000e+00
7.650000000000000133e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
7.850000000000000311e-01,0.000000000000000000e+00
7.950000000000000400e-01,0.000000000000000000e+00
8.050000000000000488e-01,0.000000000000000000e+00
8.150000000000000577e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.349999999999999645e-01,0.000000000000000000e+00
8.449999999999999734e-01,0.000000000000000000e+00
8.549999999999999822e-01,0.000000000000000000e+00
8.649999999999999911e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
8.850000000000000089e-01,0.000000000000000000e+00
8.950000000000000178e-01,0.000000000000000000e+00
9.050000000000000266e-01,0.000000000000000000e+00
9.150000000000000355e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.350000000000000533e-01,0.000000000000000000e+00
9.450000000000000622e-01,0.000000000000000000e+00
9.550000000000000711e-01,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00
9.749999999999999778e-01,0.000000000000000000e+00
9.849999999999999867e-01,0.000000000000000000e+00
9.949999999999999956e-01,9.707380715705756532e-05
