# l_diff,pdf
4.185999999999938576e-05,4.860636439583806236e+02
6.957999999999939819e-05,4.835320624794306923e+02
9.729999999999941061e-05,4.810004810004809883e+02
1.250199999999994230e-04,4.784688995215306591e+02
1.527399999999994084e-04,4.759373180425814667e+02
1.804599999999994208e-04,4.734057365636310806e+02
2.081799999999994332e-04,4.708741550846811492e+02
2.358999999999994456e-04,4.683425736057308200e+02
2.636199999999994581e-04,4.658109921267822529e+02
2.913399999999994163e-04,4.632794106478314689e+02
3.190599999999994829e-04,4.607478291688815943e+02
3.467799999999994411e-04,4.582162476899316630e+02
3.744999999999995078e-04,4.556846662109817885e+02
4.022199999999994660e-04,4.531530847320318571e+02
4.299399999999995326e-04,4.506215032530819826e+02
4.576599999999994908e-04,4.480899217741320513e+02
4.853799999999995575e-04,4.455583402951821768e+02
5.130999999999995157e-04,4.430267588162332117e+02
5.408199999999995823e-04,4.404951773372815182e+02
5.685399999999995405e-04,4.379635958583333490e+02
5.962599999999994987e-04,4.354320143793817692e+02
6.239799999999995654e-04,4.329004329004335432e+02
6.516999999999996320e-04,4.303688514214819634e+02
6.794199999999995902e-04,4.278372699425337373e+02
7.071399999999995484e-04,4.253056884635821575e+02
7.348599999999996151e-04,4.227741069846339315e+02
7.625799999999996817e-04,4.202425255056824085e+02
7.902999999999996399e-04,4.177109440267341824e+02
8.180199999999995981e-04,4.151793625477826026e+02
8.457399999999996648e-04,4.126477810688343197e+02
8.734599999999997314e-04,4.101161995898828536e+02
9.011799999999996896e-04,4.075846181109345139e+02
9.288999999999996478e-04,4.050530366319845825e+02
9.566199999999996061e-04,4.025214551530331164e+02
9.843399999999997811e-04,3.999898736740848335e+02
1.012059999999999522e-03,3.974582921951349022e+02
1.039779999999999698e-03,3.949267107161819013e+02
1.067499999999999873e-03,3.923951292372350963e+02
1.095219999999999614e-03,3.898635477582852218e+02
1.122939999999999789e-03,3.873319662793352336e+02
1.150659999999999747e-03,3.848003848003823464e+02
1.178379999999999705e-03,3.822688033214354846e+02
1.206099999999999881e-03,3.797372218424855532e+02
1.233819999999999622e-03,3.772056403635356787e+02
1.261539999999999797e-03,3.746740588845828483e+02
1.289259999999999972e-03,3.721424774056358729e+02
1.316979999999999713e-03,3.696108959266859983e+02
1.344699999999999888e-03,3.670793144477360670e+02
1.372419999999999630e-03,3.645477329687861925e+02
1.400139999999999805e-03,3.620161514898334190e+02
1.427859999999999980e-03,3.594845700108863298e+02
1.455579999999999721e-03,3.569529885319363984e+02
1.483299999999999896e-03,3.544214070529865239e+02
1.511019999999999855e-03,3.518898255740338641e+02
1.538739999999999813e-03,3.493582440950867181e+02
1.566459999999999988e-03,3.468266626161368436e+02
1.594179999999999729e-03,3.442950811371869122e+02
1.621899999999999904e-03,3.417634996582343661e+02
1.649620000000000079e-03,3.392319181792871063e+02
1.677339999999999821e-03,3.367003367003372318e+02
1.705059999999999996e-03,3.341687552213873005e+02
1.732779999999999954e-03,3.316371737424348112e+02
1.760499999999999912e-03,3.291055922634874946e+02
1.788220000000000087e-03,3.265740107845375633e+02
1.815939999999999829e-03,3.240424293055876888e+02
1.843660000000000004e-03,3.215108478266377574e+02
1.871379999999999962e-03,3.189792663476853818e+02
1.899099999999999920e-03,3.164476848687380084e+02
1.926820000000000095e-03,3.139161033897880770e+02
1.954539999999999837e-03,3.113845219108382025e+02
1.982260000000000012e-03,3.088529404318858838e+02
2.009979999999999753e-03,3.063213589529407272e+02
2.037699999999999928e-03,3.037897774739860779e+02
2.065420000000000103e-03,3.012581959950362034e+02
2.093140000000000278e-03,2.987266145160909900e+02
2.120860000000000019e-03,2.961950330371364544e+02
2.148580000000000195e-03,2.936634515581865799e+02
2.176299999999999936e-03,2.911318700792411960e+02
2.204020000000000111e-03,2.886002886002867740e+02
2.231740000000000286e-03,2.860687071213413901e+02
2.259460000000000027e-03,2.835371256423870250e+02
2.287180000000000202e-03,2.810055441634371505e+02
2.314899999999999944e-03,2.784739626844915961e+02
2.342620000000000119e-03,2.759423812055373446e+02
2.370340000000000294e-03,2.734107997265917334e+02
2.398060000000000035e-03,2.708792182476375956e+02
2.425780000000000210e-03,2.683476367686877211e+02
2.453499999999999952e-03,2.658160552897419393e+02
2.481220000000000127e-03,2.632844738107879721e+02
2.508940000000000302e-03,2.607528923318380407e+02
2.536660000000000477e-03,2.582213108528922021e+02
2.564380000000000218e-03,2.556897293739382917e+02
2.592099999999999960e-03,2.531581478949923394e+02
2.619820000000000135e-03,2.506265664160385143e+02
2.647540000000000310e-03,2.480949849370886398e+02
2.675260000000000485e-03,2.455634034581425738e+02
2.702980000000000226e-03,2.430318219791888623e+02
2.730699999999999968e-03,2.405002405002427679e+02
2.758420000000000143e-03,2.379686590212891133e+02
2.786140000000000318e-03,2.354370775423392104e+02
