# scalar_diff,pdf
1.399999999999999979e-05,1.775817594401665247e+03
4.199999999999999768e-05,1.986521344928424696e+03
6.999999999999999387e-05,1.969760819318341646e+03
9.799999999999999684e-05,1.914690520885210844e+03
1.259999999999999998e-04,1.917883001953799067e+03
1.540000000000000028e-04,1.907507438480889732e+03
1.819999999999999786e-04,1.835676614437676108e+03
2.100000000000000087e-04,1.888352552069365856e+03
2.379999999999999846e-04,1.830089772567648424e+03
2.659999999999999604e-04,1.818916088827594649e+03
2.939999999999999905e-04,1.798963082148920876e+03
3.220000000000000206e-04,1.783000676805988178e+03
3.499999999999999964e-04,1.773423233600222829e+03
3.779999999999999723e-04,1.704784890625600156e+03
4.060000000000000024e-04,1.739902182380056729e+03
4.340000000000000325e-04,1.698399928488425303e+03
4.619999999999999541e-04,1.676052561008314569e+03
4.899999999999999842e-04,1.633752186849530062e+03
5.180000000000000143e-04,1.186006716980167084e+03
5.460000000000000443e-04,7.582142537894770840e+02
5.739999999999999660e-04,4.940364453638784425e+02
6.019999999999999961e-04,3.288255500644877429e+02
6.300000000000000261e-04,1.907507438480887743e+02
6.579999999999999478e-04,9.178383072188407255e+01
6.859999999999999779e-04,1.117368374005540943e+01
7.140000000000000079e-04,0.000000000000000000e+00
7.420000000000000380e-04,0.000000000000000000e+00
7.699999999999999597e-04,0.000000000000000000e+00
7.979999999999999897e-04,0.000000000000000000e+00
8.260000000000000198e-04,0.000000000000000000e+00
8.539999999999999414e-04,0.000000000000000000e+00
8.819999999999999715e-04,0.000000000000000000e+00
9.100000000000000016e-04,0.000000000000000000e+00
9.380000000000000317e-04,0.000000000000000000e+00
9.659999999999999533e-04,0.000000000000000000e+00
9.940000000000000918e-04,0.000000000000000000e+00
1.021999999999999905e-03,0.000000000000000000e+00
1.050000000000000152e-03,0.000000000000000000e+00
1.077999999999999965e-03,0.000000000000000000e+00
1.105999999999999995e-03,0.000000000000000000e+00
1.134000000000000025e-03,0.000000000000000000e+00
1.161999999999999839e-03,0.000000000000000000e+00
1.190000000000000085e-03,0.000000000000000000e+00
1.217999999999999899e-03,0.000000000000000000e+00
1.246000000000000146e-03,0.000000000000000000e+00
1.273999999999999959e-03,0.000000000000000000e+00
1.301999999999999989e-03,0.000000000000000000e+00
1.330000000000000019e-03,0.000000000000000000e+00
1.357999999999999832e-03,0.000000000000000000e+00
1.386000000000000079e-03,0.000000000000000000e+00
1.413999999999999892e-03,0.000000000000000000e+00
1.442000000000000139e-03,0.000000000000000000e+00
1.469999999999999953e-03,0.000000000000000000e+00
1.497999999999999983e-03,0.000000000000000000e+00
1.526000000000000013e-03,0.000000000000000000e+00
1.553999999999999826e-03,0.000000000000000000e+00
1.582000000000000073e-03,0.000000000000000000e+00
1.609999999999999886e-03,0.000000000000000000e+00
1.638000000000000133e-03,0.000000000000000000e+00
1.665999999999999946e-03,0.000000000000000000e+00
1.693999999999999976e-03,0.000000000000000000e+00
1.722000000000000006e-03,0.000000000000000000e+00
1.749999999999999820e-03,0.000000000000000000e+00
1.778000000000000067e-03,0.000000000000000000e+00
1.805999999999999880e-03,0.000000000000000000e+00
1.834000000000000127e-03,0.000000000000000000e+00
1.861999999999999940e-03,0.000000000000000000e+00
1.889999999999999970e-03,0.000000000000000000e+00
1.918000000000000000e-03,0.000000000000000000e+00
1.945999999999999813e-03,0.000000000000000000e+00
1.974000000000000060e-03,0.000000000000000000e+00
2.002000000000000307e-03,0.000000000000000000e+00
2.029999999999999687e-03,0.000000000000000000e+00
2.057999999999999934e-03,0.000000000000000000e+00
2.086000000000000180e-03,0.000000000000000000e+00
2.113999999999999994e-03,0.000000000000000000e+00
2.141999999999999807e-03,0.000000000000000000e+00
2.170000000000000054e-03,0.000000000000000000e+00
2.198000000000000301e-03,0.000000000000000000e+00
2.225999999999999680e-03,0.000000000000000000e+00
2.253999999999999927e-03,0.000000000000000000e+00
2.282000000000000174e-03,0.000000000000000000e+00
2.309999999999999987e-03,0.000000000000000000e+00
2.337999999999999801e-03,0.000000000000000000e+00
2.366000000000000048e-03,0.000000000000000000e+00
2.394000000000000294e-03,0.000000000000000000e+00
2.421999999999999674e-03,0.000000000000000000e+00
2.449999999999999921e-03,0.000000000000000000e+00
2.478000000000000168e-03,0.000000000000000000e+00
2.505999999999999981e-03,0.000000000000000000e+00
2.533999999999999794e-03,0.000000000000000000e+00
2.562000000000000041e-03,0.000000000000000000e+00
2.590000000000000288e-03,0.000000000000000000e+00
2.617999999999999668e-03,0.000000000000000000e+00
2.645999999999999915e-03,0.000000000000000000e+00
2.674000000000000161e-03,0.000000000000000000e+00
2.701999999999999975e-03,0.000000000000000000e+00
2.729999999999999788e-03,0.000000000000000000e+00
2.758000000000000035e-03,0.000000000000000000e+00
2.786000000000000282e-03,0.000000000000000000e+00
