# time,average_distance,95CLI
0.000000000000000000e+00,2.800002366847205611e-03,7.998829547602859292e-07
2.000000000000000042e-03,2.790218379362641686e-03,3.125982773913669338e-05
4.000000000000000083e-03,2.780624182286957867e-03,6.197755955797538713e-05
6.000000000000000125e-03,2.771224447852353376e-03,9.244693947829252646e-05
8.000000000000000167e-03,2.762063519411124719e-03,1.221361628414405383e-04
1.000000000000000021e-02,2.753204694798249731e-03,1.511658667032296456e-04
1.200000000000000025e-02,2.744660718634076620e-03,1.798054444708311835e-04
1.400000000000000029e-02,2.736454868884889528e-03,2.082411056754948718e-04
1.600000000000000033e-02,2.728733713888938529e-03,2.368367051468927610e-04
1.799999999999999864e-02,2.721500440481523612e-03,2.659527293179528903e-04
2.000000000000000042e-02,2.714787192146256994e-03,2.957313992151482758e-04
2.199999999999999872e-02,2.708581369774902374e-03,3.267763009855429975e-04
2.400000000000000050e-02,2.702905801378857609e-03,3.594776920982583430e-04
2.599999999999999881e-02,2.697820257204655223e-03,3.941606633549293165e-04
2.800000000000000058e-02,2.693463717617068306e-03,4.310866300760488024e-04
2.999999999999999889e-02,2.689681530126244308e-03,4.703123293376759652e-04
3.200000000000000067e-02,2.686588787084570433e-03,5.121202042825187669e-04
3.400000000000000244e-02,2.684247574445841437e-03,5.566674924011508338e-04
3.599999999999999728e-02,2.682613675648065198e-03,6.040513445382892635e-04
3.799999999999999906e-02,2.681700099692152506e-03,6.541704668679511250e-04
4.000000000000000083e-02,2.681587421119832181e-03,7.072026018842892444e-04
4.200000000000000261e-02,2.682281717709121202e-03,7.633805155493529095e-04
4.399999999999999745e-02,2.683756770352238412e-03,8.224660261481292305e-04
4.599999999999999922e-02,2.686004887989710925e-03,8.845596217906936259e-04
4.800000000000000100e-02,2.689058337899756165e-03,9.494809783199683814e-04
5.000000000000000278e-02,2.692881430860716296e-03,1.016925553190046625e-03
5.199999999999999761e-02,2.697486581912171468e-03,1.086318800083945022e-03
5.399999999999999939e-02,2.702834719090126299e-03,1.157332969721301588e-03
5.600000000000000117e-02,2.708930112526218830e-03,1.230231062997626029e-03
5.800000000000000294e-02,2.715818104641587547e-03,1.304463121794112836e-03
5.999999999999999778e-02,2.723372569559821127e-03,1.379744255769563537e-03
6.199999999999999956e-02,2.731665065457800946e-03,1.456253589228795114e-03
6.400000000000000133e-02,2.740685894773360522e-03,1.534233989818344556e-03
6.600000000000000311e-02,2.750452775286611404e-03,1.613885233447963667e-03
6.800000000000000488e-02,2.760894681079447896e-03,1.694899734005517970e-03
7.000000000000000666e-02,2.772101636093838098e-03,1.777435806665740017e-03
7.199999999999999456e-02,2.784060446204453688e-03,1.861737248422611719e-03
7.399999999999999634e-02,2.796739458252176565e-03,1.947066201709173570e-03
7.599999999999999811e-02,2.810147867447936217e-03,2.034376298403437443e-03
7.799999999999999989e-02,2.824389112018263655e-03,2.123800573271671793e-03
8.000000000000000167e-02,2.839418608106420924e-03,2.215054520683983931e-03
8.200000000000000344e-02,2.855199004177255001e-03,2.308343937764348840e-03
8.400000000000000522e-02,2.871815929948244063e-03,2.403321670365530377e-03
8.599999999999999312e-02,2.889193407944104681e-03,2.499906063893164287e-03
8.799999999999999489e-02,2.907397367114304167e-03,2.598156289131329025e-03
8.999999999999999667e-02,2.926450067388034100e-03,2.698253992378347316e-03
9.199999999999999845e-02,2.946288648772804608e-03,2.800144771063943234e-03
9.400000000000000022e-02,2.966962146316725300e-03,2.904077368483649977e-03
9.600000000000000200e-02,2.988497472466817087e-03,3.009956776620453106e-03
9.800000000000000377e-02,3.010855002265079398e-03,3.118053423075500385e-03
1.000000000000000056e-01,3.034080045950944202e-03,3.228444900324525021e-03
1.019999999999999934e-01,3.058087176770282571e-03,3.341085982862553212e-03
1.039999999999999952e-01,3.082873840474745653e-03,3.455961221802221137e-03
1.059999999999999970e-01,3.108440282681814663e-03,3.573411118633959289e-03
1.079999999999999988e-01,3.134757947416916789e-03,3.693573636774779081e-03
1.100000000000000006e-01,3.161885575699043254e-03,3.817297428468033067e-03
1.120000000000000023e-01,3.189718109508713102e-03,3.944988398585788474e-03
1.140000000000000041e-01,3.218357972874996958e-03,4.076956317905141083e-03
1.160000000000000059e-01,3.247863067413492462e-03,4.213387146389789041e-03
1.179999999999999938e-01,3.278207737330867365e-03,4.354482225770601664e-03
1.199999999999999956e-01,3.309509649550999768e-03,4.500736416075799655e-03
1.219999999999999973e-01,3.341809612189991681e-03,4.652098450544508296e-03
1.239999999999999991e-01,3.375056807733639933e-03,4.808310486835255804e-03
1.260000000000000009e-01,3.409349068810384794e-03,4.969525106849040710e-03
1.280000000000000027e-01,3.444635494170203167e-03,5.135551488855000235e-03
1.300000000000000044e-01,3.480982302613320339e-03,5.306098555428348691e-03
1.320000000000000062e-01,3.518365162530805515e-03,5.481635331238491823e-03
1.340000000000000080e-01,3.556661207803030883e-03,5.661786188394324695e-03
1.360000000000000098e-01,3.595917928142030370e-03,5.846582819827976681e-03
1.380000000000000115e-01,3.636058067072296673e-03,6.035991566885431925e-03
1.400000000000000133e-01,3.677101422066292834e-03,6.229226114679002439e-03
1.419999999999999873e-01,3.718984054769004701e-03,6.426269189650889689e-03
1.439999999999999891e-01,3.761723590386434855e-03,6.626801586610578561e-03
1.459999999999999909e-01,3.805202943230380237e-03,6.830553687711486341e-03
1.479999999999999927e-01,3.849385468865922089e-03,7.037184096634439313e-03
1.499999999999999944e-01,3.894187073616914990e-03,7.246519573871549116e-03
1.519999999999999962e-01,3.939625914946457558e-03,7.458455548884976652e-03
1.539999999999999980e-01,3.985659400267978388e-03,7.672980431783036660e-03
1.559999999999999998e-01,4.032280094561460290e-03,7.890411798696740642e-03
1.580000000000000016e-01,4.079392224517439623e-03,8.110689796421788680e-03
1.600000000000000033e-01,4.127103230881744300e-03,8.333954730745855508e-03
1.620000000000000051e-01,4.175293620093537342e-03,8.560246671876773489e-03
1.640000000000000069e-01,4.224068134000336094e-03,8.789972951119084596e-03
1.660000000000000087e-01,4.273483018849637792e-03,9.023297026807122062e-03
1.680000000000000104e-01,4.323544958412146866e-03,9.260249624472327926e-03
1.700000000000000122e-01,4.374305846504115275e-03,9.500505746628300219e-03
1.719999999999999862e-01,4.425826077081467837e-03,9.744439073744776483e-03
1.739999999999999880e-01,4.478152938843164670e-03,9.991929939260827190e-03
1.759999999999999898e-01,4.531377225320279423e-03,1.024325964802618588e-02
1.779999999999999916e-01,4.585395704275563138e-03,1.049804264845168728e-02
1.799999999999999933e-01,4.640253081140407326e-03,1.075704898819427290e-02
1.819999999999999951e-01,4.696135309392495717e-03,1.102090992508090485e-02
1.839999999999999969e-01,4.753108754112963727e-03,1.128985810899112846e-02
1.859999999999999987e-01,4.811016982484983551e-03,1.156374920375432061e-02
1.880000000000000004e-01,4.869988689261621310e-03,1.184336729576903821e-02
1.900000000000000022e-01,4.930037893489502832e-03,1.212901943643940328e-02
1.920000000000000040e-01,4.991139761449520963e-03,1.242053484588182335e-02
1.940000000000000058e-01,5.053296322432695650e-03,1.271779554087053461e-02
1.960000000000000075e-01,5.116320413530229747e-03,1.302067981672672473e-02
1.980000000000000093e-01,5.180323905813646879e-03,1.332893185224098137e-02
2.000000000000000111e-01,5.245231649753090246e-03,1.364250612483823046e-02
2.020000000000000129e-01,5.310889290478648141e-03,1.396088912006074670e-02
2.039999999999999869e-01,5.377385039139454849e-03,1.428412164872097656e-02
2.059999999999999887e-01,5.444611579869834683e-03,1.461152108867611564e-02
2.079999999999999905e-01,5.512577909345713588e-03,1.494294837350893142e-02
2.099999999999999922e-01,5.581296366686369116e-03,1.527859544222400119e-02
2.119999999999999940e-01,5.650634666690618375e-03,1.561835713117220616e-02
2.139999999999999958e-01,5.720794568217530719e-03,1.596246735886952192e-02
2.159999999999999976e-01,5.791757389257775127e-03,1.631093185300347762e-02
2.179999999999999993e-01,5.863681424388997830e-03,1.666405918453638113e-02
2.200000000000000011e-01,5.936790206603053191e-03,1.702206422506781155e-02
2.220000000000000029e-01,6.011272543233133620e-03,1.738514591452311464e-02
2.240000000000000047e-01,6.087193105512691757e-03,1.775305833450728163e-02
2.260000000000000064e-01,6.164571200062016199e-03,1.812526883794032123e-02
2.280000000000000082e-01,6.243472871640062122e-03,1.850220109672558871e-02
2.300000000000000100e-01,6.323765828960018973e-03,1.888365624330823681e-02
2.320000000000000118e-01,6.405321555325693694e-03,1.926933658590195692e-02
2.340000000000000135e-01,6.487902008870850487e-03,1.965938959324121590e-02
2.359999999999999876e-01,6.571447519549127037e-03,2.005352776367019113e-02
2.379999999999999893e-01,6.655731503180062521e-03,2.045076622311311002e-02
2.399999999999999911e-01,6.740622483536336772e-03,2.085083301013068713e-02
2.419999999999999929e-01,6.826071718856466068e-03,2.125358751189843076e-02
2.439999999999999947e-01,6.912080938107616895e-03,2.165855090123986609e-02
2.459999999999999964e-01,6.998529814885476666e-03,2.206517048841993497e-02
2.479999999999999982e-01,7.085424991994897573e-03,2.247338780790891430e-02
2.500000000000000000e-01,7.172771884162217060e-03,2.288368051731965239e-02
2.520000000000000018e-01,7.260593281263676493e-03,2.329531091689428582e-02
2.540000000000000036e-01,7.348749539575724285e-03,2.370791156791188237e-02
2.560000000000000053e-01,7.437187807961613030e-03,2.412089537609323625e-02
2.580000000000000071e-01,7.525866186843527608e-03,2.453314996557396863e-02
2.600000000000000089e-01,7.614758591663014706e-03,2.494437499256252702e-02
2.620000000000000107e-01,7.703830066102912259e-03,2.535442629596843661e-02
2.640000000000000124e-01,7.793136883200938586e-03,2.576309514715787244e-02
2.660000000000000142e-01,7.882659239120536065e-03,2.617059780362979149e-02
2.680000000000000160e-01,7.972424939015379866e-03,2.657716384534201601e-02
2.700000000000000178e-01,8.062338652375562048e-03,2.698257730935941373e-02
2.720000000000000195e-01,8.152397789700940520e-03,2.738727030504484530e-02
2.740000000000000213e-01,8.242659809596796991e-03,2.779183071005308578e-02
2.760000000000000231e-01,8.333149980401324125e-03,2.819636138766403941e-02
2.780000000000000249e-01,8.423822354700412351e-03,2.860078660765538738e-02
2.800000000000000266e-01,8.514690343010274803e-03,2.900544995483146996e-02
2.819999999999999729e-01,8.605743899426485446e-03,2.941068316738513350e-02
2.839999999999999747e-01,8.697093529412400562e-03,2.981664023320156065e-02
2.859999999999999765e-01,8.788864505891518311e-03,3.022416067087391536e-02
