# omega_y,average_angle
-2.000000000000000000e+00,-1.265917132697654546e-01
-1.968503937007874072e+00,-1.245558634070158543e-01
-1.937007874015748143e+00,-1.225220865884731614e-01
-1.905511811023621993e+00,-1.204903446964612074e-01
-1.874015748031496065e+00,-1.184605998727783771e-01
-1.842519685039370136e+00,-1.164328145127354885e-01
-1.811023622047243986e+00,-1.144069512592940513e-01
-1.779527559055118058e+00,-1.123829729973017250e-01
-1.748031496062992129e+00,-1.103608428478210779e-01
-1.716535433070866201e+00,-1.083405241625503418e-01
-1.685039370078740273e+00,-1.063219805183319849e-01
-1.653543307086614123e+00,-1.043051757117478412e-01
-1.622047244094488194e+00,-1.022900737537969923e-01
-1.590551181102362266e+00,-1.002766388646546686e-01
-1.559055118110236116e+00,-9.826483546850940665e-02
-1.527559055118110187e+00,-9.625462818847656254e-02
-1.496062992125984259e+00,-9.424598184158473890e-02
-1.464566929133858331e+00,-9.223886143383443204e-02
-1.433070866141732402e+00,-9.023323215532530472e-02
-1.401574803149606252e+00,-8.822905937545075239e-02
-1.370078740157480324e+00,-8.622630863815750057e-02
-1.338582677165354395e+00,-8.422494565726779125e-02
-1.307086614173228245e+00,-8.222493631186317264e-02
-1.275590551181102317e+00,-8.022624664172645081e-02
-1.244094488188976388e+00,-7.822884284284124801e-02
-1.212598425196850460e+00,-7.623269126294669740e-02
-1.181102362204724532e+00,-7.423775839714547020e-02
-1.149606299212598381e+00,-7.224401088356346978e-02
-1.118110236220472453e+00,-7.025141549905940253e-02
-1.086614173228346525e+00,-6.825993915498249076e-02
-1.055118110236220375e+00,-6.626954889297684281e-02
-1.023622047244094446e+00,-6.428021188083057891e-02
-9.921259842519685179e-01,-6.229189540836823497e-02
-9.606299212598425896e-01,-6.030456688338502874e-02
-9.291338582677166613e-01,-5.831819382762114257e-02
-8.976377952755905110e-01,-5.633274387277476675e-02
-8.661417322834645827e-01,-5.434818475655227993e-02
-8.346456692913386544e-01,-5.236448431875422027e-02
-8.031496062992125040e-01,-5.038161049739545150e-02
-7.716535433070865757e-01,-4.839953132485835807e-02
-7.401574803149606474e-01,-4.641821492407739724e-02
-7.086614173228347191e-01,-4.443762950475391160e-02
-6.771653543307087908e-01,-4.245774335959967560e-02
-6.456692913385826404e-01,-4.047852486060793398e-02
-6.141732283464567121e-01,-3.849994245535075937e-02
-5.826771653543307838e-01,-3.652196466330093205e-02
-5.511811023622046335e-01,-3.454456007217793223e-02
-5.196850393700787052e-01,-3.256769733431594260e-02
-4.881889763779527769e-01,-3.059134516305312204e-02
-4.566929133858268486e-01,-2.861547232914084249e-02
-4.251968503937009203e-01,-2.664004765717152556e-02
-3.937007874015747699e-01,-2.466504002202406926e-02
-3.622047244094488416e-01,-2.269041834532562960e-02
-3.307086614173229133e-01,-2.071615159192844585e-02
-2.992125984251967630e-01,-1.874220876640077249e-02
-2.677165354330708347e-01,-1.676855890953060299e-02
-2.362204724409449064e-01,-1.479517109484107876e-02
-2.047244094488189781e-01,-1.282201442511647464e-02
-1.732283464566930498e-01,-1.084905802893764218e-02
-1.417322834645668994e-01,-8.876271057225658054e-03
-1.102362204724409711e-01,-6.903622679792839958e-03
-7.874015748031504280e-02,-4.931082081899592837e-03
-4.724409448818889246e-02,-2.958618460816411170e-03
-1.574803149606296415e-02,-9.862010223897100126e-04
1.574803149606296415e-02,9.862010223897100126e-04
4.724409448818889246e-02,2.958618460816411604e-03
7.874015748031482076e-02,4.931082081899578959e-03
1.102362204724407491e-01,6.903622679792825213e-03
1.417322834645666774e-01,8.876271057225644176e-03
1.732283464566930498e-01,1.084905802893764218e-02
2.047244094488189781e-01,1.282201442511647464e-02
2.362204724409449064e-01,1.479517109484107876e-02
2.677165354330708347e-01,1.676855890953060299e-02
2.992125984251967630e-01,1.874220876640077249e-02
3.307086614173226913e-01,2.071615159192843197e-02
3.622047244094486196e-01,2.269041834532561572e-02
3.937007874015749920e-01,2.466504002202407966e-02
4.251968503937009203e-01,2.664004765717152556e-02
4.566929133858268486e-01,2.861547232914084249e-02
4.881889763779527769e-01,3.059134516305312204e-02
5.196850393700787052e-01,3.256769733431594260e-02
5.511811023622046335e-01,3.454456007217792529e-02
5.826771653543305618e-01,3.652196466330091817e-02
6.141732283464564901e-01,3.849994245535073856e-02
6.456692913385824184e-01,4.047852486060791316e-02
6.771653543307087908e-01,4.245774335959967560e-02
7.086614173228347191e-01,4.443762950475391160e-02
7.401574803149606474e-01,4.641821492407739724e-02
7.716535433070865757e-01,4.839953132485836501e-02
8.031496062992125040e-01,5.038161049739545150e-02
8.346456692913384323e-01,5.236448431875422027e-02
8.661417322834643606e-01,5.434818475655227299e-02
8.976377952755907330e-01,5.633274387277478062e-02
9.291338582677166613e-01,5.831819382762114257e-02
9.606299212598425896e-01,6.030456688338502874e-02
9.921259842519685179e-01,6.229189540836823497e-02
1.023622047244094446e+00,6.428021188083057891e-02
1.055118110236220375e+00,6.626954889297684281e-02
1.086614173228346303e+00,6.825993915498247688e-02
1.118110236220472231e+00,7.025141549905938865e-02
1.149606299212598159e+00,7.224401088356346978e-02
1.181102362204724532e+00,7.423775839714548408e-02
1.212598425196850460e+00,7.623269126294671127e-02
1.244094488188976388e+00,7.822884284284124801e-02
1.275590551181102317e+00,8.022624664172645081e-02
1.307086614173228245e+00,8.222493631186315877e-02
1.338582677165354173e+00,8.422494565726779125e-02
1.370078740157480102e+00,8.622630863815745894e-02
1.401574803149606474e+00,8.822905937545075239e-02
1.433070866141732402e+00,9.023323215532530472e-02
1.464566929133858331e+00,9.223886143383443204e-02
1.496062992125984259e+00,9.424598184158473890e-02
1.527559055118110187e+00,9.625462818847656254e-02
1.559055118110236116e+00,9.826483546850940665e-02
1.590551181102362044e+00,1.002766388646546408e-01
1.622047244094487972e+00,1.022900737537969923e-01
1.653543307086613900e+00,1.043051757117478412e-01
1.685039370078740273e+00,1.063219805183319849e-01
1.716535433070866201e+00,1.083405241625503418e-01
1.748031496062992129e+00,1.103608428478210640e-01
1.779527559055118058e+00,1.123829729973017250e-01
1.811023622047243986e+00,1.144069512592940513e-01
1.842519685039369914e+00,1.164328145127354608e-01
1.874015748031495843e+00,1.184605998727783632e-01
1.905511811023622215e+00,1.204903446964612351e-01
1.937007874015748143e+00,1.225220865884731614e-01
1.968503937007874072e+00,1.245558634070158543e-01
2.000000000000000000e+00,1.265917132697654546e-01
