# omega_y,average_angle
-2.000000000000000000e+00,1.037595734007713988e+00
-1.968503937007874072e+00,1.021565222840243425e+00
-1.937007874015748143e+00,1.005523742408582555e+00
-1.905511811023621993e+00,9.894712561807205153e-01
-1.874015748031496065e+00,9.734077320826823865e-01
-1.842519685039370136e+00,9.573331426167911440e-01
-1.811023622047243986e+00,9.412474649811267691e-01
-1.779527559055118058e+00,9.251506811900993554e-01
-1.748031496062992129e+00,9.090427781960571663e-01
-1.716535433070866201e+00,8.929237480118831227e-01
-1.685039370078740273e+00,8.767935878345045619e-01
-1.653543307086614123e+00,8.606523001692091279e-01
-1.622047244094488194e+00,8.444998929547049560e-01
-1.590551181102362266e+00,8.283363796888320030e-01
-1.559055118110236116e+00,8.121617795547773078e-01
-1.527559055118110187e+00,7.959761175477226836e-01
-1.496062992125984259e+00,7.797794246017926145e-01
-1.464566929133858331e+00,7.635717377171360454e-01
-1.433070866141732402e+00,7.473531000870391461e-01
-1.401574803149606252e+00,7.311235612248958571e-01
-1.370078740157480324e+00,7.148831770908680161e-01
-1.338582677165354395e+00,6.986320102180395564e-01
-1.307086614173228245e+00,6.823701298379211133e-01
-1.275590551181102317e+00,6.660976120050331462e-01
-1.244094488188976388e+00,6.498145397204118101e-01
-1.212598425196850460e+00,6.335210030537598014e-01
-1.181102362204724532e+00,6.172170992639924858e-01
-1.149606299212598381e+00,6.009029329179594869e-01
-1.118110236220472453e+00,5.845786160069872395e-01
-1.086614173228346525e+00,5.682442680609960384e-01
-1.055118110236220375e+00,5.519000162598558523e-01
-1.023622047244094446e+00,5.355459955416206341e-01
-9.921259842519685179e-01,5.191823487073146115e-01
-9.606299212598425896e-01,5.028092265218631063e-01
-9.291338582677166613e-01,4.864267878107702558e-01
-8.976377952755905110e-01,4.700351995521226400e-01
-8.661417322834645827e-01,4.536346369634647324e-01
-8.346456692913386544e-01,4.372252835830636730e-01
-8.031496062992125040e-01,4.208073313450758079e-01
-7.716535433070865757e-01,4.043809806480636038e-01
-7.401574803149606474e-01,3.879464404163342484e-01
-7.086614173228347191e-01,3.715039281534910920e-01
-6.771653543307087908e-01,3.550536699875943003e-01
-6.456692913385826404e-01,3.385959007072866789e-01
-6.141732283464567121e-01,3.221308637881958870e-01
-5.826771653543307838e-01,3.056588114089223707e-01
-5.511811023622046335e-01,2.891800044558502369e-01
-5.196850393700787052e-01,2.726947125160246177e-01
-4.881889763779527769e-01,2.562032138572653550e-01
-4.566929133858268486e-01,2.397057953946897246e-01
-4.251968503937009203e-01,2.232027526427489694e-01
-3.937007874015747699e-01,2.066943896518683987e-01
-3.622047244094488416e-01,1.901810189287349850e-01
-3.307086614173229133e-01,1.736629613392422777e-01
-2.992125984251967630e-01,1.571405459930660109e-01
-2.677165354330708347e-01,1.406141101088108358e-01
-2.362204724409449064e-01,1.240839988586221743e-01
-2.047244094488189781e-01,1.075505651911385641e-01
-1.732283464566930498e-01,9.101416963161251816e-02
-1.417322834645668994e-01,7.447518005800027319e-02
-1.102362204724409711e-01,5.793397145178983548e-02
-7.874015748031504280e-02,4.139092562230773514e-02
-4.724409448818889246e-02,2.484643090321988351e-02
-1.574803149606296415e-02,8.300881677741964518e-03
1.574803149606296415e-02,-8.300881677741964518e-03
4.724409448818889246e-02,-2.484643090321987310e-02
7.874015748031482076e-02,-4.139092562230763106e-02
1.102362204724407491e-01,-5.793397145178969670e-02
1.417322834645666774e-01,-7.447518005800021768e-02
1.732283464566930498e-01,-9.101416963161250429e-02
2.047244094488189781e-01,-1.075505651911385779e-01
2.362204724409449064e-01,-1.240839988586221743e-01
2.677165354330708347e-01,-1.406141101088108081e-01
2.992125984251967630e-01,-1.571405459930660387e-01
3.307086614173226913e-01,-1.736629613392421945e-01
3.622047244094486196e-01,-1.901810189287348463e-01
3.937007874015749920e-01,-2.066943896518684820e-01
4.251968503937009203e-01,-2.232027526427489139e-01
4.566929133858268486e-01,-2.397057953946896969e-01
4.881889763779527769e-01,-2.562032138572653550e-01
5.196850393700787052e-01,-2.726947125160246177e-01
5.511811023622046335e-01,-2.891800044558502369e-01
5.826771653543305618e-01,-3.056588114089222596e-01
6.141732283464564901e-01,-3.221308637881957759e-01
6.456692913385824184e-01,-3.385959007072864568e-01
6.771653543307087908e-01,-3.550536699875943558e-01
7.086614173228347191e-01,-3.715039281534909810e-01
7.401574803149606474e-01,-3.879464404163342484e-01
7.716535433070865757e-01,-4.043809806480635483e-01
8.031496062992125040e-01,-4.208073313450758635e-01
8.346456692913384323e-01,-4.372252835830635620e-01
8.661417322834643606e-01,-4.536346369634647324e-01
8.976377952755907330e-01,-4.700351995521226955e-01
9.291338582677166613e-01,-4.864267878107703114e-01
9.606299212598425896e-01,-5.028092265218631063e-01
9.921259842519685179e-01,-5.191823487073146115e-01
