# c, p(c)
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,1.999395872823369948e-06
2.020202020202020374e-02,1.138199847255925859e-06
3.030303030303030387e-02,8.397933969446610797e-07
4.040404040404040747e-02,6.834235795663319201e-07
5.050505050505051108e-02,5.825957359337295514e-07
6.060606060606060774e-02,5.131051021159845264e-07
7.070707070707071829e-02,4.627172641517098791e-07
8.080808080808081495e-02,4.250970499324257835e-07
9.090909090909091161e-02,3.945224392732641793e-07
1.010101010101010222e-01,3.683793197005063970e-07
1.111111111111111188e-01,3.462785617254370488e-07
1.212121212121212155e-01,3.271935913280417357e-07
1.313131313131313260e-01,3.094477109759776326e-07
1.414141414141414366e-01,2.931385900291295262e-07
1.515151515151515194e-01,2.785392887650195275e-07
1.616161616161616299e-01,2.646693143021593633e-07
1.717171717171717404e-01,2.513309599204542918e-07
1.818181818181818232e-01,2.386534081442754501e-07
1.919191919191919338e-01,2.259218700054691408e-07
2.020202020202020443e-01,2.133094009754215059e-07
2.121212121212121271e-01,2.006188513155689208e-07
2.222222222222222376e-01,1.878488609552988177e-07
2.323232323232323482e-01,1.740004448418609299e-07
2.424242424242424310e-01,1.590712376359114624e-07
2.525252525252525415e-01,1.424049533129473059e-07
2.626262626262626521e-01,1.220968710145861919e-07
2.727272727272727626e-01,1.005897142690238820e-07
2.828282828282828731e-01,7.927245601634893678e-08
2.929292929292929282e-01,5.956237242779690868e-08
3.030303030303030387e-01,4.351355507230019343e-08
3.131313131313131493e-01,3.096053129871283376e-08
3.232323232323232598e-01,2.146785997864313206e-08
3.333333333333333703e-01,1.455230956349153131e-08
3.434343434343434809e-01,9.663044302195963817e-09
3.535353535353535914e-01,6.421402985836260299e-09
3.636363636363636465e-01,4.207988263575502019e-09
3.737373737373737570e-01,2.732056171919104385e-09
3.838383838383838675e-01,1.775193395463160630e-09
3.939393939393939781e-01,1.142451787121769050e-09
4.040404040404040886e-01,7.298105146981322273e-10
4.141414141414141992e-01,4.625761742718562641e-10
4.242424242424242542e-01,2.945989599944295233e-10
4.343434343434343647e-01,1.864818837836939894e-10
4.444444444444444753e-01,1.145857972380143572e-10
4.545454545454545858e-01,7.168004677857606684e-11
4.646464646464646964e-01,4.459441575440109452e-11
4.747474747474748069e-01,2.880709200495756173e-11
4.848484848484848619e-01,1.854862536964357463e-11
4.949494949494949725e-01,1.165157809804469491e-11
5.050505050505050830e-01,7.113931361346579980e-12
5.151515151515152491e-01,4.433220622947821369e-12
5.252525252525253041e-01,2.734206227410283702e-12
5.353535353535353591e-01,1.820054594428706671e-12
5.454545454545455252e-01,1.215099352653129683e-12
5.555555555555555802e-01,8.269679273757306476e-13
5.656565656565657463e-01,5.769347584919648722e-13
5.757575757575758013e-01,3.664412361111098910e-13
5.858585858585858563e-01,2.156472682481149625e-13
5.959595959595960224e-01,1.227962653310762902e-13
6.060606060606060774e-01,8.087129305338948855e-14
6.161616161616162435e-01,3.239003483712037507e-14
6.262626262626262985e-01,7.383873080465069055e-15
6.363636363636364646e-01,4.115325544489374055e-15
6.464646464646465196e-01,0.000000000000000000e+00
6.565656565656565746e-01,0.000000000000000000e+00
6.666666666666667407e-01,0.000000000000000000e+00
6.767676767676767957e-01,0.000000000000000000e+00
6.868686868686869618e-01,0.000000000000000000e+00
6.969696969696970168e-01,0.000000000000000000e+00
7.070707070707071829e-01,0.000000000000000000e+00
7.171717171717172379e-01,0.000000000000000000e+00
7.272727272727272929e-01,0.000000000000000000e+00
7.373737373737374590e-01,0.000000000000000000e+00
7.474747474747475140e-01,0.000000000000000000e+00
7.575757575757576801e-01,0.000000000000000000e+00
7.676767676767677351e-01,0.000000000000000000e+00
7.777777777777777901e-01,0.000000000000000000e+00
7.878787878787879562e-01,0.000000000000000000e+00
7.979797979797980112e-01,0.000000000000000000e+00
8.080808080808081773e-01,0.000000000000000000e+00
8.181818181818182323e-01,0.000000000000000000e+00
8.282828282828283983e-01,0.000000000000000000e+00
8.383838383838384534e-01,0.000000000000000000e+00
8.484848484848485084e-01,0.000000000000000000e+00
8.585858585858586745e-01,0.000000000000000000e+00
8.686868686868687295e-01,0.000000000000000000e+00
8.787878787878788955e-01,0.000000000000000000e+00
8.888888888888889506e-01,0.000000000000000000e+00
8.989898989898991166e-01,0.000000000000000000e+00
9.090909090909091717e-01,0.000000000000000000e+00
9.191919191919192267e-01,0.000000000000000000e+00
9.292929292929293927e-01,0.000000000000000000e+00
9.393939393939394478e-01,0.000000000000000000e+00
9.494949494949496138e-01,0.000000000000000000e+00
9.595959595959596689e-01,0.000000000000000000e+00
9.696969696969697239e-01,0.000000000000000000e+00
9.797979797979798899e-01,0.000000000000000000e+00
9.898989898989899450e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
