# time, log_rho_var
2.000000000000000042e-03,4.963732757603993507e-05
4.000000000000000083e-03,1.095865456412593658e-04
1.600000000000000033e-02,2.616747836058951233e-03
3.200000000000000067e-02,1.080190218269246050e-02
6.400000000000000133e-02,4.025604159072901367e-02
1.280000000000000027e-01,1.289454541007630239e-01
2.560000000000000053e-01,3.704361595462019041e-01
5.120000000000000107e-01,1.040659335254635609e+00
1.024000000000000021e+00,2.690004673570643767e+00
1.536000000000000032e+00,4.203368774019144105e+00
2.048000000000000043e+00,4.986761542782676138e+00
4.096000000000000085e+00,2.414868113804235161e+00
8.192000000000000171e+00,1.676272562791845250e-02
