# intensity,pdf
5.000000000000000104e-03,9.782419678705113597e+01
1.499999999999999944e-02,1.042828265999704795e+00
2.500000000000000139e-02,4.082196275472167457e-01
3.500000000000000333e-02,2.173270193293364572e-01
4.499999999999999833e-02,1.313173510208281158e-01
5.500000000000000028e-02,8.703425200748637902e-02
6.500000000000000222e-02,6.105411597796030904e-02
7.500000000000001110e-02,4.441581710906438579e-02
8.499999999999999223e-02,3.359663794576293883e-02
9.500000000000000111e-02,2.569953205571257754e-02
1.050000000000000100e-01,2.013295592655008417e-02
1.149999999999999911e-01,1.610970165336109150e-02
1.250000000000000000e-01,1.323616528368848182e-02
1.350000000000000089e-01,1.082069594153826225e-02
1.450000000000000178e-01,8.875427852805060913e-03
1.549999999999999989e-01,7.523220054671961136e-03
1.650000000000000078e-01,6.195280708328150532e-03
1.749999999999999889e-01,5.349676841295983656e-03
1.849999999999999978e-01,4.729314542432898165e-03
1.950000000000000067e-01,3.876885173334986608e-03
2.050000000000000155e-01,3.358905405457883984e-03
2.149999999999999967e-01,2.891737708514534929e-03
2.250000000000000056e-01,2.593690784977631999e-03
2.349999999999999867e-01,2.228905619020258005e-03
2.449999999999999956e-01,1.944509699614809309e-03
2.550000000000000044e-01,1.679831897288144513e-03
2.650000000000000133e-01,1.527395684486827646e-03
2.750000000000000222e-01,1.393160810527459010e-03
2.850000000000000311e-01,1.156543405582137430e-03
2.949999999999999845e-01,1.082221271977509055e-03
3.049999999999999933e-01,9.525367327286273682e-04
3.150000000000000022e-01,8.638052058741294177e-04
3.250000000000000111e-01,7.727985116643880468e-04
3.350000000000000200e-01,6.696575915600143413e-04
3.450000000000000289e-01,5.854763994160034485e-04
3.549999999999999822e-01,5.081207093377259612e-04
3.649999999999999911e-01,4.656509187065105675e-04
3.750000000000000000e-01,4.163556260095671894e-04
3.850000000000000089e-01,3.609932203653078066e-04
3.950000000000000178e-01,3.056308147210484239e-04
4.050000000000000266e-01,2.874294758791001388e-04
4.150000000000000355e-01,2.426845178926452550e-04
4.249999999999999889e-01,2.040066728535037737e-04
4.349999999999999978e-01,1.895972796036280729e-04
4.450000000000000067e-01,1.539529910381459764e-04
4.550000000000000155e-01,1.190670915910784210e-04
4.650000000000000244e-01,1.304429283672961059e-04
4.749999999999999778e-01,8.493958126242584061e-05
4.849999999999999867e-01,7.963085743352379443e-05
4.949999999999999956e-01,5.991274035474646758e-05
5.050000000000000044e-01,4.777851446011427530e-05
5.150000000000000133e-01,3.412751032865305476e-05
5.250000000000000222e-01,2.578523002609341621e-05
5.350000000000000311e-01,1.289261501304670811e-05
5.450000000000000400e-01,3.033556473658048916e-06
5.550000000000000488e-01,8.342280302559635155e-06
5.650000000000000577e-01,3.791945592072561357e-06
5.749999999999999556e-01,3.033556473658082798e-06
5.849999999999999645e-01,4.550334710487072951e-06
5.949999999999999734e-01,1.516778236829024458e-06
6.049999999999999822e-01,1.516778236829024458e-06
6.149999999999999911e-01,2.275167355243536476e-06
6.250000000000000000e-01,7.583891184145122291e-07
6.350000000000000089e-01,1.516778236829024458e-06
6.450000000000000178e-01,0.000000000000000000e+00
6.550000000000000266e-01,7.583891184145122291e-07
6.650000000000000355e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
6.850000000000000533e-01,0.000000000000000000e+00
6.950000000000000622e-01,0.000000000000000000e+00
7.050000000000000711e-01,0.000000000000000000e+00
7.149999999999999689e-01,0.000000000000000000e+00
7.249999999999999778e-01,0.000000000000000000e+00
7.349999999999999867e-01,0.000000000000000000e+00
7.449999999999999956e-01,0.000000000000000000e+00
7.550000000000000044e-01,0.000000000000000000e+00
7.650000000000000133e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
7.850000000000000311e-01,0.000000000000000000e+00
7.950000000000000400e-01,0.000000000000000000e+00
8.050000000000000488e-01,0.000000000000000000e+00
8.150000000000000577e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.349999999999999645e-01,0.000000000000000000e+00
8.449999999999999734e-01,0.000000000000000000e+00
8.549999999999999822e-01,0.000000000000000000e+00
8.649999999999999911e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
8.850000000000000089e-01,0.000000000000000000e+00
8.950000000000000178e-01,0.000000000000000000e+00
9.050000000000000266e-01,0.000000000000000000e+00
9.150000000000000355e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.350000000000000533e-01,0.000000000000000000e+00
9.450000000000000622e-01,0.000000000000000000e+00
9.550000000000000711e-01,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00
9.749999999999999778e-01,0.000000000000000000e+00
9.849999999999999867e-01,0.000000000000000000e+00
9.949999999999999956e-01,0.000000000000000000e+00
