# l_diff,pdf
4.185999999999981267e-05,7.143571500007144550e+02
6.957999999999980477e-05,7.072135785007071718e+02
9.729999999999981719e-05,7.000700070006997748e+02
1.250199999999998296e-04,6.929264355006932874e+02
1.527399999999998149e-04,6.857828640006855494e+02
1.804599999999998274e-04,6.786392925006783798e+02
2.081799999999998127e-04,6.714957210006718924e+02
2.358999999999998251e-04,6.643521495006647228e+02
2.636199999999997833e-04,6.572085780006568712e+02
2.913399999999998500e-04,6.500650065006497016e+02
3.190599999999998082e-04,6.429214350006426457e+02
3.467799999999998748e-04,6.357778635006354762e+02
3.744999999999998330e-04,6.286342920006283066e+02
4.022199999999998454e-04,6.214907205006223876e+02
4.299399999999998579e-04,6.143471490006140812e+02
4.576599999999998161e-04,6.072035775006069116e+02
4.853799999999998827e-04,6.000600060005997420e+02
5.130999999999998409e-04,5.929164345005938230e+02
5.408199999999997992e-04,5.857728630005843797e+02
5.685399999999998658e-04,5.786292915005794839e+02
5.962599999999999324e-04,5.714857200005701543e+02
6.239799999999998906e-04,5.643421485005651448e+02
6.516999999999998489e-04,5.571985770005580889e+02
6.794199999999998071e-04,5.500550055005487593e+02
7.071399999999998737e-04,5.429114340005437498e+02
7.348599999999999403e-04,5.357678625005344202e+02
7.625799999999998986e-04,5.286242910005294107e+02
7.902999999999998568e-04,5.214807195005222411e+02
8.180199999999998150e-04,5.143371480005131389e+02
8.457399999999998816e-04,5.071935765005079020e+02
8.734599999999999483e-04,5.000500050004988566e+02
9.011799999999999065e-04,4.929064335004936197e+02
9.288999999999998647e-04,4.857628620004865070e+02
9.566199999999998229e-04,4.786192905004774616e+02
9.843399999999997811e-04,4.714757190004721679e+02
1.012059999999999956e-03,4.643321475004649983e+02
1.039779999999999914e-03,4.571885760004542476e+02
1.067499999999999873e-03,4.500450045004507160e+02
1.095220000000000048e-03,4.429014330004436033e+02
1.122939999999999789e-03,4.357578615004364337e+02
1.150659999999999964e-03,4.286142900004292073e+02
1.178379999999999922e-03,4.214707185004187977e+02
1.206099999999999881e-03,4.143271470004149819e+02
1.233820000000000056e-03,4.071835755004078123e+02
1.261539999999999797e-03,4.000400040004006428e+02
1.289259999999999972e-03,3.928964325003934732e+02
1.316979999999999930e-03,3.857528610003832910e+02
1.344699999999999888e-03,3.786092895003791909e+02
1.372420000000000063e-03,3.714657180003720214e+02
1.400139999999999805e-03,3.643221465003648518e+02
1.427859999999999980e-03,3.571785750003577391e+02
1.455579999999999938e-03,3.500350035003478411e+02
1.483299999999999896e-03,3.428914320003434000e+02
1.511020000000000071e-03,3.357478605003362873e+02
1.538739999999999813e-03,3.286042890003290609e+02
1.566459999999999988e-03,3.214607175003219481e+02
1.594179999999999946e-03,3.143171460003123343e+02
1.621899999999999904e-03,3.071735745003076090e+02
1.649620000000000079e-03,3.000300030003004963e+02
1.677339999999999821e-03,2.928864315002933267e+02
1.705059999999999996e-03,2.857428600002861572e+02
1.732779999999999954e-03,2.785992885002768276e+02
1.760499999999999912e-03,2.714557170002718749e+02
1.788220000000000087e-03,2.643121455002647053e+02
1.815939999999999829e-03,2.571685740002575926e+02
1.843660000000000004e-03,2.500250025002503946e+02
1.871379999999999962e-03,2.428814310002413777e+02
1.899099999999999920e-03,2.357378595002360839e+02
1.926820000000000095e-03,2.285942880002289428e+02
1.954539999999999837e-03,2.214507165002218017e+02
1.982260000000000012e-03,2.143071450002129552e+02
2.009979999999999753e-03,2.071635735002090826e+02
2.037699999999999928e-03,2.000200020001987582e+02
2.065420000000000103e-03,1.928764305001916455e+02
2.093140000000000278e-03,1.857328590001874602e+02
2.120860000000000019e-03,1.785892875001774485e+02
2.148579999999999761e-03,1.714457160001730358e+02
2.176299999999999936e-03,1.643021445001632799e+02
2.204020000000000111e-03,1.571585730001561672e+02
2.231740000000000286e-03,1.500150015001514134e+02
2.259460000000000027e-03,1.428714300001419701e+02
2.287179999999999769e-03,1.357278585001369891e+02
2.314899999999999944e-03,1.285842870001277731e+02
2.342620000000000119e-03,1.214407155001206888e+02
2.370340000000000294e-03,1.142971440001153667e+02
2.398060000000000035e-03,1.071535725001064776e+02
2.425779999999999777e-03,1.000100010001009423e+02
2.453499999999999952e-03,9.286642950009228059e+01
2.481220000000000127e-03,8.572285800008518208e+01
2.508940000000000302e-03,7.857928650007931992e+01
2.536660000000000043e-03,7.143571500007098507e+01
2.564379999999999785e-03,6.429214350006489553e+01
2.592099999999999960e-03,5.714857200005678095e+01
2.619820000000000135e-03,5.000500050004968955e+01
2.647540000000000310e-03,4.286142900004325895e+01
2.675260000000000051e-03,3.571785750003549254e+01
2.702979999999999793e-03,2.857428600002884167e+01
2.730699999999999968e-03,2.143071450002129552e+01
2.758420000000000143e-03,1.428714300001419524e+01
2.786140000000000318e-03,7.143571500007210417e+00
