# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,7.853981633974482790e-01,0.000000000000000000e+00,-5.272495422822985889e-01,8.497104919695335212e-01
1.445923679948239449e-01,7.081964786975902815e-01,2.327580535980297918e-02,-5.564605792241363869e-01,8.308740119714532746e-01
2.891847359896478897e-01,6.301168985164190550e-01,5.251522215543043270e-02,-5.813486465460274699e-01,8.136545650084573422e-01
4.337771039844718346e-01,5.529843936335967491e-01,8.868840482552380056e-02,-6.012542697633095345e-01,7.990577595464480876e-01
5.783694719792957795e-01,4.787676574998938617e-01,1.325544089318858587e-01,-6.157608216456306183e-01,7.879331256688588692e-01
7.229618399741197798e-01,4.095591683615607548e-01,1.846394043725059497e-01,-6.245670695462096633e-01,7.809711746527269183e-01
8.675542079689436692e-01,3.475529932106132813e-01,2.452760846394419492e-01,-6.273204521522959265e-01,7.787612280483915406e-01
1.012146575963767559e+00,2.948870978067327231e-01,3.143990450265752301e-01,-6.235426376221196998e-01,7.817893444318937402e-01
1.156738943958591559e+00,2.535592764144434796e-01,3.913585887629826843e-01,-6.125748556027087455e-01,7.904125797855956481e-01
1.301331311953415559e+00,2.253564961748705797e-01,4.754478697718246827e-01,-5.934064542528730835e-01,8.049029631272537344e-01
1.445923679948239560e+00,2.118491471173994112e-01,5.659344556173888652e-01,-5.647025739435295177e-01,8.252944946996511044e-01
1.590516047943063338e+00,2.143910421596752491e-01,6.620603275050893632e-01,-5.250192832100637474e-01,8.510903314323283730e-01
1.735108415937887338e+00,2.341194171076039776e-01,7.630418802814686874e-01,-4.732929124172212121e-01,8.809051135369940777e-01
1.879700783932711339e+00,2.719871843630844443e-01,8.680455833143655431e-01,-4.096284705595190090e-01,9.122524409981423998e-01
2.024293151927535117e+00,3.291734080599109102e-01,9.755922064590746290e-01,-3.363606917035901755e-01,9.417332345609782385e-01
2.168885519922359340e+00,4.032481146947659578e-01,1.086115709700796739e+00,-2.581411636193146064e-01,9.661072091881243162e-01
2.313477887917183118e+00,4.904296601490960583e-01,1.201225367456966620e+00,-1.805044387651126014e-01,9.835741698449038672e-01
2.458070255912006896e+00,5.868537451905923019e-01,1.322922218207943867e+00,-1.083769916808625944e-01,9.941098670037464835e-01
2.602662623906831119e+00,6.885734154731893986e-01,1.453599064497013371e+00,-4.498892635588689487e-02,9.989874856600279296e-01
2.747254991901654897e+00,7.915590615370650118e-01,1.596040472930382759e+00,8.389944584507702530e-03,9.999648037955480850e-01
2.891847359896479119e+00,8.916984188086416463e-01,1.753422774177185950e+00,5.213689284630530080e-02,9.986399473305346275e-01
3.036439727891302898e+00,9.847965676005845381e-01,1.929314062969478716e+00,8.788304261855299504e-02,9.961308000559493392e-01
3.181032095886126676e+00,1.066833018809286049e+00,2.127977676601253698e+00,1.184011148203633901e-01,9.929658483600002361e-01
3.325624463880950898e+00,1.136672338704958873e+00,2.352246247904676402e+00,1.463965058086164894e-01,9.892259919184431816e-01
3.470216831875774677e+00,1.194962432101159822e+00,2.599309187108938879e+00,1.732149605154527372e-01,9.848840426434120054e-01
3.614809199870598455e+00,1.242394714975127545e+00,2.864338518112854892e+00,1.993739821051352112e-01,9.799234741853780628e-01
3.759401567865422678e+00,1.279689337092572599e+00,3.140799263178261747e+00,2.233861440562894818e-01,9.747300296203368353e-01
3.903993935860246456e+00,1.307595182007676771e+00,3.420449442930018513e+00,2.404796805293745177e-01,9.706541728404044500e-01
4.048586303855070234e+00,1.326889867063095307e+00,3.693340076356011359e+00,2.430626000797377340e-01,9.700106042938281270e-01
4.193178671849894457e+00,1.338379743389954690e+00,3.947815180807149105e+00,2.247906220117521781e-01,9.744070895963193868e-01
4.337771039844718679e+00,1.343132762050810003e+00,4.174516901537736580e+00,1.858073547415334259e-01,9.825861931270730709e-01
4.482363407839542013e+00,1.339368061509394359e+00,4.376555835843338294e+00,1.322265186368446754e-01,9.912195255185302090e-01
4.626955775834366236e+00,1.322279588592021327e+00,4.554654166696051831e+00,7.046574008170485015e-02,9.975142001368890732e-01
4.771548143829190458e+00,1.288057170967697562e+00,4.709901307922070401e+00,1.271851353672844107e-03,9.999991911967400782e-01
4.916140511824013792e+00,1.234000037151063767e+00,4.844110482239270432e+00,-7.748440177730073208e-02,9.969935644131379116e-01
5.060732879818838015e+00,1.158516816502393354e+00,4.959818721257216012e+00,-1.660667367700333630e-01,9.861145161382386393e-01
5.205325247813662237e+00,1.061125539227593784e+00,5.060286865477150009e+00,-2.601502169211032944e-01,9.655681563907867471e-01
5.349917615808485571e+00,9.424536363782070048e-01,5.149499564291999398e+00,-3.516753034767950425e-01,9.361220438193430526e-01
5.494509983803309794e+00,8.033041293853928622e-01,5.231328826409087362e+00,-4.320855128988819738e-01,9.018326394309036376e-01
5.639102351798134016e+00,6.444314212349033788e-01,5.308691905598388772e+00,-4.950018601283998620e-01,8.688919141466470153e-01
5.783694719792957351e+00,4.709535933037861666e-01,5.387017018506208288e+00,-5.387950345277563446e-01,8.424368882997905761e-01
