# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.496369390800624810e-01,7.602445970756301907e-01
2.500000000000000139e-02,-1.590243005842152668e-02,1.929024240625225317e-02,-6.360967831582199361e-01,7.716092809549174314e-01
5.000000000000000278e-02,-3.111790554267738346e-02,3.913665064336445398e-02,-6.223578521681554232e-01,7.827328432132131253e-01
7.500000000000001110e-02,-4.563184658979341224e-02,5.952089381931329609e-02,-6.084244394139968204e-01,7.936118078278345811e-01
1.000000000000000056e-01,-5.943010153686654334e-02,8.042428780063892724e-02,-5.943008989738405301e-01,8.042427752108719519e-01
1.250000000000000000e-01,-7.249896608012816601e-02,1.018278144699614612e-01,-5.799916443391375243e-01,8.146224232715323366e-01
1.500000000000000222e-01,-8.482518255229472282e-02,1.237121382625429450e-01,-5.655011470355133518e-01,8.247475084542654766e-01
1.750000000000000167e-01,-9.639594911194097893e-02,1.460576141114591497e-01,-5.508339352254529864e-01,8.346148667523491937e-01
2.000000000000000111e-01,-1.071989295639467765e-01,1.688442970145143385e-01,-5.359945922932860540e-01,8.442214146966151578e-01
2.250000000000000056e-01,-1.172222592321127410e-01,1.920519539577391355e-01,-5.209877554129170862e-01,8.535641503190083412e-01
2.500000000000000000e-01,-1.264545447810495327e-01,2.156600631183522299e-01,-5.058181140987466629e-01,8.626401540906772913e-01
2.750000000000000222e-01,-1.348848763100208847e-01,2.396478349738851987e-01,-4.904904087402356394e-01,8.714465898343034533e-01
3.000000000000000444e-01,-1.425028376521779439e-01,2.639942297004320149e-01,-4.750094291205730346e-01,8.799807056103828851e-01
3.250000000000000111e-01,-1.492985110456935549e-01,2.886779625697606377e-01,-4.593800129199067661e-01,8.882398345771859161e-01
3.500000000000000333e-01,-1.552624711423903070e-01,3.136775046499253872e-01,-4.436070442036079142e-01,8.962213958241224132e-01
3.750000000000000000e-01,-1.603857985371468786e-01,3.389711014604903649e-01,-4.276954518960414120e-01,9.039228951782563026e-01
4.000000000000000222e-01,-1.646600867543679958e-01,3.645367862306167495e-01,-4.116502082403156182e-01,9.113419259837137743e-01
4.250000000000000444e-01,-1.680774414137715111e-01,3.903523884003621269e-01,-3.954763272444976607e-01,9.184761698537436958e-01
4.500000000000000111e-01,-1.706304897628858619e-01,4.163955453535629347e-01,-3.791788631147770539e-01,9.253233973951946467e-01
4.750000000000000333e-01,-1.723123823154589784e-01,4.426437144286698988e-01,-3.627629086760661981e-01,9.318814689051821976e-01
5.000000000000000000e-01,-1.731167963928773035e-01,4.690741845961755030e-01,-3.462335937805355868e-01,9.381483350397287202e-01
5.250000000000000222e-01,-1.730379427163935280e-01,4.956640868973066771e-01,-3.295960837045753822e-01,9.441220374541665628e-01
5.500000000000000444e-01,-1.720705655280870272e-01,5.223904075674035141e-01,-3.128555775346893442e-01,9.498007094151046381e-01
5.750000000000000666e-01,-1.702099479337777221e-01,5.492299990543363375e-01,-2.960173065428223782e-01,9.551825763837680228e-01
6.000000000000000888e-01,-1.674519150105906184e-01,5.761595917614700246e-01,-2.790865325516306839e-01,9.602659565705261580e-01
6.250000000000000000e-01,-1.637928326868103024e-01,6.031558072146603333e-01,-2.620685462902050400e-01,9.650492614604389008e-01
6.500000000000000222e-01,-1.592296170453086079e-01,6.301951680257056321e-01,-2.449686657407607882e-01,9.695309963096546690e-01
6.750000000000000444e-01,-1.537597353705097147e-01,6.572541103709711452e-01,-2.277922344768117946e-01,9.737097606125046934e-01
7.000000000000000666e-01,-1.473812083301862808e-01,6.843089961199364524e-01,-2.105446199933474760e-01,9.775842485391512682e-01
7.250000000000000888e-01,-1.400926039014903923e-01,7.113361266061856147e-01,-1.932312120295338886e-01,9.811532493436473379e-01
7.500000000000000000e-01,-1.318930436906962100e-01,7.383117540412162949e-01,-1.758574208844644327e-01,9.844156477422859597e-01
7.750000000000000222e-01,-1.227822059121596449e-01,7.652120936340767177e-01,-1.584286757264848355e-01,9.873704242621166305e-01
8.000000000000000444e-01,-1.127603236800353292e-01,7.920133366789379181e-01,-1.409504228966232398e-01,9.900166555595230067e-01
8.250000000000000666e-01,-1.018281879984552912e-01,8.186916613156862699e-01,-1.234281242066519596e-01,9.923535147087590991e-01
8.500000000000000888e-01,-8.998715361332537688e-02,8.452232412584282928e-01,-1.058672552323162847e-01,9.943802714603582338e-01
8.750000000000000000e-01,-7.723912948770551845e-02,8.715842645629143792e-01,-8.827330360226154360e-02,9.960962924693289589e-01
9.000000000000000222e-01,-6.358658172828425548e-02,8.977509440149951114e-01,-7.065176728319352839e-02,9.975010414930710612e-01
9.250000000000000444e-01,-4.903253335130562662e-02,9.236995294390873967e-01,-5.300815286180906444e-02,9.985940795589463015e-01
9.500000000000000666e-01,-3.358056717724924867e-02,9.494063171049947902e-01,-3.534797382403225691e-02,9.993750651014541297e-01
9.750000000000000888e-01,-1.723482231034603046e-02,9.748476644010448666e-01,-1.767674883209497533e-02,9.998437540689680825e-01
1.000000000000000000e+00,7.627367015761166158e-09,1.000000002816393341e+00,0.000000000000000000e+00,1.000000000000000000e+00
