# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.838279814833314596e-01,7.296432633420475433e-01
5.303300858899105685e-02,-1.847462164596115619e-02,1.971333946232251347e-02,-6.808902986809785007e-01,7.323854184526941147e-01
1.060660171779821137e-01,-3.764813411862192455e-02,4.017823993996001014e-02,-6.777129899654597001e-01,7.353265283070349323e-01
1.590990257669731567e-01,-5.754358112274204212e-02,6.142577289652003530e-02,-6.742758607916797819e-01,7.384795620419291051e-01
2.121320343559642274e-01,-7.818480553730519644e-02,8.348809119177449944e-02,-6.705569538847483413e-01,7.418580535363941131e-01
2.651650429449552981e-01,-9.959650200645946139e-02,1.063984030779886458e-01,-6.665323965060890865e-01,7.454760656170321687e-01
3.181980515339463134e-01,-1.218039132802561930e-01,1.301912786500741825e-01,-6.621762373531824286e-01,7.493481371730912333e-01
3.712310601229373841e-01,-1.448328284943314337e-01,1.549026515903283441e-01,-6.574602735813280807e-01,7.534892093868135188e-01
4.242640687119284548e-01,-1.687095831699058079e-01,1.805698191684336762e-01,-6.523538689460304241e-01,7.579145266262847791e-01
4.772970773009195256e-01,-1.934610592137847029e-01,2.072314422414580637e-01,-6.468237647505420407e-01,7.626395068142846068e-01
5.303300858899105963e-01,-2.191146849183579770e-01,2.349275452538549525e-01,-6.408338861904731010e-01,7.676795752851679477e-01
5.833630944789016670e-01,-2.456984349616002650e-01,2.636995162374630719e-01,-6.343451478704285051e-01,7.730499552895946369e-01
6.363961030678926267e-01,-2.732408304070708116e-01,2.935901068115065460e-01,-6.273152637890336836e-01,7.787654074349317224e-01
6.894291116568836975e-01,-3.017709387039136382e-01,3.246434321825950597e-01,-6.196985690185944362e-01,7.848399095078602006e-01
7.424621202458747682e-01,-3.313183736868571261e-01,3.569049711447234707e-01,-6.114458627187883133e-01,7.912862673925769030e-01
7.954951288348658389e-01,-3.619132955762147663e-01,3.904215660792722531e-01,-6.025042850941689787e-01,7.981156472862590556e-01
8.485281374238569096e-01,-3.935864109778840492e-01,4.252414229550070535e-01,-5.928172444967315657e-01,8.053370192827983276e-01
9.015611460128479804e-01,-4.263689728833477410e-01,4.614141113280791351e-01,-5.823244151258668566e-01,8.129565028636630553e-01
9.545941546018390511e-01,-4.602980130314096030e-01,4.989874652826744028e-01,-5.709618306795196663e-01,8.209766061874671506e-01
1.007627163190830011e+00,-4.954221512173418440e-01,5.380041536305237848e-01,-5.586621047729113387e-01,8.293953536707935337e-01
1.060660171779821193e+00,-5.317628273934015271e-01,5.785236904525666857e-01,-5.453548147515755451e-01,8.382053006437472087e-01
1.113693180368812152e+00,-5.693407102711781631e-01,6.206060437330636059e-01,-5.309670912906642171e-01,8.473924403523620530e-01
1.166726188957803334e+00,-6.081788228477362779e-01,6.643097586751031125e-01,-5.154244612532976610e-01,8.569350178057540957e-01
1.219759197546794294e+00,-6.483025424056143571e-01,7.096919577006006730e-01,-4.986519947214099746e-01,8.668022774314562140e-01
1.272792206135785253e+00,-6.897396005128255680e-01,7.568083404502996547e-01,-4.805758075799674289e-01,8.769531875584136715e-01
1.325825214724776435e+00,-7.325200830228578708e-01,8.057131837837709920e-01,-4.611249667921046291e-01,8.873352044188151933e-01
1.378858223313767395e+00,-7.766764300746729077e-01,8.564593417794121866e-01,-4.402338344501618983e-01,8.978831611102345844e-01
1.431891231902758577e+00,-8.222434360927074470e-01,9.090982457344493062e-01,-4.178448665302768039e-01,9.085183914012391337e-01
1.484924240491749536e+00,-8.692582497868721614e-01,9.636799041649348752e-01,-3.939118508637321492e-01,9.191482218603858056e-01
1.537957249080740718e+00,-9.177603741525528491e-01,1.020252902805749873e+00,-3.684035247217351539e-01,9.296659846270605154e-01
1.590990257669731678e+00,-9.677916664706089911e-01,1.078864404610601735e+00,-3.413074556509925750e-01,9.399517119070776028e-01
1.644023266258722860e+00,-1.019396338307375194e+00,1.139560149752026019e+00,-3.126340023173921345e-01,9.498736655971724563e-01
1.697056274847713819e+00,-1.072620955514659746e+00,1.202384455621385406e+00,-2.824201010233570730e-01,9.592908247960870716e-01
1.750089283436704779e+00,-1.127514438229746396e+00,1.267380216828870143e+00,-2.507325581005223625e-01,9.680563952107170689e-01
1.803122292025695961e+00,-1.184128060875392574e+00,1.334588905203498266e+00,-2.176704820114915839e-01,9.760223159645915469e-01
1.856155300614686920e+00,-1.242515452159830502e+00,1.404050569793114489e+00,-1.833664772141606614e-01,9.830446251488631493e-01
1.909188309203678102e+00,-1.302732595076766531e+00,1.475803836864391538e+00,-1.479862590377452602e-01,9.889894171001090140e-01
1.962221317792669062e+00,-1.364837826905381801e+00,1.549885909902829706e+00,-1.117264439314363950e-01,9.937390008077754411e-01
2.015254326381660022e+00,-1.428891839210331360e+00,1.626332569612755741e+00,-7.481042142303155618e-02,9.971977741885048596e-01
2.068287334970651425e+00,-1.494957677841746602e+00,1.705178173917325957e+00,-3.748240882318655542e-02,9.992972876120557180e-01
2.121320343559642385e+00,-1.563100742935229714e+00,1.786455657958521126e+00,0.000000000000000000e+00,1.000000000000000000e+00
