# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.071067811865475727e-01,-7.071067811865474617e-01
1.250000000000000000e-01,5.573706392457796616e-02,9.568107688331894956e-01,7.382729543693030694e-01,-6.745020717883829509e-01
2.500000000000000000e-01,1.326823465210623387e-01,9.157405545773510402e-01,7.689212531643788706e-01,-6.393434964337411097e-01
3.750000000000000000e-01,2.281433255550357198e-01,8.769388752231247475e-01,7.985112603532423803e-01,-6.019798726611017559e-01
5.000000000000000000e-01,3.396078262364795597e-01,8.405287635608058583e-01,8.265198543987194446e-01,-5.629075681537063502e-01
6.250000000000000000e-01,4.647615298937733397e-01,8.065982506212323599e-01,8.524898423896728472e-01,-5.227437886980874637e-01
7.500000000000000000e-01,6.015022627867236960e-01,7.751941636271961755e-01,8.760722140890527809e-01,-4.821799204665255245e-01
8.750000000000000000e-01,7.479491581732451433e-01,7.463193510422699850e-01,8.970529796444970394e-01,-4.419230155931342385e-01
1.000000000000000000e+00,9.024456512571997768e-01,7.199335174878160881e-01,9.153598933432638418e-01,-4.026366422205122642e-01
1.125000000000000000e+00,1.063555476138727141e+00,6.959575648843172591e-01,9.310496747911031212e-01,-3.648924541168001023e-01
1.250000000000000000e+00,1.230052185130862341e+00,6.742803875063230201e-01,9.442813318766497543e-01,-3.291394328688986293e-01
1.375000000000000000e+00,1.400903297623927513e+00,6.547669936308266880e-01,9.552831443742546558e-01,-2.956926006420126374e-01
1.500000000000000000e+00,1.575250731466347753e+00,6.372667972532182201e-01,9.643202912617416800e-01,-2.647383158155795502e-01
1.625000000000000000e+00,1.752389513461287462e+00,6.216211651613080535e-01,9.716678068784889710e-01,-2.363507416445893017e-01
1.750000000000000000e+00,1.931746127560786119e+00,6.076697661236073467e-01,9.775908520385228062e-01,-2.105139568071315304e-01
1.875000000000000000e+00,2.112857885720728301e+00,5.952554757896894033e-01,9.823322894056085719e-01,-1.871450592218121545e-01
2.000000000000000000e+00,2.295354099947967352e+00,5.842278858105384165e-01,9.861063359836843567e-01,-1.661153037285643119e-01
2.125000000000000000e+00,2.478939483921481557e+00,5.744455951907181390e-01,9.890966592151222425e-01,-1.472677789928412972e-01
2.250000000000000000e+00,2.663379917252291396e+00,5.657775211721454145e-01,9.914573607244383524e-01,-1.304312150726622543e-01
2.375000000000000000e+00,2.848490465651122072e+00,5.581034608880264258e-01,9.933155998394161967e-01,-1.154301482094720055e-01
2.500000000000000000e+00,3.034125485952833046e+00,5.513141179150848892e-01,9.947749613219614151e-01,-1.020919993284982175e-01
2.625000000000000000e+00,3.220170551545644244e+00,5.453107660544954660e-01,9.959189875852280105e-01,-9.025170451140841765e-02
2.750000000000000000e+00,3.406535927475185410e+00,5.400046857168544490e-01,9.968145359188742560e-01,-7.975450445485331163e-02
2.875000000000000000e+00,3.593151354254493501e+00,5.353164649219530613e-01,9.975147898096758947e-01,-7.045739216688554074e-02
3.000000000000000000e+00,3.779961885650753750e+00,5.311752456818717993e-01,9.980618573052333353e-01,-6.222964721439178809e-02
3.125000000000000000e+00,3.966924583872616150e+00,5.275179600121386869e-01,9.984889555497937774e-01,-5.495275830276263179e-02
3.250000000000000000e+00,4.154005925188307913e+00,5.242885756000285058e-01,9.988222142320339891e-01,-4.851993772272518435e-02
3.375000000000000000e+00,4.341179748074972089e+00,5.214373860569327945e-01,9.990821422007999386e-01,-4.283541916989189180e-02
3.500000000000000000e+00,4.528425644624649138e+00,5.189203479527995100e-01,9.992848088465619005e-01,-3.781363257464732952e-02
3.625000000000000000e+00,4.715727701946387462e+00,5.166984695532299554e-01,9.994427883027259263e-01,-3.337832994133658332e-02
3.750000000000000000e+00,4.903073514603342176e+00,5.147372559199927533e-01,9.995659093915660875e-01,-2.946171723120753413e-02
3.875000000000000000e+00,5.090453404110767188e+00,5.130062067945199145e-01,9.996618487663868624e-01,-2.600361745929537921e-02
4.000000000000000000e+00,5.277859857794966914e+00,5.114783661803464776e-01,9.997365983268836631e-01,-2.295068551897980202e-02
4.125000000000000000e+00,5.465286995210839827e+00,5.101299172549310645e-01,9.997948327105184996e-01,-2.025567785453033509e-02
4.250000000000000000e+00,5.652730244467466747e+00,5.089398227653215701e-01,9.998401974512944879e-01,-1.787678831771732924e-02
4.375000000000000000e+00,5.840186046989431112e+00,5.078895050597128646e-01,9.998755346611133410e-01,-1.577704617958385763e-02
4.500000000000000000e+00,6.027651623130183545e+00,5.069625591256986530e-01,9.999030596388148728e-01,-1.392376834540440950e-02
4.625000000000000000e+00,6.215124812908298324e+00,5.061445022036972219e-01,9.999244987368594018e-01,-1.228807657203888522e-02
4.750000000000000000e+00,6.402603933407039705e+00,5.054225492386501539e-01,9.999411971065857996e-01,-1.084446075413041978e-02
4.875000000000000000e+00,6.590087671367971467e+00,5.047854136065083042e-01,9.999542027794995347e-01,-9.570388895732301685e-03
5.000000000000000000e+00,6.777575006489173326e+00,5.042231337282049308e-01,9.999643321914070127e-01,-8.445966196558839581e-03
