# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,-4.500000000000000111e-01,-6.564755740158460806e-02,-9.978428725040859870e-01
1.250000000000000000e-01,-3.604989320579273793e-01,-5.123734609099197534e-01,-6.161879700304178503e-02,-9.980997564652033249e-01
2.500000000000000000e-01,-7.839141117958309257e-01,-5.747615714828380185e-01,-5.805435422821351998e-02,-9.983134237077777584e-01
3.750000000000000000e-01,-1.274178316177039916e+00,-6.371619310519710533e-01,-5.487856483021320841e-02,-9.984930360909765046e-01
5.000000000000000000e-01,-1.835220095329280543e+00,-6.995726359988264642e-01,-5.203131430930148932e-02,-9.986454537678758347e-01
6.250000000000000000e-01,-2.470964637177466727e+00,-7.619921569674048545e-01,-4.946424831853332010e-02,-9.987758948524351199e-01
7.500000000000000000e-01,-3.185334409171092229e+00,-8.244192511892988184e-01,-4.713803729346788957e-02,-9.988883848759677608e-01
8.750000000000000000e-01,-3.982249653007467138e+00,-8.868528986339003772e-01,-4.502036905559742008e-02,-9.989860691571718077e-01
1.000000000000000000e+00,-4.865628771738860436e+00,-9.492922546599110722e-01,-4.308445340335843171e-02,-9.990714338198914968e-01
1.125000000000000000e+00,-5.839388639636461598e+00,-1.011736613652387096e+00,-4.130789284447466264e-02,-9.991464647331488313e-01
1.250000000000000000e+00,-6.907444847643469110e+00,-1.074185381583372401e+00,-3.967181912003299449e-02,-9.992127635132106445e-01
1.375000000000000000e+00,-8.073711897495932988e+00,-1.136638055396099301e+00,-3.816022539487459037e-02,-9.992716333399103146e-01
1.500000000000000000e+00,-9.342103370750932001e+00,-1.199094205610955033e+00,-3.675944438266962044e-02,-9.993241432331539942e-01
1.625000000000000000e+00,-1.071653207284646925e+01,-1.261553461585205316e+00,-3.545773654277030451e-02,-9.993711767502920784e-01
1.750000000000000000e+00,-1.220091010815895061e+01,-1.324015505418419503e+00,-3.424496208734986724e-02,-9.994134692766732941e-01
1.875000000000000000e+00,-1.379914899613359047e+01,-1.386480060708468631e+00,-3.311231780520280249e-02,-9.994516368537135209e-01
2.000000000000000000e+00,-1.551515974884294558e+01,-1.448946885918636962e+00,-3.205212408225464882e-02,-9.994861986750070981e-01
2.125000000000000000e+00,-1.735285291974966171e+01,-1.511415770375097889e+00,-3.105765132919190846e-02,-9.995175947895635904e-01
2.250000000000000000e+00,-1.931613867778611748e+01,-1.573886527793213475e+00,-3.012297764205041500e-02,-9.995462001418325970e-01
2.375000000000000000e+00,-2.140892683975938127e+01,-1.636358994150343582e+00,-2.924287123938067862e-02,-9.995723357925012653e-01
2.500000000000000000e+00,-2.363512690757930557e+01,-1.698833024502792499e+00,-2.841269285819681550e-02,-9.995962779465246140e-01
2.625000000000000000e+00,-2.599864812605675723e+01,-1.761308488748319023e+00,-2.762831426579320446e-02,-9.996182652647112032e-01
2.750000000000000000e+00,-2.850339948345146723e+01,-1.823785271810730357e+00,-2.688604980390076060e-02,-9.996385048235897353e-01
2.875000000000000000e+00,-3.115328975929379141e+01,-1.886263269700679146e+00,-2.618259869133360632e-02,-9.996571769990792999e-01
3.000000000000000000e+00,-3.395222754176025148e+01,-1.948742388856992136e+00,-2.551499608639812289e-02,-9.996744394925335397e-01
3.125000000000000000e+00,-3.690412122056373789e+01,-2.011222546509509712e+00,-2.488057141868708216e-02,-9.996904306663536577e-01
3.250000000000000000e+00,-4.001287903590049666e+01,-2.073703667405539797e+00,-2.427691280519217801e-02,-9.997052723201219626e-01
3.375000000000000000e+00,-4.328240910059243873e+01,-2.136185682476227754e+00,-2.370183648905086621e-02,-9.997190720132562713e-01
3.500000000000000000e+00,-4.671661937295157685e+01,-2.198668530560482282e+00,-2.315336048350826598e-02,-9.997319250170622063e-01
3.625000000000000000e+00,-5.031941772241644628e+01,-2.261152154215479992e+00,-2.262968183485898621e-02,-9.997439159605089332e-01
3.750000000000000000e+00,-5.409471191097537712e+01,-2.323636501456412873e+00,-2.212915684503708597e-02,-9.997551202256119707e-01
3.875000000000000000e+00,-5.804640951257452031e+01,-2.386121528557493932e+00,-2.165028385069872260e-02,-9.997656051341154981e-01
4.000000000000000000e+00,-6.217841815916828807e+01,-2.448607189177985255e+00,-2.119168828734476276e-02,-9.997754309581387000e-01
4.125000000000000000e+00,-6.649464527283876691e+01,-2.511093446245096228e+00,-2.075210944209031003e-02,-9.997846517894257712e-01
4.250000000000000000e+00,-7.099899827668212993e+01,-2.573580262724594281e+00,-2.033038896869490339e-02,-9.997933162831114107e-01
4.375000000000000000e+00,-7.569538455477076866e+01,-2.636067603212431720e+00,-1.992546069631230196e-02,-9.998014683006020142e-01
4.500000000000000000e+00,-8.058771129408795275e+01,-2.698555440175553599e+00,-1.953634160338249201e-02,-9.998091474660331102e-01
4.625000000000000000e+00,-8.567988575478874225e+01,-2.761043743158699382e+00,-1.916212393164640204e-02,-9.998163896468331702e-01
4.750000000000000000e+00,-9.097581513603942938e+01,-2.823532484074343429e+00,-1.880196808976281400e-02,-9.998232273736951115e-01
4.875000000000000000e+00,-9.647940645380802493e+01,-2.886021641990331954e+00,-1.845509634757863671e-02,-9.998296902066879932e-01
5.000000000000000000e+00,-1.021945668209144458e+02,-2.948511192191662023e+00,-1.812078730014188982e-02,-9.998358050538213027e-01
