# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.570092458683774920e-16,1.000000000000000000e+00
2.500000000000000139e-02,-3.124495936047027352e-04,2.499480263017201526e-02,-2.499219116020285833e-02,9.996876464081225766e-01
5.000000000000000278e-02,-1.249215164253440410e-03,4.995837500148979371e-02,-4.993761694389212830e-02,9.987523388778446476e-01
7.500000000000001110e-02,-2.808552185485074532e-03,7.485962308005951471e-02,-7.478994824163408273e-02,9.971993098884563977e-01
1.000000000000000056e-01,-4.987561257097658865e-03,9.966767373787906170e-02,-9.950371902099870713e-02,9.950371902099891530e-01
1.250000000000000000e-01,-7.782218138383106658e-03,1.243519984155904007e-01,-1.240347345892083564e-01,9.922778767136676281e-01
1.500000000000000222e-01,-1.118742087492313741e-02,1.488825180893292299e-01,-1.483404529302444763e-01,9.889363528682975080e-01
1.750000000000000167e-01,-1.519702867919170246e-02,1.732297099637671312e-01,-1.723803317522482059e-01,9.850304671557041925e-01
2.000000000000000111e-01,-1.980390687893301277e-02,1.973646832100297011e-01,-1.961161351381837947e-01,9.805806756909201116e-01
2.250000000000000056e-01,-2.500000259068527186e-02,2.212592861163134028e-01,-2.195121951219510814e-01,9.756097560975610650e-01
2.500000000000000000e-01,-3.077640947838386140e-02,2.448861883468695655e-01,-2.425356250363327748e-01,9.701425001453318764e-01
2.750000000000000222e-01,-3.712342906294555794e-02,2.682189162166154772e-01,-2.651564830210422774e-01,9.642053928037903621e-01
3.000000000000000444e-01,-4.403065484193642576e-02,2.912319312944143812e-01,-2.873478855663452736e-01,9.578262852211514300e-01
3.250000000000000111e-01,-5.148704637975341086e-02,3.139006751847049914e-01,-3.090860723375579711e-01,9.510340687309480900e-01
3.500000000000000333e-01,-5.948100922425329784e-02,3.362016040011910345e-01,-3.303504247281059958e-01,9.438583563660173370e-01
3.750000000000000000e-01,-6.800047228783584474e-02,3.581122148983928444e-01,-3.511234415883915383e-01,9.363291775690444352e-01
4.000000000000000222e-01,-7.703296510924967366e-02,3.796110663116071260e-01,-3.713906763541036105e-01,9.284766908852593037e-01
4.250000000000000444e-01,-8.656569368086544647e-02,4.006777849628498922e-01,-3.911406403448515756e-01,9.203309184584744784e-01
4.500000000000000111e-01,-9.658561238071018684e-02,4.212930717917482415e-01,-4.103646773287977223e-01,9.119215051751065060e-01
4.750000000000000333e-01,-1.070794930398322325e-01,4.414386808023707531e-01,-4.290568145682875367e-01,9.032775043542897730e-01
5.000000000000000000e-01,-1.180339900296118461e-01,4.610974191283208623e-01,-4.472135954999578167e-01,8.944271909999158554e-01
5.250000000000000222e-01,-1.294357007522347891e-01,4.802531255131520238e-01,-4.648338989899202800e-01,8.853979028379435068e-01
5.500000000000000444e-01,-1.412712217477028465e-01,4.988906437078833300e-01,-4.819187497721557634e-01,8.762159086766470040e-01
5.750000000000000666e-01,-1.535272000798602321e-01,5.169957941208611629e-01,-4.984711242580826540e-01,8.669063030575352435e-01
6.000000000000000888e-01,-1.661903794574911830e-01,5.345553422402565813e-01,-5.144957554275264577e-01,8.574929257125440962e-01
6.250000000000000000e-01,-1.792476419796565079e-01,5.515569617857752904e-01,-5.299989400031798192e-01,8.479983040050880216e-01
6.500000000000000222e-01,-1.926860447190216485e-01,5.679892000128051732e-01,-5.449883505954140617e-01,8.384436163006371290e-01
6.750000000000000444e-01,-2.064928517818033771e-01,5.838414362044120898e-01,-5.594728550010623636e-01,8.288486740756481064e-01
7.000000000000000666e-01,-2.206555623220710916e-01,5.991038447476498829e-01,-5.734623443633282136e-01,8.192319205190404796e-01
7.250000000000000888e-01,-2.351619337425226719e-01,6.137673526322728890e-01,-5.869675714609309258e-01,8.096104433943875911e-01
7.500000000000000000e-01,-2.500000022282834466e-01,6.278236020269787332e-01,-5.999999999999999778e-01,8.000000000000000444e-01
7.750000000000000222e-01,-2.651580958842660318e-01,6.412649031186609117e-01,-6.125716654358137614e-01,7.904150521752437708e-01
8.000000000000000444e-01,-2.806248513383173826e-01,6.540842034467108101e-01,-6.246950475544241765e-01,7.808688094430302762e-01
8.250000000000000666e-01,-2.963892216940136604e-01,6.662750469585302371e-01,-6.363829547955637267e-01,7.713732785400773118e-01
8.500000000000000888e-01,-3.124404807712720666e-01,6.778315314912218836e-01,-6.476484200955404669e-01,7.619393177594593336e-01
8.750000000000000000e-01,-3.287682339824729572e-01,6.887482812065029991e-01,-6.585046078685179438e-01,7.525766947068779356e-01
9.000000000000000222e-01,-3.453624132234509592e-01,6.990204040352673287e-01,-6.689647316224496265e-01,7.432941462471663874e-01
9.250000000000000444e-01,-3.622132818340143001e-01,7.086434623629626062e-01,-6.790419816174270151e-01,7.340994395864076649e-01
9.500000000000000666e-01,-3.793114332331957161e-01,7.176134417574718816e-01,-6.887494619146929953e-01,7.249994335944137669e-01
9.750000000000000888e-01,-3.966477836371294918e-01,7.259267178319094294e-01,-6.981001361295398056e-01,7.160001396200408319e-01
1.000000000000000000e+00,-4.142135747433854931e-01,7.335800310010300862e-01,-7.071067811865474617e-01,7.071067811865475727e-01
