# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.944271909999158554e-01,4.472135954999579277e-01
5.000000000000000278e-02,4.460727896908434076e-02,2.370306421356100507e-02,8.898174628127368813e-01,4.563166475962753266e-01
1.000000000000000056e-01,8.897691895917528293e-02,5.009387622828942455e-02,8.849182223819824777e-01,4.657464328326223479e-01
1.500000000000000222e-01,1.330938870193462964e-01,7.917686822855843354e-02,8.797065135761270582e-01,4.755170343654741560e-01
2.000000000000000111e-01,1.769419466920688633e-01,1.109564075351100604e-01,8.741572761215378184e-01,4.856429311786321090e-01
2.500000000000000000e-01,2.205035360514071008e-01,1.454367490816248221e-01,8.682431421244592995e-01,4.961389383568338696e-01
3.000000000000000444e-01,2.637596790846090666e-01,1.826219828983536853e-01,8.619342151577694677e-01,5.070201265633937915e-01
3.500000000000000333e-01,3.066898302041276003e-01,2.225159681830298775e-01,8.551978315540179620e-01,5.183017160933441891e-01
4.000000000000000222e-01,3.492717336358868163e-01,2.651222547762024373e-01,8.479983040050879106e-01,5.299989400031799303e-01
4.500000000000000111e-01,3.914812873429767692e-01,3.104440042464089444e-01,8.402966482242443247e-01,5.421268698220931270e-01
5.000000000000000000e-01,4.332923287757981523e-01,3.584838543958318580e-01,8.320502943378437211e-01,5.547001962252291474e-01
5.500000000000000444e-01,4.746764696361582270e-01,4.092437988030841467e-01,8.232127859153062222e-01,5.677329558036594559e-01
6.000000000000000888e-01,5.156029102125813113e-01,4.627250398319692759e-01,8.137334712067348930e-01,5.812381937190964631e-01
6.500000000000000222e-01,5.560382003779708038e-01,5.189277886558145703e-01,8.035571933447457349e-01,5.952275506257375115e-01
7.000000000000000666e-01,5.959460130963977198e-01,5.778510488116441746e-01,7.926239891045999686e-01,6.097107608496924458e-01
7.500000000000000000e-01,6.352868990330826637e-01,6.394923618562857737e-01,7.808688094430303872e-01,6.246950475544242876e-01
8.000000000000000444e-01,6.740180222622832451e-01,7.038474938200953712e-01,7.682212795973758501e-01,6.401843996644799306e-01
8.500000000000000888e-01,7.120928917202534736e-01,7.709100768533373449e-01,7.546055221635046273e-01,6.561787149247866324e-01
9.000000000000000222e-01,7.494610844772782166e-01,8.406712068968236196e-01,7.399400733959436982e-01,6.726727939963124125e-01
9.500000000000000666e-01,7.860679623725793652e-01,9.131189253970953823e-01,7.241379310344826514e-01,6.896551724137931494e-01
1.000000000000000000e+00,8.218544035212790311e-01,9.882376765431247767e-01,7.071067811865474617e-01,7.071067811865474617e-01
1.050000000000000044e+00,8.567565457310357679e-01,1.066007663504513037e+00,6.887494619146931063e-01,7.249994335944138779e-01
1.100000000000000089e+00,8.907055682830070653e-01,1.146404096720976096e+00,6.689647316224497375e-01,7.432941462471663874e-01
1.150000000000000133e+00,9.236275024384925647e-01,1.229396365346609343e+00,6.476484200955403558e-01,7.619393177594594446e-01
1.200000000000000178e+00,9.554431347923735274e-01,1.314947089360051224e+00,6.246950475544240655e-01,7.808688094430303872e-01
1.250000000000000000e+00,9.860679916270692624e-01,1.403011088248520055e+00,5.999999999999999778e-01,8.000000000000000444e-01
1.300000000000000044e+00,1.015412435590399509e+00,1.493534243465437283e+00,5.734623443633283246e-01,8.192319205190404796e-01
1.350000000000000089e+00,1.043381963798753587e+00,1.586452292153770482e+00,5.449883505954140617e-01,8.384436163006370180e-01
1.400000000000000133e+00,1.069877638651736351e+00,1.681689557681596225e+00,5.144957554275264577e-01,8.574929257125443183e-01
1.450000000000000178e+00,1.094796804451862560e+00,1.779157664104144221e+00,4.819187497721555968e-01,8.762159086766470040e-01
1.500000000000000000e+00,1.118034048819964932e+00,1.878754308227574832e+00,4.472135954999579277e-01,8.944271909999158554e-01
1.550000000000000044e+00,1.139482431359042147e+00,1.980362066818256439e+00,4.103646773287978888e-01,9.119215051751065060e-01
1.600000000000000089e+00,1.159035084666275583e+00,2.083847496816598976e+00,3.713906763541036105e-01,9.284766908852594147e-01
1.650000000000000133e+00,1.176587036953618881e+00,2.189060394016824507e+00,3.303504247281059958e-01,9.438583563660174480e-01
1.700000000000000178e+00,1.192037385217884271e+00,2.295833490633515162e+00,2.873478855663452736e-01,9.578262852211515410e-01
1.750000000000000000e+00,1.205291607491781214e+00,2.403982673306812590e+00,2.425356250363329691e-01,9.701425001453318764e-01
1.800000000000000044e+00,1.216264089646352797e+00,2.513307602432446330e+00,1.961161351381839613e-01,9.805806756909201116e-01
1.850000000000000089e+00,1.224880544479349576e+00,2.623593177713327673e+00,1.483404529302445318e-01,9.889363528682975080e-01
1.900000000000000133e+00,1.231080409733622760e+00,2.734611404529834200e+00,9.950371902099879040e-02,9.950371902099892640e-01
1.950000000000000178e+00,1.234818734731153222e+00,2.846124100225237541e+00,4.993761694389205197e-02,9.987523388778446476e-01
2.000000000000000000e+00,1.236067947652347954e+00,2.957885855649120099e+00,0.000000000000000000e+00,1.000000000000000000e+00
