# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.351274992194946534e-16,-1.000000000000000000e+00
2.750000000000000222e-01,-2.010600790063758053e-02,-1.356690954562099760e-01,-2.948634415005577103e-02,-9.995651832215167731e-01
5.500000000000000444e-01,-8.385159526919032380e-02,-2.597094934609290862e-01,-1.165830082729314987e-01,-9.931809513789688904e-01
8.250000000000000666e-01,-1.933846619216468554e-01,-3.591822116806402954e-01,-2.650991357088546829e-01,-9.642211614802996822e-01
1.100000000000000089e+00,-3.481932009509786097e-01,-4.191195339284008448e-01,-5.030934670495826877e-01,-8.642320078613326961e-01
1.375000000000000000e+00,-5.453632866848641125e-01,-4.142386997993388054e-01,-8.357889748284479392e-01,-5.490508078085416521e-01
1.650000000000000133e+00,-7.563576100942958069e-01,-3.067377315269884108e-01,-9.971800063132764125e-01,-7.504688540541827602e-02
1.925000000000000266e+00,-9.278080959673917771e-01,-1.079808910970204150e-01,-9.916074676914301556e-01,1.292850726827709518e-01
2.200000000000000178e+00,-1.048248323925567549e+00,1.363428634319024391e-01,-9.896885007507072451e-01,1.432364181408388448e-01
2.475000000000000089e+00,-1.131309048025846087e+00,3.968164554719010861e-01,-9.883975387642429666e-01,1.518891219435639095e-01
2.750000000000000000e+00,-1.191204988683623567e+00,6.693717008883722785e-01,-8.890332323451610730e-01,4.578426714341017889e-01
3.025000000000000355e+00,-1.111453124040998386e+00,9.883898587653042744e-01,7.217570729584111833e-01,6.921464640049147521e-01
3.300000000000000266e+00,-8.931795135596335422e-01,1.211848834695976151e+00,8.441542964950703443e-01,5.361002925842448530e-01
3.575000000000000178e+00,-6.278287331433825003e-01,1.360885413044143899e+00,8.123855131725540302e-01,5.831207233389720246e-01
3.850000000000000533e+00,-3.246507452226985446e-01,1.464004575568204736e+00,6.658726058466439834e-01,7.460654614596494705e-01
4.125000000000000000e+00,-6.072114433645900422e-03,1.546029193111419620e+00,4.430256164520468554e-01,8.965089531997345595e-01
4.400000000000000355e+00,3.074325473024141497e-01,1.622172394856786104e+00,2.766166578165681900e-01,9.609803455942226291e-01
4.675000000000000711e+00,6.043349529304594681e-01,1.709251414196740981e+00,2.048926059249418785e-01,9.787844604596491749e-01
4.950000000000000178e+00,8.754499770831961625e-01,1.827788927815302111e+00,1.990944638989013971e-01,9.799803030902248802e-01
5.225000000000000533e+00,1.114634669270861522e+00,1.996668391829425238e+00,2.465513184862423712e-01,9.691297371109275360e-01
5.500000000000000000e+00,1.322994231926272635e+00,2.227346266462129964e+00,3.779713881471690740e-01,9.258172766491786776e-01
5.775000000000000355e+00,1.513603349114664542e+00,2.512450850099504862e+00,6.754876175528431448e-01,7.373713301537998532e-01
6.050000000000000711e+00,1.702872821526895342e+00,2.808249748706853399e+00,9.460236968349428066e-01,3.240974622343535394e-01
6.325000000000000178e+00,1.877115143765321292e+00,3.085194155555222473e+00,9.913400953307676122e-01,1.313195164078231891e-01
6.600000000000000533e+00,2.032906759560054510e+00,3.346194916135680764e+00,9.909021435439600012e-01,1.345843301427971372e-01
6.875000000000000888e+00,2.180440727041892846e+00,3.580853637910435872e+00,9.841773037525420875e-01,1.771864407294658494e-01
7.150000000000000355e+00,2.332013801889044835e+00,3.775612052668534169e+00,9.772967828428361647e-01,2.118749589853466953e-01
7.425000000000000711e+00,2.501039237331276421e+00,3.923977105977668689e+00,9.721365821389429396e-01,2.344151566499365347e-01
7.700000000000001066e+00,2.701637644354749845e+00,4.025851275563329779e+00,9.687318473613437675e-01,2.481100721612847226e-01
7.975000000000000533e+00,2.947540740930052472e+00,4.084887842145558778e+00,9.657100076091315044e-01,2.596231522872549657e-01
8.250000000000000000e+00,3.248438360418236304e+00,4.108632175808521581e+00,9.555115670741728406e-01,2.949536322669351618e-01
8.525000000000000355e+00,3.599653649019393775e+00,4.116910721969190057e+00,8.736449543612511137e-01,4.865639667290697634e-01
8.800000000000000711e+00,3.958398015332881936e+00,4.153720290262466364e+00,5.517857014206032362e-01,8.339859349580021064e-01
9.075000000000001066e+00,4.280020742357251606e+00,4.231119787441570246e+00,3.344990307623449399e-01,9.423960942295186438e-01
9.350000000000001421e+00,4.563586567393955740e+00,4.349343551301169342e+00,2.820069694659549375e-01,9.594123561704986924e-01
9.625000000000000000e+00,4.810260412478242209e+00,4.521890737861196108e+00,3.225403965899376613e-01,9.465556996646344867e-01
9.900000000000000355e+00,5.024813052097138133e+00,4.756734081387875790e+00,4.742860097693305521e-01,8.803708201304075720e-01
1.017500000000000071e+01,5.223045801790946463e+00,5.039344677962757757e+00,7.816882297189358120e-01,6.236693928026902922e-01
1.045000000000000107e+01,5.414543627700592054e+00,5.324375422214473907e+00,9.711568330570307106e-01,2.384416188643221357e-01
1.072500000000000142e+01,5.585552497423638130e+00,5.594735841594177472e+00,9.940009117129762206e-01,1.093717857300136181e-01
1.100000000000000000e+01,5.738485270339436894e+00,5.850969771705942790e+00,9.912365397541343937e-01,1.320989108821507829e-01
