# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,7.853981633974482790e-01,-8.960189359268065923e-01,4.440158403262133291e-01
2.750000000000000222e-01,8.146442779258922240e-02,8.474016670022564979e-01,-8.239046670047457388e-01,5.667284179285517753e-01
5.500000000000000444e-01,1.852363042385174186e-01,9.117395717592761129e-01,-7.125037856096656519e-01,7.016682659860680182e-01
8.250000000000000666e-01,3.128842476593026722e-01,9.777153934256757051e-01,-5.664811791746410252e-01,8.240746772234347484e-01
1.100000000000000089e+00,4.611456783984262398e-01,1.042677718176674651e+00,-4.142814587385114655e-01,9.101488191199782474e-01
1.375000000000000000e+00,6.203476725610901354e-01,1.104293864270022851e+00,-2.861788823716526209e-01,9.581762088908866160e-01
1.650000000000000133e+00,7.781856244967002567e-01,1.163125202456844143e+00,-1.914221835125709259e-01,9.815077929692049841e-01
1.925000000000000266e+00,9.246703337569297521e-01,1.222658808781496464e+00,-1.243397187701833911e-01,9.922397060872698571e-01
2.200000000000000178e+00,1.054066580121603591e+00,1.288107121050733106e+00,-7.665720464570154047e-02,9.970575073564749147e-01
2.475000000000000089e+00,1.164323428407746608e+00,1.365677763809021394e+00,-4.214255944010585758e-02,9.991116077214982072e-01
2.750000000000000000e+00,1.255727465318587699e+00,1.462552039374382051e+00,-1.680147117596331521e-02,9.998588453208399063e-01
3.025000000000000355e+00,1.329728463216865109e+00,1.587261361566030926e+00,1.928311020672979215e-03,9.999981408065754529e-01
3.300000000000000266e+00,1.388188477222823902e+00,1.750067908436794717e+00,1.593301235788840281e-02,9.998730615019105761e-01
3.575000000000000178e+00,1.433011856211126478e+00,1.962700941953296585e+00,2.704441056038110400e-02,9.996342330359847539e-01
3.850000000000000533e+00,1.466063962951215105e+00,2.236130811758861636e+00,3.772470044847027471e-02,9.992881701371598702e-01
4.125000000000000000e+00,1.489349221351728314e+00,2.574469417464420928e+00,5.218078215393293778e-02,9.986376549949456116e-01
4.400000000000000355e+00,1.505520185081007822e+00,2.965273168500798473e+00,7.756138343727794759e-02,9.969875785581763239e-01
4.675000000000000711e+00,1.518460450852846533e+00,3.374613345380779617e+00,1.169337373624585036e-01,9.931397188041810598e-01
4.950000000000000178e+00,1.531587504615872897e+00,3.759171111132644238e+00,1.413218199105577833e-01,9.899637080303338443e-01
5.225000000000000533e+00,1.543431966094345631e+00,4.088512737726878399e+00,1.154742198377601559e-01,9.933104774202579090e-01
5.500000000000000000e+00,1.550401579987655376e+00,4.353479247236803573e+00,6.845964606803781050e-02,9.976538863053854289e-01
5.775000000000000355e+00,1.552002896916173436e+00,4.559124507790476066e+00,3.089642084036202038e-02,9.995225916302519220e-01
6.050000000000000711e+00,1.548579989492070874e+00,4.716137440008441928e+00,-9.212932879757233491e-04,9.999995756092486809e-01
6.325000000000000178e+00,1.538513648679066037e+00,4.835443332414616435e+00,-4.302083306123533069e-02,9.990741753857504959e-01
6.600000000000000533e+00,1.516574521749243676e+00,4.925926641214129376e+00,-1.195435465440706363e-01,9.928289583204479296e-01
6.875000000000000888e+00,1.471311653941032027e+00,4.993335412600639067e+00,-2.667132758052790931e-01,9.637759223539552611e-01
7.150000000000000355e+00,1.383123246905358927e+00,5.038417571174760745e+00,-4.974055418691044061e-01,8.675181421260897974e-01
7.425000000000000711e+00,1.233115523665607505e+00,5.058518477636601673e+00,-7.112558107912243521e-01,7.029332625617583652e-01
7.700000000000001066e+00,1.016883784615151720e+00,5.060874777456053408e+00,-8.161702381283328922e-01,5.778115111293132822e-01
7.975000000000000533e+00,7.392301505968734698e-01,5.065055112981790231e+00,-8.313707820810993798e-01,5.557181144266051254e-01
8.250000000000000000e+00,4.138840813414133013e-01,5.092546845836368519e+00,-7.764826556394459622e-01,6.301386240273750827e-01
8.525000000000000355e+00,7.041811797458982780e-02,5.161074560840076764e+00,-6.739945028706860741e-01,7.387363603479232266e-01
8.800000000000000711e+00,-2.541299350286711500e-01,5.281542541072036911e+00,-5.841686987227926453e-01,8.116322636714974337e-01
9.075000000000001066e+00,-5.318833402345193306e-01,5.460660582577022026e+00,-5.472727788870205279e-01,8.369543031069727190e-01
9.350000000000001421e+00,-7.504994121850487865e-01,5.701165168645905723e+00,-5.682098864341459388e-01,8.228836642919186151e-01
9.625000000000000000e+00,-9.119336646542032243e-01,5.995030672658216986e+00,-6.428830990022372793e-01,7.659643079264720766e-01
9.900000000000000355e+00,-1.027690915279973582e+00,6.318249466130525960e+00,-7.461013934285336546e-01,6.658323443059824820e-01
1.017500000000000071e+01,-1.111179576158660476e+00,6.638151021919317607e+00,-8.250859525920504201e-01,5.650072307814021366e-01
1.045000000000000107e+01,-1.172651108904613215e+00,6.930232818343516676e+00,-8.535932550253672035e-01,5.209400685061560399e-01
1.072500000000000142e+01,-1.219157969772615147e+00,7.184965196903922546e+00,-8.342029338833577556e-01,5.514575823219753925e-01
1.100000000000000000e+01,-1.253206366466934618e+00,7.403992043888760755e+00,-7.573728246623875338e-01,6.529826984407141044e-01
