# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,-7.853981633974482790e-01,-8.960189359268065923e-01,4.440158403262133291e-01
2.750000000000000222e-01,-3.001555855175723209e-01,-6.827711193030798764e-01,-8.145416672412698622e-01,5.801050528376842097e-01
5.500000000000000444e-01,-5.496029952930010509e-01,-5.038059500406039115e-01,-7.763598131439405359e-01,6.302899654405944574e-01
8.250000000000000666e-01,-7.403103159532301580e-01,-2.644426180838427287e-01,-7.963333699885025707e-01,6.048579699753939831e-01
1.100000000000000089e+00,-8.779791434255561633e-01,1.131952120422480279e-02,-8.483808048972426574e-01,5.293864466360153065e-01
1.375000000000000000e+00,-9.733854871200280368e-01,2.950730883478861477e-01,-8.938981861135750773e-01,4.482700445745403384e-01
1.650000000000000133e+00,-1.037100711348525328e+00,5.636242992348587943e-01,-9.142671113954191631e-01,4.051118969132800340e-01
1.925000000000000266e+00,-1.077801968149858292e+00,8.042854153388923066e-01,-9.101021669284915516e-01,4.143839352002732790e-01
2.200000000000000178e+00,-1.101065380278143380e+00,1.013936259653023031e+00,-8.797957199931037975e-01,4.753519654759160162e-01
2.475000000000000089e+00,-1.107555597135239100e+00,1.196364434492824147e+00,-8.063278519322025772e-01,5.914688455010965740e-01
2.750000000000000000e+00,-1.089274636763673199e+00,1.359799298690880454e+00,-6.352649931538855155e-01,7.722942369804359775e-01
3.025000000000000355e+00,-1.019624174755330515e+00,1.512630657309777638e+00,-2.350042907932396175e-01,9.719943329612401595e-01
3.300000000000000266e+00,-8.525512348584517452e-01,1.646017160137890345e+00,3.027286456004188442e-01,9.530767897357148577e-01
3.575000000000000178e+00,-5.882313044055591522e-01,1.746026890829738498e+00,5.345479223549093328e-01,8.451381654534659837e-01
3.850000000000000533e+00,-2.694510919282820383e-01,1.836103677892217068e+00,5.529626709669632767e-01,8.332060276528739928e-01
4.125000000000000000e+00,6.198052746004234503e-02,1.944671154530294377e+00,5.038357609413004479e-01,8.637994709402759819e-01
4.400000000000000355e+00,3.695258606727598871e-01,2.091615330241714865e+00,4.633800014060788230e-01,8.861596776523417152e-01
4.675000000000000711e+00,6.285721984748394719e-01,2.291008992552322709e+00,4.595114772801304759e-01,8.881718314874842424e-01
4.950000000000000178e+00,8.295708961165451090e-01,2.549630536768640710e+00,4.999234505892068414e-01,8.660695950967109980e-01
5.225000000000000533e+00,9.764772811786526230e-01,2.860507647378450979e+00,5.893376741858145085e-01,8.078868149594068404e-01
5.500000000000000000e+00,1.082106792422582231e+00,3.198405001389310609e+00,7.072746543542919317e-01,7.069388681548191000e-01
5.775000000000000355e+00,1.160260964462714206e+00,3.528734236014499537e+00,7.953435280297266319e-01,6.061589497988356667e-01
6.050000000000000711e+00,1.220419114333013200e+00,3.826840691999509048e+00,8.225156884991274842e-01,5.687424216398899723e-01
6.325000000000000178e+00,1.268153749642737305e+00,4.084858387450325701e+00,7.893605275484411044e-01,6.139299288586985703e-01
6.600000000000000533e+00,1.303474345435996495e+00,4.306213045180493637e+00,6.810448681984823116e-01,7.322416865356082827e-01
6.875000000000000888e+00,1.317027002543440073e+00,4.497830355967196603e+00,4.677955717655130075e-01,8.838366947782698713e-01
7.150000000000000355e+00,1.289208703856796978e+00,4.662108954763904300e+00,1.397106750933734542e-01,9.901923688177737271e-01
7.425000000000000711e+00,1.193377265389917508e+00,4.793579704683314624e+00,-2.706649825245406316e-01,9.626736036866234691e-01
7.700000000000001066e+00,1.011341473688161630e+00,4.884379371237345779e+00,-5.813367849339849958e-01,8.136630398897430894e-01
7.975000000000000533e+00,7.522590344874997559e-01,4.945659042991050747e+00,-6.944206155326868579e-01,7.195693216940285408e-01
8.250000000000000000e+00,4.381729242114511536e-01,5.004812340810262938e+00,-6.815173368123478292e-01,7.318019674913457395e-01
8.525000000000000355e+00,9.992262597089163201e-02,5.086594347028774443e+00,-6.058093082358579906e-01,7.956098805663434081e-01
8.800000000000000711e+00,-2.260046764012571541e-01,5.208172052006138308e+00,-5.315757025884576548e-01,8.470107864824316657e-01
9.075000000000001066e+00,-5.100870902075386182e-01,5.381620607488809327e+00,-4.987257151558350809e-01,8.667598635390894035e-01
9.350000000000001421e+00,-7.370911039250740426e-01,5.614439635549083540e+00,-5.156977063622769641e-01,8.567706085368981261e-01
9.625000000000000000e+00,-9.063268561743629270e-01,5.903840131121904200e+00,-5.843573180910031084e-01,8.114964724467322865e-01
9.900000000000000355e+00,-1.028021453141667374e+00,6.230267158522201143e+00,-6.925291158281727810e-01,7.213899248882320592e-01
1.017500000000000071e+01,-1.116249098085925651e+00,6.560887362075058959e+00,-7.901695621390503188e-01,6.128882957513395180e-01
1.045000000000000107e+01,-1.182101054517345373e+00,6.866878025687012332e+00,-8.350900515013663927e-01,5.501132664128772776e-01
1.072500000000000142e+01,-1.232937667726419440e+00,7.135087160575102949e+00,-8.252200594779691700e-01,5.648113432246001375e-01
1.100000000000000000e+01,-1.271881417175849460e+00,7.365476274487158470e+00,-7.550855809698736598e-01,6.556262391114225929e-01
