# time,position_x,position_y
0.000000000000000000e+00,0.000000000000000000e+00,-7.853981633974482790e-01
2.750000000000000222e-01,-1.920308445271241282e-01,-7.664928155125975140e-01
5.500000000000000444e-01,-3.701370035010929649e-01,-7.098307601695472702e-01
8.250000000000000666e-01,-5.230896392069860346e-01,-6.158950003135844620e-01
1.100000000000000089e+00,-6.436225457430850838e-01,-4.865228030109146617e-01
1.375000000000000000e+00,-7.280452313743808190e-01,-3.262239966029107929e-01
1.650000000000000133e+00,-7.749867114955417691e-01,-1.433071362089610445e-01
1.925000000000000266e+00,-7.841405712208661116e-01,5.010978107276313487e-02
2.200000000000000178e+00,-7.554856548911568215e-01,2.398131028289022804e-01
2.475000000000000089e+00,-6.891302736125064499e-01,4.123550046012828818e-01
2.750000000000000000e+00,-5.857964410060596538e-01,5.574808649268592209e-01
3.025000000000000355e+00,-4.478784123914943405e-01,6.689361281994731234e-01
3.300000000000000266e+00,-2.807855517238281862e-01,7.437613317267854907e-01
3.575000000000000178e+00,-9.387334463909934035e-02,7.809659866095963743e-01
3.850000000000000533e+00,9.996816663238866640e-02,7.803677778067851234e-01
4.125000000000000000e+00,2.864360019609892283e-01,7.419679792023470277e-01
4.400000000000000355e+00,4.527274834787019531e-01,6.659616641792701630e-01
4.675000000000000711e+00,5.896148868512053332e-01,5.533816038320794606e-01
4.950000000000000178e+00,6.918031172606616819e-01,4.072720072466634034e-01
5.225000000000000533e+00,7.569712266012781354e-01,2.340091336046903059e-01
5.500000000000000000e+00,7.844302122307960090e-01,4.397063024542503112e-02
5.775000000000000355e+00,7.740799580242292421e-01,-1.493276910386889811e-01
6.050000000000000711e+00,7.259448600109277283e-01,-3.316970592599299827e-01
6.325000000000000178e+00,6.403499827489864682e-01,-4.911228691432554250e-01
6.600000000000000533e+00,5.187187672325275223e-01,-6.194252747936791481e-01
6.875000000000000888e+00,3.648375506366548504e-01,-7.121994706899310579e-01
7.150000000000000355e+00,1.860993064594261837e-01,-7.676701812333464048e-01
7.425000000000000711e+00,-6.152716976425887108e-03,-7.853792493051066081e-01
7.700000000000001066e+00,-1.979480284673708068e-01,-7.652776521187034664e-01
7.975000000000000533e+00,-3.754107767159322595e-01,-7.074246751564505775e-01
8.250000000000000000e+00,-5.274276937193463910e-01,-6.123290632819450297e-01
8.525000000000000355e+00,-6.468587328364489020e-01,-4.818914643399784259e-01
8.800000000000000711e+00,-7.301079737861627672e-01,-3.207279714982359531e-01
9.075000000000001066e+00,-7.758556189900462918e-01,-1.372758794475135435e-01
9.350000000000001421e+00,-7.838130809698656831e-01,5.624513304287567794e-02
9.625000000000000000e+00,-7.539623066800416051e-01,2.455995480568899936e-01
9.900000000000000355e+00,-6.864202863198783922e-01,4.174101746333720997e-01
1.017500000000000071e+01,-5.819431170199003134e-01,5.615461213942368746e-01
1.045000000000000107e+01,-4.429997736078421511e-01,6.718737524813834794e-01
1.072500000000000142e+01,-2.751149310161206119e-01,7.455169655962484709e-01
1.100000000000000000e+01,-8.777142800242987430e-02,7.815263537392523885e-01
