# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.060818355139448582e-01,2.958980350506310031e-02,2.304924596509605461e-03
1.125335582600765078e-01,5.750473056931700716e-02,4.477682635819047775e-03
1.193776641714436315e-01,8.384219062781667064e-02,6.525838449254640385e-03
1.266380173467403225e-01,1.086940685301300835e-01,8.456518917002173522e-03
1.343399332598900209e-01,1.321474066996745078e-01,1.027649356944782336e-02
1.425102670302998142e-01,1.542835222394671746e-01,1.199206414245240944e-02
1.511775070615662409e-01,1.751798582594458198e-01,1.360923559964300963e-02
1.603718743751330056e-01,1.949102630944532510e-01,1.513372859716687925e-02
1.701254279852588702e-01,2.135432028324154019e-01,1.657077041658656241e-02
1.804721766827170337e-01,2.311434170621796680e-01,1.792526357919318331e-02
1.914481976169958022e-01,2.477721138897703290e-01,1.920181015367005903e-02
2.030917620904735821e-01,2.634871075166078658e-01,2.040472607369109986e-02
2.154434690031883370e-01,2.783429921381048167e-01,2.153805658967429537e-02
2.285463864134990586e-01,2.923913361120613619e-01,2.260558831091500492e-02
2.424462017082328336e-01,3.056808641443132801e-01,2.361086045051993473e-02
2.571913809059345191e-01,3.182576258509527412e-01,2.455717548123540275e-02
2.728333376486767881e-01,3.301651525721325808e-01,2.544760912816975557e-02
2.894266124716750044e-01,3.414446091054723076e-01,2.628501949605625138e-02
3.070290629757849721e-01,3.521349234397562200e-01,2.707205526761462602e-02
3.257020655659783048e-01,3.622729228524695921e-01,2.781116341667705383e-02
3.455107294592218992e-01,3.718934590317431454e-01,2.850459628777652493e-02
3.665241237079627790e-01,3.810295245909731676e-01,2.915441813275263319e-02
3.888155180308088266e-01,3.897123627123520451e-01,2.976251120041328857e-02
4.124626382901352417e-01,3.979715702991226678e-01,3.033058146005400413e-02
4.375479375074184385e-01,4.058351950023895149e-01,3.086016403488425069e-02
4.641588833612778631e-01,4.133298264784266984e-01,3.135262840842098497e-02
4.923882631706739121e-01,4.204806822272889599e-01,3.180918344144582910e-02
5.223345074266841914e-01,4.273116909064177960e-01,3.223088226254501587e-02
5.541020330009491790e-01,4.338455658548147631e-01,3.261862681282399340e-02
5.878016072274911963e-01,4.401038700988876284e-01,3.297317176502758546e-02
6.235507341273913706e-01,4.461070890698943803e-01,3.329512779649911741e-02
6.614740641230149043e-01,4.518746985039687747e-01,3.358496373332358481e-02
7.017038286703828343e-01,4.574252265327597433e-01,3.384300646203344115e-02
7.443803013251688583e-01,4.627763074624561823e-01,3.406943753376934225e-02
7.896522868499724623e-01,4.679446857141483229e-01,3.426428003657058102e-02
8.376776400682918178e-01,4.729462182299045137e-01,3.442738064797045555e-02
8.886238162743402835e-01,4.777958537025955299e-01,3.455837610531557053e-02
9.426684551178852178e-01,4.825073374825817885e-01,3.465664250347284120e-02
1.000000000000000000e+00,4.870934332358944352e-01,3.472126759171092342e-02
