# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,1.700494437802693992e-01,1.548338689268071756e-02
2.094395102393195318e-01,3.894736884301516766e-01,1.084392617718074082e-02
4.188790204786390636e-01,4.754233892276954476e-01,8.076704525207575869e-03
6.283185307179586232e-01,5.044675997502989784e-01,7.402071526962324989e-03
8.377580409572781273e-01,5.388904904954201491e-01,6.651921017650458227e-03
1.047197551196597631e+00,5.436174692104328576e-01,6.003372973172778349e-03
1.256637061435917246e+00,5.465347082722959993e-01,6.212107752177602887e-03
1.466076571675236861e+00,5.407849864726024247e-01,6.271093452774991264e-03
1.675516081914556255e+00,5.426746556438606373e-01,6.644839664051767174e-03
1.884955592153875870e+00,5.390479785365328569e-01,7.233146519573265681e-03
2.094395102393195263e+00,5.400654230141325174e-01,6.699580288172772222e-03
2.303834612632514656e+00,5.344520508743235698e-01,7.321095510478018049e-03
2.513274122871834493e+00,5.204090691153711035e-01,6.636902957266837925e-03
2.722713633111154330e+00,5.137474754381495812e-01,6.429300686062407177e-03
2.932153143350473723e+00,5.051925888578869817e-01,6.173098648157010829e-03
3.141592653589793116e+00,5.006181904097517510e-01,5.933518946864075466e-03
