# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,3.571107087315028017e-01,6.840213006710138890e-03
1.476670468100590716e-01,6.509427392441901050e-01,1.247001262938835474e-02
1.794425301857724697e-01,8.927235603353310678e-01,1.710635907879924644e-02
2.180555671360417669e-01,1.091755154073106748e+00,2.092379309481938454e-02
2.649774850465789755e-01,1.255748086784953310e+00,2.406175896451529309e-02
3.219962163947186484e-01,1.391118628860911866e+00,2.662961500481607000e-02
3.912844268798491010e-01,1.503233720258713157e+00,2.871085547463007523e-02
4.754823035902082662e-01,1.596600956229973445e+00,3.036887479116158126e-02
5.777981578011381902e-01,1.674996211708379645e+00,3.165468719447462470e-02
7.021306758161000028e-01,1.741481562186447229e+00,3.261300692866393042e-02
8.532174761478656944e-01,1.798189473859085119e+00,3.326206936873352116e-02
1.036815633725144625e+00,1.845890894966676132e+00,3.351496166187276776e-02
1.259921049894873413e+00,1.884002643676710331e+00,3.318075404414307789e-02
1.531035027186919528e+00,1.913078865589616262e+00,3.230756527228423325e-02
1.860488206518050802e+00,1.933478276080881297e+00,3.105049510058002435e-02
2.260834210274509815e+00,1.946877474011501574e+00,2.946820844513066417e-02
2.747327990814637744e+00,1.958066659561556788e+00,2.739883141703409325e-02
3.338507111583890463e+00,1.966514356361882321e+00,2.503890876011539979e-02
4.056898110222107334e+00,1.970975920572127560e+00,2.299086622237191124e-02
4.929874859219732564e+00,1.979836184589133463e+00,2.101044763495419146e-02
5.990701631458082765e+00,1.989090707588662355e+00,1.925799571467316784e-02
7.279800616041338657e+00,1.995128264029393250e+00,1.771702274311231715e-02
8.846292182376176427e+00,1.996734466383851769e+00,1.656465422354263042e-02
1.074986658336873369e+01,1.995833014247172743e+00,1.517119425301760235e-02
1.306305841790402233e+01,1.995337732149108367e+00,1.405479933174117076e-02
1.587401051968200072e+01,1.995432328654499043e+00,1.301263131807980575e-02
1.928983258879170748e+01,1.992113738291737546e+00,1.216827023928782753e-02
2.344068254473251400e+01,1.987415848678263819e+00,1.136989585791279948e-02
2.848472611847307334e+01,1.984803418273121123e+00,1.048948239074305559e-02
3.461416366592753491e+01,1.980441262744164987e+00,9.932797930212915530e-03
4.206255385108273970e+01,1.978100790914782747e+00,9.645803709649885399e-03
5.111371326347565969e+01,1.974502497526106737e+00,9.647587807319786546e-03
6.211253108478470608e+01,1.969524350111361510e+00,9.649559076013352124e-03
7.547811089113595528e+01,1.969026829233718745e+00,9.376516292703888575e-03
9.171974035188149799e+01,1.970680481514603732e+00,8.253319790702099562e-03
1.114562973409620952e+02,1.977557781721445362e+00,7.002127609861509734e-03
1.354398319194774558e+02,1.981218015456047699e+00,5.927583995368205551e-03
1.645842227672370655e+02,1.986040131133552267e+00,5.087611679038350418e-03
2.000000000000000284e+02,1.990683465881105896e+00,4.629427352747334141e-03
