# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.899696168123728324e-01,2.957871161235930621e-02
2.094395102393195318e-01,7.967174478312384345e-01,1.189423778552690936e-02
4.188790204786390636e-01,8.364892779794685929e-01,5.424333430717125093e-03
6.283185307179586232e-01,8.388845523543390081e-01,3.448044159305512293e-03
8.377580409572781273e-01,8.239067892461976461e-01,2.292964785153536137e-03
1.047197551196597631e+00,7.984854962739101891e-01,1.703669650999486409e-03
1.256637061435917246e+00,7.613533122730810065e-01,1.532156625956672142e-03
1.466076571675236861e+00,7.167937438598679378e-01,1.192802361132840614e-03
1.675516081914556255e+00,6.716630420355693687e-01,1.230776220703851294e-03
1.884955592153875870e+00,6.314793656844635006e-01,1.103084298356989557e-03
2.094395102393195263e+00,6.001994265938308537e-01,1.168665229205028376e-03
2.303834612632514656e+00,5.812009418859358512e-01,1.173878812782296489e-03
2.513274122871834493e+00,5.614517746721147118e-01,9.753300603037707130e-04
2.722713633111154330e+00,5.488384920053130944e-01,1.428937599620386679e-03
2.932153143350473723e+00,5.379964532124765775e-01,1.944776967584399812e-03
3.141592653589793116e+00,5.488988535144219139e-01,1.277618778564180036e-03
