# time,position_x,position_y,swimming_direction_x,swimming_direction_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.351274992194946534e-16,-1.000000000000000000e+00
2.750000000000000222e-01,-2.009982009596171862e-02,-1.356889876002416173e-01,-2.947974236733113054e-02,-9.995653779468134381e-01
5.500000000000000444e-01,-8.365185194739804819e-02,-2.599704879687479431e-01,-1.162618227493456557e-01,-9.932186005965654152e-01
8.250000000000000666e-01,-1.918630920685360508e-01,-3.600840744841495300e-01,-2.602271378136318258e-01,-9.655474285322938055e-01
1.100000000000000089e+00,-3.415647829824449144e-01,-4.210962813070499577e-01,-4.679804050046567077e-01,-8.837388418145247782e-01
1.375000000000000000e+00,-5.253680073494286784e-01,-4.231115428571631809e-01,-7.193829265412796659e-01,-6.946137091944728503e-01
1.650000000000000133e+00,-7.250418603158517161e-01,-3.462631844722479091e-01,-8.964629886632963229e-01,-4.431186183821108626e-01
1.925000000000000266e+00,-9.137368449363072465e-01,-1.960899236391555056e-01,-9.606758586596192417e-01,-2.776722791144322633e-01
2.200000000000000178e+00,-1.079081837779956032e+00,1.587872985431302252e-03,-9.870254716925320748e-01,-1.605637512956601121e-01
2.475000000000000089e+00,-1.222160933561447616e+00,2.227362858650720756e-01,-9.990853392340017791e-01,-4.276078726683685272e-02
2.750000000000000000e+00,-1.347767310566606591e+00,4.440618882805413281e-01,-9.984700797852150700e-01,5.529466315754283379e-02
3.025000000000000355e+00,-1.462742392044450002e+00,6.451127963758913619e-01,-9.924753141964577363e-01,1.224448884626982703e-01
3.300000000000000266e+00,-1.575724423761876825e+00,8.137324955488988154e-01,-9.861978017723574963e-01,1.655714219887289007e-01
3.575000000000000178e+00,-1.696367163289888014e+00,9.457565162485301880e-01,-9.812915641403562317e-01,1.925275724330754445e-01
3.850000000000000533e+00,-1.835116651445195979e+00,1.041622082420586626e+00,-9.781290287073645118e-01,2.079990461516290357e-01
4.125000000000000000e+00,-2.003431520236341967e+00,1.103567486927904850e+00,-9.766830957582055550e-01,2.146861207907199975e-01
4.400000000000000355e+00,-2.213700438148161975e+00,1.134378073858253400e+00,-9.766175424345128198e-01,2.149841292030012785e-01
4.675000000000000711e+00,-2.477564744837828847e+00,1.137724707162668381e+00,-9.766357683779901544e-01,2.149013167124228241e-01
4.950000000000000178e+00,-2.800519619354769230e+00,1.121243402970340863e+00,-9.679919161332324329e-01,2.509813744099612665e-01
5.225000000000000533e+00,-3.168583156218446106e+00,1.110289686802204523e+00,-8.577980028490787001e-01,5.139869514959810592e-01
5.500000000000000000e+00,-3.525656020201261676e+00,1.152704661215754101e+00,-5.213317354143406357e-01,8.533541009744266548e-01
5.775000000000000355e+00,-3.835506888891502708e+00,1.248852737809188929e+00,-3.581080409946019727e-01,9.336801545363425658e-01
6.050000000000000711e+00,-4.102821294995963264e+00,1.398642546263061837e+00,-3.482918939815763948e-01,9.373861299308445805e-01
6.325000000000000178e+00,-4.333254927444620819e+00,1.610442866362854497e+00,-4.534435312850669808e-01,8.912850071305634669e-01
6.600000000000000533e+00,-4.539974741188115281e+00,1.877370712129010188e+00,-7.140750165766913682e-01,7.000691899383932881e-01
6.875000000000000888e+00,-4.737564285216007143e+00,2.160453921210736983e+00,-9.507015507005666111e-01,3.101073386676588273e-01
7.150000000000000355e+00,-4.915843714730790737e+00,2.431593211268773036e+00,-9.936437372287999503e-01,1.125705266310128849e-01
7.425000000000000711e+00,-5.072936321142771376e+00,2.691754270660576154e+00,-9.935840920978701307e-01,1.130957644213577695e-01
7.700000000000001066e+00,-5.218810548125882853e+00,2.930467001660238768e+00,-9.870850469394547577e-01,1.601970976907333422e-01
7.975000000000000533e+00,-5.365249989450584955e+00,3.132756601100199045e+00,-9.798774796002321930e-01,1.995999122552332139e-01
8.250000000000000000e+00,-5.525158607246204667e+00,3.290378159477660880e+00,-9.742583260855683935e-01,2.254345005826445536e-01
8.525000000000000355e+00,-5.712296124758373672e+00,3.402049595437590224e+00,-9.705569850977250335e-01,2.408716228160016903e-01
8.800000000000000711e+00,-5.940607985793421086e+00,3.470516995069389488e+00,-9.680181630373146939e-01,2.508801228273432882e-01
9.075000000000001066e+00,-6.221790679692326798e+00,3.501555342522697511e+00,-9.629000737081869765e-01,2.698581998990730035e-01
9.350000000000001421e+00,-6.558136147032167074e+00,3.508428879501263253e+00,-9.268639207576918615e-01,3.753974858702158190e-01
9.625000000000000000e+00,-6.922767692383433591e+00,3.528496090857521583e+00,-6.865162867034981797e-01,7.271144257204917860e-01
9.900000000000000355e+00,-7.259401745250813498e+00,3.592361612747080990e+00,-3.916487431090464599e-01,9.201148091521536010e-01
1.017500000000000071e+01,-7.556058885970917238e+00,3.695727040645009787e+00,-2.930932192682514925e-01,9.560838691343833684e-01
1.045000000000000107e+01,-7.815104799185855988e+00,3.849262239685128151e+00,-3.043238202800478409e-01,9.525686392119766532e-01
1.072500000000000142e+01,-8.039374493370141650e+00,4.064079573471191864e+00,-4.134280975983823381e-01,9.105367692280100789e-01
1.100000000000000000e+01,-8.241015332335349441e+00,4.335042215065808335e+00,-6.785833815111846912e-01,7.345233790267304830e-01
