# surftimeconst/t_eta,average_velocity_axis_us_1.0_rt_0.0,average_velocity_axis_us_4.0_rt_0.0,average_velocity_axis_us_8.0_rt_0.0
0.000000000000000000e+00,6.600000000000000311e-02,2.640000000000000124e-01,5.280000000000000249e-01
8.163265306122448328e-02,7.148344328578505602e-02,2.803243567522312185e-01,5.534327391102492610e-01
1.632653061224489666e-01,7.662698461223126090e-02,2.954058809554732656e-01,5.765914313600621899e-01
2.448979591836734637e-01,8.144023575026831940e-02,3.092847603781707089e-01,5.975523128546592622e-01
3.265306122448979331e-01,8.593280847082587770e-02,3.220011827887681033e-01,6.163916196992603735e-01
4.081632653061224025e-01,9.011431454483360970e-02,3.335953359557098929e-01,6.331855879990858638e-01
4.897959183673469274e-01,9.399436574322118931e-02,3.441074076474406884e-01,6.480104538593557395e-01
5.714285714285713969e-01,9.758257383691824882e-02,3.535775856324050448e-01,6.609424533852902295e-01
6.530612244897958663e-01,1.008885505968545038e-01,3.620460576790474061e-01,6.720578226821094514e-01
7.346938775510203357e-01,1.039219077939595726e-01,3.695530115558123829e-01,6.814327978550335230e-01
8.163265306122448051e-01,1.066922571991631291e-01,3.761386350311444748e-01,6.891436150092826729e-01
8.979591836734692745e-01,1.092092105833948751e-01,3.818431158734882369e-01,6.952665102500771299e-01
9.795918367346938549e-01,1.114823797175844566e-01,3.867066418512881687e-01,6.998777196826367897e-01
1.061224489795918213e+00,1.135213763726615060e-01,3.907694007329888253e-01,7.030534794121818809e-01
1.142857142857142794e+00,1.153358123195557389e-01,3.940715802870347617e-01,7.048700255439328544e-01
1.224489795918367152e+00,1.169352993291967735e-01,3.966533682818705331e-01,7.054035941831093837e-01
1.306122448979591733e+00,1.183294491725143255e-01,3.985549524859405834e-01,7.047304214349320306e-01
1.387755102040816313e+00,1.195278736204380132e-01,3.998165206676894678e-01,7.029267434046206908e-01
1.469387755102040671e+00,1.205401844438975384e-01,4.004782605955618524e-01,7.000687961973955931e-01
1.551020408163265252e+00,1.213759934138225610e-01,4.005803600380020701e-01,6.962328159184768550e-01
1.632653061224489610e+00,1.220449123011427134e-01,4.001630067634547872e-01,6.914950386730847054e-01
1.714285714285714191e+00,1.225565528767876972e-01,3.992663885403645585e-01,6.859317005664392619e-01
1.795918367346938549e+00,1.229205269116871863e-01,3.979306931371758282e-01,6.796190377037606423e-01
1.877551020408163129e+00,1.231464461767707991e-01,3.961961083223331515e-01,6.726332861902689642e-01
1.959183673469387710e+00,1.232439224429682373e-01,3.941028218642811387e-01,6.650506821311845673e-01
2.040816326530612290e+00,1.232225674812091470e-01,3.916910215314641786e-01,6.569474616317273474e-01
2.122448979591836427e+00,1.230919930624232023e-01,3.890008950923269371e-01,6.483998607971176442e-01
2.204081632653061007e+00,1.228618109575400907e-01,3.860726303153138583e-01,6.394841157325754644e-01
2.285714285714285587e+00,1.225416329374894586e-01,3.829464149688696639e-01,6.302764625433211476e-01
2.367346938775510168e+00,1.221410707732009659e-01,3.796624368214386869e-01,6.208531373345745896e-01
2.448979591836734304e+00,1.216697362356042589e-01,3.762608836414654268e-01,6.112903762115561301e-01
2.530612244897958885e+00,1.211372410956290530e-01,3.727819431973946052e-01,6.016644152794857758e-01
2.612244897959183465e+00,1.205531971242049666e-01,3.692658032576706661e-01,5.920514906435839775e-01
2.693877551020408045e+00,1.199272160922616876e-01,3.657526515907380538e-01,5.825278384090706307e-01
2.775510204081632626e+00,1.192689097707289175e-01,3.622826759650414341e-01,5.731696946811656312e-01
2.857142857142856762e+00,1.185878899305362472e-01,3.588960641490254733e-01,5.640532955650898739e-01
2.938775510204081343e+00,1.178937683426134059e-01,3.556330039111343932e-01,5.552548771660628102e-01
3.020408163265305923e+00,1.171961567778900121e-01,3.525336830198128601e-01,5.468506755893046689e-01
3.102040816326530503e+00,1.165046670072957674e-01,3.496382892435053735e-01,5.389169269400361229e-01
3.183673469387754640e+00,1.158289108017602764e-01,3.469870103506564885e-01,5.315298673234767346e-01
3.265306122448979220e+00,1.151784999322132824e-01,3.446200341097108155e-01,5.247657328448470659e-01
3.346938775510203801e+00,1.145630461695844177e-01,3.425775482891127988e-01,5.187007596093672346e-01
3.428571428571428381e+00,1.139921612848033561e-01,3.408997406573071043e-01,5.134111837222566921e-01
3.510204081632652962e+00,1.134754570487997438e-01,3.396267989827381206e-01,5.089732412887365554e-01
3.591836734693877098e+00,1.130225452325032687e-01,3.387989110338503473e-01,5.054631684140264980e-01
3.673469387755101678e+00,1.126430376068435490e-01,3.384562645790885060e-01,5.029572012033469708e-01
3.755102040816326259e+00,1.123465459427503005e-01,3.386390473868970408e-01,5.015315757619174253e-01
3.836734693877550839e+00,1.121426820111532247e-01,3.393874472257204511e-01,5.012625281949589784e-01
3.918367346938775420e+00,1.120410575829819122e-01,3.407416518640033476e-01,5.022262946076905266e-01
4.000000000000000000e+00,1.120512844291660232e-01,3.427418490701901188e-01,5.044991111053336308e-01
