# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.317737318840579708e-01,2.917402885237992474e-02
6.899999999999999467e-01,2.116345816349637921e-01,2.434864482789337800e-02
1.034000000000000030e+00,2.473486592571325082e-01,2.010946785129654607e-02
1.379000000000000004e+00,2.742850861414521391e-01,1.722450238394752225e-02
1.723999999999999977e+00,2.928400771280452175e-01,1.557029247286885465e-02
2.068999999999999950e+00,3.056800953057032255e-01,1.423962223977820636e-02
2.414000000000000146e+00,3.158699828798156584e-01,1.327918303238624469e-02
2.758999999999999897e+00,3.260392929248595584e-01,1.244875508796510974e-02
3.103000000000000203e+00,3.314799938441628790e-01,1.211886764934872254e-02
3.447999999999999954e+00,3.332296819487746697e-01,1.162785859424102404e-02
3.793000000000000149e+00,3.346898112579916873e-01,1.112791969746469017e-02
4.137999999999999901e+00,3.390162015447529265e-01,1.069135933928331596e-02
4.482999999999999652e+00,3.424408838772864394e-01,1.035221390541788723e-02
4.828000000000000291e+00,3.454966506009863880e-01,1.004933945553782883e-02
5.171999999999999709e+00,3.480365595393465350e-01,9.821670125115443406e-03
5.517000000000000348e+00,3.495820893091806658e-01,9.591437469443875666e-03
5.862000000000000099e+00,3.525260221753987455e-01,9.395888502244454168e-03
6.206999999999999851e+00,3.551299136496596787e-01,9.160165252560945742e-03
6.551999999999999602e+00,3.561493820171799385e-01,8.943592527417030397e-03
6.897000000000000242e+00,3.573991828421777539e-01,8.722217838352789090e-03
7.240999999999999659e+00,3.588828266608980466e-01,8.452730819309488622e-03
7.586000000000000298e+00,3.603736868027863638e-01,8.246159901716426655e-03
7.931000000000000050e+00,3.603154400306156080e-01,8.025758372748076352e-03
8.275999999999999801e+00,3.617947774438134423e-01,7.821102462577755529e-03
8.621000000000000441e+00,3.631221180021894090e-01,7.602916321952772963e-03
8.965999999999999304e+00,3.649200788264346240e-01,7.392558566959491970e-03
9.310000000000000497e+00,3.656496852133123143e-01,7.259016725993037468e-03
9.654999999999999361e+00,3.663894585868721077e-01,7.125989002263419594e-03
1.000000000000000000e+01,3.670022746093749566e-01,6.982798225956078630e-03
