# time,average_velocity_axis_0_t_inf,95CLI,surftimeconst
6.006999999999999673e+00,3.720016531819647643e-01,7.911456816039937751e-03,0.000000000000000000e+00
6.006999999999999673e+00,5.248795898600070453e-01,7.774377182606489675e-03,5.000000000000000000e-01
6.006999999999999673e+00,6.136782453348696986e-01,7.252747366970097899e-03,1.000000000000000000e+00
6.006999999999999673e+00,6.182488189234954801e-01,7.035121009623753266e-03,1.500000000000000000e+00
6.006999999999999673e+00,5.737671868172029566e-01,7.293343109883186626e-03,2.000000000000000000e+00
6.006999999999999673e+00,5.189761802961649906e-01,7.416531848676271264e-03,2.500000000000000000e+00
6.006999999999999673e+00,4.654862274937052735e-01,7.710043598017381032e-03,3.000000000000000000e+00
6.006999999999999673e+00,4.063340695620734078e-01,7.743559924315414691e-03,3.500000000000000000e+00
6.006999999999999673e+00,3.778085218937281553e-01,7.702017709266741063e-03,4.000000000000000000e+00
6.006999999999999673e+00,3.496038469441901664e-01,7.568637299970332015e-03,4.500000000000000000e+00
6.006999999999999673e+00,3.277209811209839119e-01,7.884883287253568671e-03,5.000000000000000000e+00
