# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.069999999999999896e-01,2.998589551253019181e-01,2.860831840140927104e-02
4.139999999999999791e-01,4.051778051403985836e-01,2.440196636643622921e-02
6.209999999999999964e-01,4.397314720460949733e-01,2.146343173393630566e-02
8.289999999999999591e-01,4.536807111825241767e-01,1.887721820638055617e-02
1.036000000000000032e+00,4.662190752066240340e-01,1.762298310306102678e-02
1.243000000000000105e+00,4.767524936519508261e-01,1.646375285519416018e-02
1.449999999999999956e+00,4.786931445312500033e-01,1.538340862159583156e-02
1.657000000000000028e+00,4.849930114193572450e-01,1.474178950938818435e-02
1.864000000000000101e+00,4.959769323782859396e-01,1.435553359707624106e-02
2.071000000000000174e+00,5.049021838974226961e-01,1.392901173427147678e-02
2.278999999999999915e+00,5.104882204023146741e-01,1.331787449813834866e-02
2.486000000000000210e+00,5.159546876571299290e-01,1.260492493657257990e-02
2.693000000000000060e+00,5.168905760449544751e-01,1.194644957532867494e-02
2.899999999999999911e+00,5.147761941002155783e-01,1.140140894312350987e-02
3.107000000000000206e+00,5.162958346324830750e-01,1.095923183758977862e-02
3.314000000000000057e+00,5.180117302424374071e-01,1.059447770008076738e-02
3.520999999999999908e+00,5.197741844136076761e-01,1.017982324090296875e-02
3.728000000000000203e+00,5.212833857065617416e-01,9.849314470997497586e-03
3.935999999999999943e+00,5.228467384896627879e-01,9.582028037928232850e-03
4.142999999999999794e+00,5.234479140738144132e-01,9.321817073563384154e-03
4.349999999999999645e+00,5.235425038164511768e-01,9.143847522410134335e-03
4.557000000000000384e+00,5.236189636136712178e-01,8.877972387618868894e-03
4.764000000000000234e+00,5.229641508907955094e-01,8.657880893398922292e-03
4.971000000000000085e+00,5.233930028540535462e-01,8.470315891878998568e-03
5.177999999999999936e+00,5.236615760187330881e-01,8.333870526385438876e-03
5.386000000000000121e+00,5.233531928843296877e-01,8.201148682577695873e-03
5.592999999999999972e+00,5.237599765471347979e-01,8.048020558125206989e-03
5.799999999999999822e+00,5.240135018184267635e-01,7.927755482889398478e-03
6.006999999999999673e+00,5.248795898600070453e-01,7.774377182606489675e-03
