# angular_frequency,average_fft_tr(J^2),95CLI
6.283185307179586232e-01,6.593859873640298019e+01,2.334396457710806949e+00
1.257893698497352997e+00,6.503366204413619300e+01,2.252176706980499876e+00
1.887468866276747814e+00,6.323732205242055926e+01,2.206917648055367831e+00
2.517044034056142188e+00,6.096572810362177108e+01,2.049264044282030905e+00
3.146619201835537005e+00,5.881301090279913524e+01,1.934533110698882341e+00
3.776194369614931379e+00,5.727541952963677119e+01,1.834616709249103028e+00
4.405769537394325752e+00,5.465342975358434074e+01,1.722159177141018960e+00
5.035344705173719682e+00,5.254336644843417048e+01,1.614496618932772964e+00
5.664919872953115387e+00,4.980017886635546631e+01,1.486015794910628962e+00
6.294495040732510205e+00,4.796390889727980067e+01,1.449801812201287454e+00
6.924070208511904134e+00,4.607823955551319273e+01,1.385415612318732004e+00
7.553645376291298952e+00,4.444935505437769763e+01,1.336507057648964603e+00
8.183220544070692881e+00,4.276053360582972829e+01,1.292570293955634275e+00
8.812795711850087699e+00,4.164500596148563005e+01,1.243737927480029981e+00
9.442370879629482516e+00,4.036523197198711443e+01,1.208638872278587462e+00
1.007194604740887733e+01,3.952701121351714875e+01,1.169099300413444231e+00
1.070152121518827215e+01,3.769561808664015246e+01,1.105252842517646439e+00
1.133109638296766519e+01,3.704746077650115410e+01,1.054439810664105526e+00
1.196067155074706179e+01,3.581759890980430328e+01,1.045801299918960980e+00
1.259024671852645483e+01,3.478000549789777551e+01,1.004101259519326161e+00
1.321982188630584965e+01,3.407062498177148058e+01,9.692160611551525751e-01
1.384939705408524446e+01,3.282364095755329458e+01,9.182363676111279238e-01
1.447897222186463928e+01,3.190594833273361530e+01,9.164248885358985408e-01
1.510854738964403232e+01,3.077423877587199641e+01,8.606895901761614232e-01
1.573812255742342892e+01,2.999369577083326988e+01,8.481915257843809508e-01
1.636769772520282373e+01,2.967485452772354293e+01,8.186430430096784949e-01
1.699727289298221677e+01,2.869175014041777771e+01,7.896629786796234285e-01
1.762684806076160982e+01,2.865013449135752666e+01,7.932708450669863076e-01
1.825642322854100641e+01,2.742846617790128150e+01,7.622890535758810593e-01
1.888599839632039945e+01,2.682059552554032322e+01,7.377444907582898503e-01
1.951557356409979249e+01,2.633555948002274505e+01,7.173758664697701404e-01
2.014514873187918909e+01,2.540669750658323878e+01,6.812351890231220786e-01
2.077472389965858568e+01,2.510808690431979073e+01,6.992136470095429157e-01
2.140429906743797872e+01,2.487164109880492546e+01,6.881914335642266289e-01
2.203387423521737176e+01,2.448884582589788650e+01,6.681851176957139815e-01
2.266344940299676836e+01,2.341773141375293577e+01,6.701220275402155480e-01
2.329302457077616495e+01,2.310845999203517565e+01,6.427617266338702118e-01
2.392259973855555444e+01,2.279708410257370232e+01,6.333168236950128538e-01
2.455217490633495103e+01,2.216883527085508376e+01,6.144781482322325683e-01
2.518175007411434763e+01,2.182669041466129300e+01,6.044114594834038012e-01
2.581132524189374067e+01,2.150000262900976011e+01,5.907773473086680438e-01
2.644090040967313371e+01,2.102042014527140523e+01,5.839945708831416615e-01
2.707047557745253030e+01,2.032624569122442537e+01,5.792328734164305937e-01
2.770005074523192334e+01,2.036949482395551669e+01,5.734166658601058675e-01
2.832962591301131994e+01,1.980328895339960127e+01,5.582924700590234934e-01
2.895920108079071653e+01,1.942952169522284223e+01,5.482556479038703801e-01
2.958877624857010602e+01,1.905558562599942363e+01,5.402968452341573302e-01
3.021835141634950261e+01,1.904250535922938781e+01,5.488293857821461286e-01
3.084792658412889921e+01,1.850610407045495975e+01,5.165002680298192983e-01
