# us/u_eta,time_estimate
5.000000000000000000e-01,3.336498524679594735e-01
1.000000000000000000e+00,3.295195691812155547e-01
1.500000000000000000e+00,3.257976805172677626e-01
2.000000000000000000e+00,3.162999843919787057e-01
2.500000000000000000e+00,3.060498015819226314e-01
3.000000000000000000e+00,2.950153059021075608e-01
3.500000000000000000e+00,2.827669555008165414e-01
4.000000000000000000e+00,2.705747651049932312e-01
4.500000000000000000e+00,2.632487169925653014e-01
5.000000000000000000e+00,2.583569456969324607e-01
6.000000000000000000e+00,2.387175231434233713e-01
7.000000000000000000e+00,2.172957685037923969e-01
8.000000000000000000e+00,2.088923099307178344e-01
9.000000000000000000e+00,1.900979162426065516e-01
1.000000000000000000e+01,2.001247919176084578e-01
1.500000000000000000e+01,1.678023498928914448e-01
2.000000000000000000e+01,1.383466237319448677e-01
