# u_0,pdf
-2.768410591500000351e+00,4.538927890649578070e-04
-2.763031774499999926e+00,0.000000000000000000e+00
-2.757652957500000390e+00,0.000000000000000000e+00
-2.752274140499999966e+00,0.000000000000000000e+00
-2.746895323500000430e+00,0.000000000000000000e+00
-2.741516506500000006e+00,0.000000000000000000e+00
-2.736137689500000469e+00,0.000000000000000000e+00
-2.730758872500000045e+00,0.000000000000000000e+00
-2.725380055500000509e+00,4.538927890649578070e-04
-2.720001238500000085e+00,0.000000000000000000e+00
-2.714622421500000549e+00,0.000000000000000000e+00
-2.709243604500000124e+00,0.000000000000000000e+00
-2.703864787499999700e+00,0.000000000000000000e+00
-2.698485970500000164e+00,0.000000000000000000e+00
-2.693107153499999740e+00,0.000000000000000000e+00
-2.687728336500000204e+00,0.000000000000000000e+00
-2.682349519499999779e+00,0.000000000000000000e+00
-2.676970702500000243e+00,4.538927890649578070e-04
-2.671591885499999819e+00,0.000000000000000000e+00
-2.666213068500000283e+00,0.000000000000000000e+00
-2.660834251499999858e+00,0.000000000000000000e+00
-2.655455434500000322e+00,0.000000000000000000e+00
-2.650076617499999898e+00,0.000000000000000000e+00
-2.644697800500000362e+00,0.000000000000000000e+00
-2.639318983499999938e+00,0.000000000000000000e+00
-2.633940166500000402e+00,0.000000000000000000e+00
-2.628561349499999977e+00,9.077855781299156140e-04
-2.623182532500000441e+00,0.000000000000000000e+00
-2.617803715500000017e+00,0.000000000000000000e+00
-2.612424898500000481e+00,0.000000000000000000e+00
-2.607046081500000057e+00,0.000000000000000000e+00
-2.601667264500000520e+00,0.000000000000000000e+00
-2.596288447500000096e+00,0.000000000000000000e+00
-2.590909630500000116e+00,0.000000000000000000e+00
-2.585530813500000136e+00,0.000000000000000000e+00
-2.580151996499999711e+00,4.538927890649578070e-04
-2.574773179500000175e+00,0.000000000000000000e+00
-2.569394362499999751e+00,0.000000000000000000e+00
-2.564015545500000215e+00,0.000000000000000000e+00
-2.558636728499999791e+00,0.000000000000000000e+00
-2.553257911500000255e+00,0.000000000000000000e+00
-2.547879094499999830e+00,4.538927890649578070e-04
-2.542500277500000294e+00,0.000000000000000000e+00
-2.537121460499999870e+00,0.000000000000000000e+00
-2.531742643500000334e+00,0.000000000000000000e+00
-2.526363826499999909e+00,0.000000000000000000e+00
-2.520985009500000373e+00,0.000000000000000000e+00
-2.515606192499999949e+00,0.000000000000000000e+00
-2.510227375500000413e+00,0.000000000000000000e+00
-2.504848558499999989e+00,0.000000000000000000e+00
-2.499469741500000453e+00,0.000000000000000000e+00
-2.494090924500000028e+00,0.000000000000000000e+00
-2.488712107500000492e+00,0.000000000000000000e+00
-2.483333290500000068e+00,0.000000000000000000e+00
-2.477954473500000532e+00,0.000000000000000000e+00
-2.472575656500000107e+00,4.538927890649203478e-04
-2.467196839500000127e+00,0.000000000000000000e+00
-2.461818022500000147e+00,0.000000000000000000e+00
