# u_1,pdf
-3.309419655000000127e+00,3.713019312400657880e-05
-3.302850965000000194e+00,0.000000000000000000e+00
-3.296282275000000261e+00,0.000000000000000000e+00
-3.289713585000000329e+00,0.000000000000000000e+00
-3.283144894999999952e+00,0.000000000000000000e+00
-3.276576205000000019e+00,0.000000000000000000e+00
-3.270007515000000087e+00,0.000000000000000000e+00
-3.263438825000000154e+00,0.000000000000000000e+00
-3.256870135000000221e+00,0.000000000000000000e+00
-3.250301444999999845e+00,0.000000000000000000e+00
-3.243732754999999912e+00,0.000000000000000000e+00
-3.237164064999999979e+00,0.000000000000000000e+00
-3.230595375000000047e+00,0.000000000000000000e+00
-3.224026685000000114e+00,0.000000000000000000e+00
-3.217457995000000182e+00,0.000000000000000000e+00
-3.210889305000000249e+00,0.000000000000000000e+00
-3.204320615000000316e+00,0.000000000000000000e+00
-3.197751924999999940e+00,0.000000000000000000e+00
-3.191183235000000007e+00,7.426038624801315760e-05
-3.184614545000000074e+00,0.000000000000000000e+00
-3.178045855000000142e+00,0.000000000000000000e+00
-3.171477165000000209e+00,0.000000000000000000e+00
-3.164908474999999832e+00,0.000000000000000000e+00
-3.158339784999999900e+00,0.000000000000000000e+00
-3.151771094999999967e+00,0.000000000000000000e+00
-3.145202405000000034e+00,0.000000000000000000e+00
-3.138633715000000102e+00,0.000000000000000000e+00
-3.132065025000000169e+00,0.000000000000000000e+00
-3.125496335000000236e+00,3.713019312400657880e-05
-3.118927645000000304e+00,0.000000000000000000e+00
-3.112358954999999927e+00,0.000000000000000000e+00
-3.105790264999999994e+00,0.000000000000000000e+00
-3.099221575000000062e+00,0.000000000000000000e+00
-3.092652885000000129e+00,3.713019312400657880e-05
-3.086084195000000197e+00,0.000000000000000000e+00
-3.079515504999999820e+00,0.000000000000000000e+00
-3.072946814999999887e+00,0.000000000000000000e+00
-3.066378124999999955e+00,0.000000000000000000e+00
-3.059809435000000022e+00,0.000000000000000000e+00
-3.053240745000000089e+00,0.000000000000000000e+00
-3.046672055000000157e+00,0.000000000000000000e+00
-3.040103365000000224e+00,0.000000000000000000e+00
-3.033534675000000291e+00,0.000000000000000000e+00
-3.026965985000000359e+00,0.000000000000000000e+00
-3.020397294999999982e+00,0.000000000000000000e+00
-3.013828605000000049e+00,0.000000000000000000e+00
-3.007259915000000117e+00,0.000000000000000000e+00
-3.000691225000000184e+00,0.000000000000000000e+00
-2.994122534999999807e+00,0.000000000000000000e+00
-2.987553844999999875e+00,0.000000000000000000e+00
-2.980985154999999942e+00,0.000000000000000000e+00
-2.974416465000000009e+00,0.000000000000000000e+00
-2.967847775000000077e+00,0.000000000000000000e+00
-2.961279085000000144e+00,0.000000000000000000e+00
-2.954710395000000211e+00,3.713019312400657880e-05
-2.948141705000000279e+00,0.000000000000000000e+00
-2.941573015000000346e+00,0.000000000000000000e+00
-2.935004324999999969e+00,0.000000000000000000e+00
-2.928435635000000037e+00,0.000000000000000000e+00
-2.921866945000000104e+00,3.713019312400657880e-05
-2.915298255000000172e+00,0.000000000000000000e+00
-2.908729564999999795e+00,0.000000000000000000e+00
-2.902160874999999862e+00,0.000000000000000000e+00
-2.895592184999999930e+00,0.000000000000000000e+00
-2.889023494999999997e+00,0.000000000000000000e+00
-2.882454805000000064e+00,0.000000000000000000e+00
-2.875886115000000132e+00,0.000000000000000000e+00
-2.869317425000000199e+00,0.000000000000000000e+00
-2.862748735000000266e+00,3.713019312400657880e-05
-2.856180045000000334e+00,0.000000000000000000e+00
-2.849611354999999957e+00,0.000000000000000000e+00
-2.843042665000000024e+00,0.000000000000000000e+00
-2.836473975000000092e+00,3.713019312400657880e-05
-2.829905285000000159e+00,3.713019312400657880e-05
-2.823336595000000226e+00,3.713019312400657880e-05
-2.816767904999999850e+00,7.426038624800812961e-05
-2.810199214999999917e+00,3.713019312400657880e-05
-2.803630524999999984e+00,3.713019312400657880e-05
-2.797061835000000052e+00,0.000000000000000000e+00
-2.790493145000000119e+00,0.000000000000000000e+00
-2.783924455000000187e+00,0.000000000000000000e+00
-2.777355765000000254e+00,7.426038624801315760e-05
-2.770787075000000321e+00,0.000000000000000000e+00
-2.764218384999999945e+00,7.426038624801315760e-05
-2.757649695000000012e+00,7.426038624801315760e-05
-2.751081005000000079e+00,3.713019312400657880e-05
-2.744512315000000147e+00,7.426038624801315760e-05
-2.737943624999999770e+00,3.713019312400406480e-05
-2.731374934999999837e+00,1.113905793720197364e-04
-2.724806244999999905e+00,1.485207724960263152e-04
-2.718237554999999972e+00,3.713019312400657880e-05
-2.711668865000000039e+00,3.713019312400657880e-05
-2.705100175000000107e+00,1.485207724960263152e-04
-2.698531485000000174e+00,1.485207724960263152e-04
-2.691962795000000241e+00,7.426038624801315760e-05
-2.685394105000000309e+00,3.713019312400657880e-05
-2.678825415000000376e+00,7.426038624800812961e-05
-2.672256724999999999e+00,1.485207724960263152e-04
-2.665688035000000067e+00,7.426038624801315760e-05
-2.659119345000000134e+00,1.485207724960263152e-04
-2.652550654999999757e+00,2.970415449920325184e-04
-2.645981964999999825e+00,2.227811587440394728e-04
-2.639413274999999892e+00,1.856509656200328940e-04
-2.632844584999999960e+00,2.599113518680460245e-04
-2.626275895000000027e+00,1.856509656200328940e-04
-2.619707205000000094e+00,1.856509656200328940e-04
-2.613138515000000162e+00,1.485207724960263152e-04
-2.606569825000000229e+00,1.113905793720197364e-04
-2.600001135000000296e+00,2.599113518680460245e-04
-2.593432445000000364e+00,1.485207724960162592e-04
-2.586863754999999987e+00,1.113905793720197364e-04
-2.580295065000000054e+00,1.856509656200328940e-04
-2.573726375000000122e+00,3.713019312400657880e-05
-2.567157685000000189e+00,2.599113518680460245e-04
-2.560588994999999812e+00,2.970415449920325184e-04
-2.554020304999999880e+00,3.341717381160592363e-04
-2.547451614999999947e+00,2.970415449920526304e-04
-2.540882925000000014e+00,2.599113518680460245e-04
-2.534314235000000082e+00,4.084321243640723397e-04
-2.527745545000000149e+00,2.599113518680460245e-04
-2.521176855000000216e+00,1.856509656200328940e-04
-2.514608165000000284e+00,2.970415449920526304e-04
-2.508039475000000351e+00,3.713019312400406887e-04
-2.501470784999999974e+00,3.713019312400657880e-04
-2.494902095000000042e+00,5.569528968600987633e-04
-2.488333405000000109e+00,2.599113518680460245e-04
-2.481764715000000177e+00,5.569528968600987633e-04
-2.475196024999999800e+00,5.569528968600610331e-04
-2.468627334999999867e+00,5.940830899841052608e-04
-2.462058644999999935e+00,6.683434762321184726e-04
