# u_1,pdf
-3.054182505341880294e+00,1.798252012037656578e-05
-3.040619516025640845e+00,0.000000000000000000e+00
-3.027056526709401396e+00,0.000000000000000000e+00
-3.013493537393162391e+00,5.394756036112969395e-05
-2.999930548076922943e+00,3.596504024075431063e-05
-2.986367558760683494e+00,1.798252012037656578e-05
-2.972804569444444489e+00,1.798252012037656578e-05
-2.959241580128204596e+00,1.798252012037656578e-05
-2.945678590811965591e+00,3.596504024075431063e-05
-2.932115601495726587e+00,1.798252012037656578e-05
-2.918552612179486694e+00,3.596504024075313156e-05
-2.904989622863247689e+00,1.798252012037715531e-05
-2.891426633547008684e+00,3.596504024075313156e-05
-2.877863644230768791e+00,5.394756036112969395e-05
-2.864300654914529787e+00,3.596504024075313156e-05
-2.850737665598290338e+00,1.798252012037715531e-05
-2.837174676282050889e+00,7.193008048150626311e-05
-2.823611686965811884e+00,3.596504024075313156e-05
-2.810048697649572436e+00,1.798252012037715531e-05
-2.796485708333332987e+00,5.394756036112969395e-05
-2.782922719017093982e+00,5.394756036112969395e-05
-2.769359729700854533e+00,8.991260060188577318e-05
-2.755796740384615084e+00,3.596504024075313156e-05
-2.742233751068376080e+00,7.193008048150626311e-05
-2.728670761752136631e+00,3.596504024075431063e-05
-2.715107772435897182e+00,3.596504024075313156e-05
-2.701544783119658177e+00,1.618426810833890818e-04
-2.687981793803418284e+00,1.078951207222593879e-04
-2.674418804487179280e+00,1.078951207222629251e-04
-2.660855815170940275e+00,7.193008048150626311e-05
-2.647292825854700382e+00,1.798252012037656374e-04
-2.633729836538461377e+00,1.618426810833943673e-04
-2.620166847222222373e+00,2.697378018056484426e-04
-2.606603857905982480e+00,8.991260060188281872e-05
-2.593040868589743475e+00,3.596504024075312749e-04
-2.579477879273504026e+00,3.776329225279202446e-04
-2.565914889957264577e+00,3.057028420464015538e-04
-2.552351900641025573e+00,3.057028420464015538e-04
-2.538788911324786124e+00,3.236853621667887346e-04
-2.525225922008546675e+00,3.956154426482843861e-04
-2.511662932692307670e+00,5.754406438520501049e-04
-2.498099943376068222e+00,4.135979627686744943e-04
-2.484536954059828773e+00,5.035105633705438824e-04
-2.470973964743589768e+00,6.653532444539328287e-04
-2.457410975427350319e+00,5.754406438520689700e-04
-2.443847986111110870e+00,8.092134054169453821e-04
-2.430284996794871866e+00,8.451784456576984933e-04
-2.416722007478632417e+00,7.732483651762175328e-04
-2.403159018162392968e+00,9.350910462595813256e-04
-2.389596028846153963e+00,9.171085261392048242e-04
-2.376033039529914070e+00,9.350910462595813256e-04
-2.362470050213675066e+00,1.060968687102252072e-03
-2.348907060897436061e+00,9.350910462595813256e-04
-2.335344071581196168e+00,1.330706488907865657e-03
-2.321781082264957163e+00,1.456584129750501709e-03
-2.308218092948717715e+00,1.582461770593189369e-03
-2.294655103632478266e+00,1.546496730352384542e-03
-2.281092114316239261e+00,1.780269491917280036e-03
-2.267529124999999812e+00,1.870182092519224017e-03
-2.253966135683760363e+00,1.978077213241422310e-03
-2.240403146367521359e+00,2.121937374204434755e-03
-2.226840157051281910e+00,2.427640216250915618e-03
-2.213277167735042461e+00,3.146941021065898913e-03
-2.199714178418803456e+00,3.902206866121714357e-03
-2.186151189102564008e+00,3.920189386242219770e-03
-2.172588199786324559e+00,4.441682469733011784e-03
-2.159025210470085554e+00,4.729402791659036674e-03
-2.145462221153846105e+00,5.053088153825979582e-03
-2.131899231837606656e+00,4.657472711177530235e-03
-2.118336242521367652e+00,5.538616197075981948e-03
-2.104773253205127759e+00,5.790371478761253618e-03
-2.091210263888888754e+00,5.862301559242951744e-03
-2.077647274572649749e+00,6.797392605502341166e-03
-2.064084285256410300e+00,8.271959255373490319e-03
-2.050521295940170852e+00,7.696518611520917520e-03
-2.036958306623931403e+00,9.530735663799892038e-03
-2.023395317307691954e+00,8.613627137660374855e-03
-2.009832327991452949e+00,9.171085261392047591e-03
-1.996269338675213501e+00,1.030398402897610838e-02
-1.982706349358974274e+00,1.050179175029991412e-02
-1.969143360042735047e+00,1.213820108125437947e-02
-1.955580370726495598e+00,1.244390392330058277e-02
-1.942017381410256149e+00,1.411627829449583343e-02
-1.928454392094017145e+00,1.445794617678299553e-02
-1.914891402777777696e+00,1.623821566870003660e-02
-1.901328413461538247e+00,1.573470510532975000e-02
-1.887765424145299020e+00,1.697549899363547804e-02
-1.874202434829059793e+00,1.823427540206213476e-02
-1.860639445512820345e+00,1.882769856603457026e-02
-1.847076456196581118e+00,1.902550628735840549e-02
-1.833513466880341891e+00,2.229832494926730496e-02
-1.819950477564102442e+00,2.353911883757292545e-02
-1.806387488247862994e+00,2.488780784660157494e-02
-1.792824498931623989e+00,2.708167530128754996e-02
-1.779261509615384540e+00,2.832246918959309065e-02
-1.765698520299145091e+00,3.058826672476103528e-02
-1.752135530982905864e+00,3.355538254462266806e-02
-1.738572541666666638e+00,3.479617643292921836e-02
-1.725009552350427189e+00,3.699004388761519685e-02
-1.711446563034187962e+00,3.763741461194814591e-02
-1.697883573717948735e+00,4.031681010988492214e-02
-1.684320584401709286e+00,4.342778609070940127e-02
-1.670757595085469838e+00,4.432691209672896121e-02
-1.657194605769230833e+00,4.759973075863754149e-02
-1.643631616452991384e+00,5.184360550704563558e-02
-1.630068627136751935e+00,5.333615467703776286e-02
-1.616505637820512709e+00,5.279667907342559113e-02
-1.602942648504273482e+00,5.927038631676212477e-02
-1.589379659188034033e+00,6.114056840928131648e-02
-1.575816669871794806e+00,6.599584884178198718e-02
-1.562253680555555579e+00,7.088709431452556997e-02
-1.548690691239316131e+00,7.371034997342353068e-02
-1.535127701923076682e+00,7.581430482750883826e-02
-1.521564712606837677e+00,7.770246944014841395e-02
-1.508001723290598228e+00,8.345687587866762458e-02
-1.494438733974358779e+00,8.716127502346664169e-02
-1.480875744658119553e+00,8.994856564212357075e-02
-1.467312755341880326e+00,9.273585626078346966e-02
-1.453749766025640877e+00,9.910166838339687367e-02
-1.440186776709401650e+00,9.974903910772879578e-02
-1.426623787393162424e+00,1.035073858128891938e-01
-1.413060798076922975e+00,1.083087186850280464e-01
-1.399497808760683526e+00,1.133078592784945854e-01
-1.385934819444444521e+00,1.148363734887266202e-01
-1.372371830128205072e+00,1.199613917230320514e-01
-1.358808840811965624e+00,1.289166867429817065e-01
-1.345245851495726397e+00,1.302833582721282246e-01
-1.331682862179487170e+00,1.340057399370483404e-01
-1.318119872863247721e+00,1.373864537196792246e-01
-1.304556883547008495e+00,1.433926154398827146e-01
-1.290993894230769268e+00,1.493448295997298059e-01
-1.277430904914529819e+00,1.528334385030804266e-01
-1.263867915598290370e+00,1.562141522857137532e-01
-1.250304926282051365e+00,1.584260022605201157e-01
-1.236741936965811917e+00,1.666799789957703615e-01
-1.223178947649572468e+00,1.671475245189029124e-01
-1.209615958333333241e+00,1.741427248457266541e-01
-1.196052969017094014e+00,1.782607219532957865e-01
-1.182489979700854565e+00,1.837993381503718882e-01
-1.168926990384615339e+00,1.924129652880292307e-01
-1.155364001068376112e+00,1.968186827175247289e-01
-1.141801011752136663e+00,2.037059879236257087e-01
-1.128238022435897214e+00,2.108810134516594381e-01
-1.114675033119658210e+00,2.126972479838175056e-01
-1.101112043803418761e+00,2.156463812835557881e-01
-1.087549054487179312e+00,2.226056165701451595e-01
-1.073986065170940085e+00,2.219222808055671958e-01
-1.060423075854700858e+00,2.297806420981792774e-01
-1.046860086538461632e+00,2.312731912681629809e-01
-1.033297097222222183e+00,2.365061046231925757e-01
-1.019734107905982734e+00,2.434473573896579479e-01
-1.006171118589743507e+00,2.421526159409987389e-01
-9.926081292735042805e-01,2.434113923494171661e-01
-9.790451399572648317e-01,2.488600959458912576e-01
-9.654821506410256049e-01,2.587684645322271826e-01
-9.519191613247863781e-01,2.609443494667843533e-01
-9.383561720085469293e-01,2.677777071125274633e-01
-9.247931826923077026e-01,2.719676343005840713e-01
-9.112301933760684758e-01,2.765711594513916016e-01
-8.976672040598290270e-01,2.884216402107197541e-01
-8.841042147435895782e-01,2.879540946875899232e-01
-8.705412254273503514e-01,2.896084865386740481e-01
-8.569782361111111246e-01,2.987076417195750899e-01
-8.434152467948716758e-01,3.075550416188003733e-01
-8.298522574786324491e-01,3.116910212464971686e-01
-8.162892681623932223e-01,3.123923395311816731e-01
-8.027262788461537735e-01,3.215094772322125705e-01
-7.891632895299145467e-01,3.190818370159722028e-01
-7.756003002136753199e-01,3.276594991133813806e-01
-7.620373108974358711e-01,3.356976856071897108e-01
-7.484743215811964223e-01,3.399595428757189453e-01
-7.349113322649571955e-01,3.444371903857039730e-01
-7.213483429487179688e-01,3.393841022318668799e-01
-7.077853536324785200e-01,3.483573797719348164e-01
-6.942223643162392932e-01,3.542376638513095033e-01
-6.806593750000000664e-01,3.570249544699563016e-01
-6.670963856837606176e-01,3.678144665421822501e-01
-6.535333963675213909e-01,3.685157848268890146e-01
-6.399704070512821641e-01,3.746658067080457233e-01
-6.264074177350427153e-01,3.804022306264458475e-01
-6.128444284188032665e-01,3.816789895549925760e-01
-5.992814391025640397e-01,3.904724418938694819e-01
-5.857184497863248129e-01,3.966584288152662507e-01
-5.721554604700853641e-01,3.999132649570544262e-01
-5.585924711538461374e-01,4.038874019036708396e-01
-5.450294818376069106e-01,3.986005409882669714e-01
-5.314664925213674618e-01,4.037795067829353379e-01
-5.179035032051282350e-01,4.081132941319595142e-01
-5.043405138888890082e-01,4.149286692575688273e-01
-4.907775245726495594e-01,4.197659671699501827e-01
-4.772145352564101106e-01,4.244953699616091924e-01
-4.636515459401708839e-01,4.337743503437377357e-01
-4.500885566239316571e-01,4.418664843978929446e-01
-4.365255673076922083e-01,4.459485164652184364e-01
-4.229625779914529815e-01,4.455169359823439867e-01
-4.093995886752137547e-01,4.472072928736447461e-01
-3.958365993589743059e-01,4.495989680496548235e-01
-3.822736100427350792e-01,4.535551224761525391e-01
-3.687106207264958524e-01,4.519366956653038114e-01
-3.551476314102564036e-01,4.585003155092412519e-01
-3.415846420940169548e-01,4.654595507958269596e-01
-3.280216527777777280e-01,4.686424568571490035e-01
-3.144586634615385012e-01,4.653516556751047806e-01
-3.008956741452990524e-01,4.727604539646999005e-01
-2.873326848290598257e-01,4.828846127924876774e-01
-2.737696955128205989e-01,4.883692814291867301e-01
-2.602067061965811501e-01,4.904912188033911935e-01
-2.466437168803419233e-01,4.826328575108024266e-01
-2.330807275641026965e-01,4.867328720982324608e-01
-2.195177382478632477e-01,4.925412260971141487e-01
-2.059547489316237989e-01,4.955443069572170178e-01
-1.923917596153845722e-01,4.946991285115754922e-01
-1.788287702991453454e-01,4.912105196082062752e-01
-1.652657809829058966e-01,4.882434037883441325e-01
-1.517027916666666698e-01,4.900236732802774609e-01
-1.381398023504274430e-01,4.932785094220495381e-01
-1.245768130341879942e-01,4.902754285619466690e-01
-1.110138237179487675e-01,4.945912333908532021e-01
-9.745083440170954070e-02,4.856539208910098937e-01
-8.388784508547009189e-02,4.903293761223078140e-01
-7.032485576923064308e-02,5.040320564540347048e-01
-5.676186645299141631e-02,5.007052902317814524e-01
-4.319887713675218954e-02,5.086895291652122619e-01
-2.963588782051274073e-02,5.081680360817213415e-01
-1.607289850427351396e-02,5.040320564540512471e-01
-2.509909188034287197e-03,4.982596674953938543e-01
1.105308012820516161e-02,4.935662297439755708e-01
2.461606944444438838e-02,4.934583346232694900e-01
3.817905876068361515e-02,4.944653557499943952e-01
5.174204807692306396e-02,4.978280870125048052e-01
6.530503739316251277e-02,5.038702137729513808e-01
7.886802670940173954e-02,4.996982691050403380e-01
9.243101602564096630e-02,4.960837825608283014e-01
1.059940053418804151e-01,4.906530614844745730e-01
1.195569946581196419e-01,4.913543797691853343e-01
1.331199839743588687e-01,4.847547948849910693e-01
1.466829732905983175e-01,4.831723331143979450e-01
1.602459626068375442e-01,4.732100169677248003e-01
1.738089519230767710e-01,4.719152755190421655e-01
1.873719412393162198e-01,4.704586913892916944e-01
2.009349305555556686e-01,4.641648093471599235e-01
2.144979198717948954e-01,4.665924495634259928e-01
2.280609091880341222e-01,4.616832215705478637e-01
2.416238985042735710e-01,4.641288443069191416e-01
2.551868878205127977e-01,4.551915318071069194e-01
2.687498771367520245e-01,4.511454647800072770e-01
2.823128664529914733e-01,4.502103737337476708e-01
2.958758557692307001e-01,4.489875623655767423e-01
3.094388450854699268e-01,4.411112185528371366e-01
3.230018344017093757e-01,4.436107888495695040e-01
3.365648237179488245e-01,4.394388441816420854e-01
3.501278130341880512e-01,4.371910291666093462e-01
3.636908023504272780e-01,4.292247727532682577e-01
3.772537916666667268e-01,4.339721580650476307e-01
3.908167809829059536e-01,4.288651223508747612e-01
4.043797702991451803e-01,4.245493175219703375e-01
4.179427596153846292e-01,4.154501623410597477e-01
4.315057489316238559e-01,4.184352606810559649e-01
4.450687382478630827e-01,4.152703371398560050e-01
4.586317275641025315e-01,4.065308323613530117e-01
4.721947168803417583e-01,4.023409051733183861e-01
4.857577061965809850e-01,3.897531410890416881e-01
4.993206955128204338e-01,3.834772415670302248e-01
5.128836848290598827e-01,3.858149691826791572e-01
5.264466741452991094e-01,3.825601330409035827e-01
5.400096634615383362e-01,3.779206428498338988e-01
5.535726527777777850e-01,3.752232648317773700e-01
5.671356420940170118e-01,3.747197542684191363e-01
5.806986314102562385e-01,3.649192808028016710e-01
5.942616207264956874e-01,3.673289384989320561e-01
6.078246100427349141e-01,3.663578824124437694e-01
6.213875993589741409e-01,3.700442990371089480e-01
6.349505886752135897e-01,3.563416187053820017e-01
6.485135779914530385e-01,3.593806646057256526e-01
6.620765673076922653e-01,3.437178895808889467e-01
6.756395566239314920e-01,3.352840876444210805e-01
6.892025459401709409e-01,3.292959084443356499e-01
7.027655352564101676e-01,3.323529368648105442e-01
7.163285245726493944e-01,3.268682682280847906e-01
7.298915138888888432e-01,3.182366585703040873e-01
7.434545032051280700e-01,3.148379622675631651e-01
7.570174925213672967e-01,3.112054932032368160e-01
7.705804818376067455e-01,3.109897029617922914e-01
7.841434711538461944e-01,3.076809192596430265e-01
7.977064604700854211e-01,3.030054640283550427e-01
8.112694497863246479e-01,3.021063380223262818e-01
8.248324391025640967e-01,2.959383336210371085e-01
8.383954284188033235e-01,2.881159373686827396e-01
8.519584177350425502e-01,2.817860902863008055e-01
8.655214070512819990e-01,2.791606423487257849e-01
8.790843963675212258e-01,2.765711594514005944e-01
8.926473856837604526e-01,2.749167676003169136e-01
9.062103749999999014e-01,2.684610428771017077e-01
9.197733643162393502e-01,2.628864616397850185e-01
9.333363536324785770e-01,2.596855730583664812e-01
9.468993429487175817e-01,2.550281003471887575e-01
9.604623322649570305e-01,2.534456385765789799e-01
9.740253215811964793e-01,2.436631476311104383e-01
9.875883108974359281e-01,2.397789232850932595e-01
1.001151300213675377e+00,2.354631184562184509e-01
1.014714289529914382e+00,2.351214505739312732e-01
1.028277278846153830e+00,2.319565270327297035e-01
1.041840268162393279e+00,2.286117782903547280e-01
1.055403257478632284e+00,2.182538467010174954e-01
1.068966246794871733e+00,2.214727178025505117e-01
1.082529236111111182e+00,2.149990105592292644e-01
1.096092225427350186e+00,2.113665414949130461e-01
1.109655214743589635e+00,2.023393163944704753e-01
1.123218204059829084e+00,2.004151867416033572e-01
1.136781193376068089e+00,1.998217635776309287e-01
1.150344182692307538e+00,1.932221786934398555e-01
1.163907172008546986e+00,1.906147132759978269e-01
1.177470161324785991e+00,1.852379397600050492e-01
1.191033150641025440e+00,1.755453614151102903e-01
1.204596139957264889e+00,1.738729870439267022e-01
1.218159129273503893e+00,1.678488428036003510e-01
1.231722118589743342e+00,1.632273351326527233e-01
1.245285107905982791e+00,1.598825863902732791e-01
1.258848097222222240e+00,1.565198551277524885e-01
1.272411086538461689e+00,1.471149971048054950e-01
1.285974075854700693e+00,1.457303430555364487e-01
1.299537065170940142e+00,1.410369053041087839e-01
1.313100054487179591e+00,1.386452301281078381e-01
1.326663043803418596e+00,1.343653903394581017e-01
1.340226033119658045e+00,1.292223895850217741e-01
1.353789022435897493e+00,1.231802628245834974e-01
1.367352011752136498e+00,1.241153538708431175e-01
1.380915001068375947e+00,1.170482234635272234e-01
1.394477990384615396e+00,1.174438389061831928e-01
