# surftimeconst/t_eta,average_velocity_axis_us_1.0_rt_0.0
0.000000000000000000e+00,6.600000000000000311e-02
2.040816326530612290e-01,7.305545447508621226e-02
4.081632653061224580e-01,7.959146743189772499e-02
6.122448979591836871e-01,8.562457358371086680e-02
8.163265306122449161e-01,9.117130764380194929e-02
1.020408163265306145e+00,9.624820432544733961e-02
1.224489795918367374e+00,1.008717983419233355e-01
1.428571428571428603e+00,1.050586244065062902e-01
1.632653061224489832e+00,1.088252172324725431e-01
1.836734693877551061e+00,1.121881115330983919e-01
2.040816326530612290e+00,1.151638420216602038e-01
2.244897959183673741e+00,1.177689434114342765e-01
2.448979591836734748e+00,1.200199504156969632e-01
2.653061224489795755e+00,1.219333977477245756e-01
2.857142857142857206e+00,1.235258201207934670e-01
3.061224489795918657e+00,1.248137522481799905e-01
3.265306122448979664e+00,1.258137288431604162e-01
3.469387755102040671e+00,1.265422846190110973e-01
3.673469387755102122e+00,1.270159542890083870e-01
3.877551020408163573e+00,1.272512725664285971e-01
4.081632653061224580e+00,1.272647741645480945e-01
4.285714285714285587e+00,1.270729937966431355e-01
4.489795918367347483e+00,1.266924661759901705e-01
4.693877551020408490e+00,1.261397260158653721e-01
4.897959183673469497e+00,1.254313080295451910e-01
5.102040816326530503e+00,1.245837469303059386e-01
5.306122448979591510e+00,1.236135774314238989e-01
5.510204081632653406e+00,1.225373342461754528e-01
5.714285714285714413e+00,1.213715520878369120e-01
5.918367346938775420e+00,1.201327656696846297e-01
6.122448979591837315e+00,1.188375097049949175e-01
6.326530612244898322e+00,1.175023189070440455e-01
6.530612244897959329e+00,1.161437279891084778e-01
6.734693877551020336e+00,1.147782716644644568e-01
6.938775510204081343e+00,1.134224846463882941e-01
7.142857142857143238e+00,1.120929016481563983e-01
7.346938775510204245e+00,1.108060573830450396e-01
7.551020408163265252e+00,1.095784865643305434e-01
7.755102040816327147e+00,1.084267239052893184e-01
7.959183673469388154e+00,1.073673041191976207e-01
8.163265306122449161e+00,1.064167619193318454e-01
8.367346938775510168e+00,1.055916320189682067e-01
8.571428571428571175e+00,1.049084491313831691e-01
8.775510204081632182e+00,1.043837479698530302e-01
8.979591836734694965e+00,1.040340632476540600e-01
9.183673469387755972e+00,1.038759296780625424e-01
9.387755102040816979e+00,1.039258819743550388e-01
9.591836734693877986e+00,1.042004548498076943e-01
9.795918367346938993e+00,1.047161830176967651e-01
1.000000000000000000e+01,1.054896011912988540e-01
