# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
3.234216468505859282e-02,4.743346230213037716e-03,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.334200726318359675e-02,4.701646496025216858e-03,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.038980993041992429e-02,4.772470641780948708e-03,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
5.923987888183593342e-02,4.756283754573815796e-03,5.000000000000000000e-01,3.000000000000000000e+00,0.000000000000000000e+00
6.112943358154296347e-02,4.762113881023918860e-03,5.000000000000000000e-01,4.000000000000000000e+00,0.000000000000000000e+00
6.573324885253906125e-02,4.787386374924052120e-03,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00
6.119677940063476818e-02,4.768051492941413963e-03,5.000000000000000000e-01,6.000000000000000000e+00,0.000000000000000000e+00
5.831523359985351512e-02,4.793074295494240654e-03,5.000000000000000000e-01,7.000000000000000000e+00,0.000000000000000000e+00
5.509487531738281596e-02,4.735518222815443372e-03,5.000000000000000000e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.447606732788086437e-02,4.737954118462164507e-03,5.000000000000000000e-01,9.000000000000000000e+00,0.000000000000000000e+00
5.423608317871093931e-02,4.764244197950671424e-03,5.000000000000000000e-01,1.000000000000000000e+01,0.000000000000000000e+00
7.128368754882813407e-02,9.436394507435705292e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.396792773437499802e-02,9.694117553141793145e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.155837016601562461e-01,9.528808616747340421e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.166411264892578126e-01,9.549132650727711405e-03,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.311622223388672070e-01,9.477722955598795462e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.305500812500000052e-01,9.487253786258531552e-03,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.180629055175781150e-01,9.646000069421154649e-03,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.149437829345703183e-01,9.691304042124843088e-03,1.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.082457542968749964e-01,9.657304994085600530e-03,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
9.435100598144531558e-02,9.674723288345867672e-03,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
1.109213884033203035e-01,9.621496344381095037e-03,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
