# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
5.556572216796874797e-02,9.374653187071042837e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.725233781738282235e-02,9.429817794392149344e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.121963833251952980e-01,9.704291476470495309e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.228991990722656247e-01,9.483423502353316437e-03,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.259355493652343783e-01,9.590212890274929167e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.290444496337890823e-01,9.538912586816914591e-03,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.198703369384765544e-01,9.465122108654050459e-03,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.134084660156250146e-01,9.600510863495049368e-03,1.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.009089642822265653e-01,9.604794341647151373e-03,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
1.085058237060546882e-01,9.751916037769739823e-03,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
1.012185921874999978e-01,9.459948078021399379e-03,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.008287283691406133e-01,9.631799730135833654e-03,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00
9.187016503906250686e-02,9.423616179935857123e-03,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00
9.023731730957031127e-02,9.764273200544683687e-03,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00
8.848805935058592920e-02,9.510116959725386718e-03,1.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00
8.096841804199217396e-02,9.571287584988397504e-03,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00
7.804798510742187723e-02,9.686652352643964833e-03,1.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00
8.277998063964843445e-02,9.646505426972302663e-03,1.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00
8.399589091796874629e-02,9.751491726784217162e-03,1.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00
7.363080183105469301e-02,9.441629943874423059e-03,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00
7.939815493164062432e-02,9.455901522804266088e-03,1.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
7.556970888671873943e-02,9.429457568709959797e-03,1.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
7.409430493164062548e-02,9.586417578688326280e-03,1.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00
7.453818071289061709e-02,9.678728425165011862e-03,1.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
8.330642619628905732e-02,9.643457407480363064e-03,1.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00
7.240484006347655543e-02,9.555117355445537711e-03,1.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
