# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
6.077385493164062791e-02,9.583050592001245843e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.763410527343750367e-02,9.401126759340360656e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.534878144531249877e-02,9.482059635519422824e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.804000646972655830e-02,9.576136570392818764e-03,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.726276306152344620e-02,9.697536443579832244e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
8.392593537597656250e-02,9.580413684584704326e-03,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
7.684866987304686536e-02,9.678374904191534150e-03,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
9.032333002929687771e-02,9.620868558662216616e-03,1.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
8.417501606445312867e-02,9.533890898560923310e-03,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
7.559081813964843577e-02,9.550911231158401918e-03,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
8.462340805664061993e-02,9.511407184217470639e-03,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
7.437883977050781248e-02,9.526186922472645868e-03,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00
7.546252753906250443e-02,9.387117953814614474e-03,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00
8.080747519531250589e-02,9.572061372423149375e-03,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00
8.181936025390626477e-02,9.522691887762163923e-03,1.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00
7.183437951660155696e-02,9.508760697274250273e-03,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00
7.771547082519530969e-02,9.556801237352271702e-03,1.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00
7.794662333984375691e-02,9.606954239081087407e-03,1.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00
7.944608828125000743e-02,9.599515053769193396e-03,1.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00
6.657490725097656159e-02,9.420895823113159540e-03,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00
7.546536044921875463e-02,9.529519702459476188e-03,1.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
6.635210849609374240e-02,9.557001446952264126e-03,1.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
7.005758601074218994e-02,9.491559072133601282e-03,1.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00
6.600105231933593719e-02,9.513598707341273941e-03,1.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
6.889542592773437168e-02,9.577797629647910940e-03,1.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00
7.376836596679686719e-02,9.516792552282582127e-03,1.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
