# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
3.250585709890978225e-02,1.638150681470451620e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02
6.563368184667106586e-02,1.619512685737778748e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02
1.026442636297074384e-01,1.652362699048348996e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02
1.130680988225665623e-01,1.621305656916818827e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02
1.044723410714012007e-01,1.641262272251049065e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02
1.101457571042765704e-01,1.628141739103035335e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02
1.217039327724408065e-01,1.640705985506268547e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02
4.683636756125797440e-02,1.665448651786361964e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01
7.417363513650791773e-02,1.642916315381098141e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
8.920448526339397333e-02,1.653639516187490818e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
1.034195082255504883e-01,1.642592202893439560e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.094607806893630464e-01,1.646226791449267868e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.790982993053852501e-02,1.682666842441327137e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
1.115484028555109169e-01,1.643839216766388930e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
4.160078000414009491e-02,1.642620129513325256e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
7.800897546230987911e-02,1.664589813644553468e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
8.217778085515824171e-02,1.661738413512825821e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
1.091876630399365306e-01,1.644309824317315843e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.116445439481875829e-01,1.629748043575032432e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
1.094591990462463194e-01,1.617065354436604194e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.984665788495154792e-02,1.629350591785900387e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
