# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
2.365944503170234331e-02,1.623783237244407276e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02
2.892827117291002503e-02,1.630411673547296075e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02
6.052219966630121434e-02,1.622137600982970912e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02
5.811908815513064375e-02,1.623986962992987962e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02
6.375779764551645079e-02,1.647342748957490027e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02
6.189841473909777486e-02,1.625493222710352667e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02
7.267060218638832225e-02,1.655833745274869553e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02
3.247433875985188123e-02,1.642099387461234961e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01
4.388394359704674008e-02,1.633089050969233416e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
6.709884760354055400e-02,1.621873495766773879e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
6.562985454106354255e-02,1.649617440641530305e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
5.982807336869019887e-02,1.656021488876021144e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
7.064201101915174030e-02,1.662650683720112016e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
6.180531749781496137e-02,1.659517615436173488e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
2.678546843374325637e-02,1.634329384532768811e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
5.133447517192868403e-02,1.620781900282851351e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
5.924427491432317922e-02,1.637838948682061521e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
5.901583332215255134e-02,1.656842962404524860e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.014683728877883578e-02,1.650768795478972303e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
5.162088063607857269e-02,1.636084251907797549e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
5.364618668635764281e-02,1.643907149635282991e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
2.544843289990186830e-02,1.637523440537519068e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02
5.787247881079796152e-02,1.611926499772056709e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02
6.700752822831054778e-02,1.665193131837456458e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02
9.403239331605740825e-02,1.625185391743222060e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02
1.013987619027539311e-01,1.638818222122493881e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02
8.702870281545174724e-02,1.643058186520176406e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02
9.060281962056856986e-02,1.647008180699187363e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02
3.288088764643646439e-02,1.633487911932933467e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01
4.890537634073693907e-02,1.645784160968979254e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
7.462081415028522235e-02,1.645825718718257891e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
9.308814219286679070e-02,1.644669688431447951e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
8.763188481354269865e-02,1.671798297855660309e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
