# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeprefactor
9.996000000000000441e+00,8.621428368222288086e-01,1.906651859578633798e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.142471682032187630e-01,6.082201715688445760e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.699218624949979883e+00,2.627268369305121171e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.880291991796718687e+00,3.229878317424366568e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,3.036642135369772566e-01,5.899782551071174053e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.033366413753001201e+00,1.620397514157239510e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.061054759403761594e+00,1.466720622351488576e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.859249205932372861e+00,2.145037803897278592e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.483871453854979205e-01,5.622837055812966549e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.025383662840136045e+00,1.277582634932132762e-02,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.464319657550519738e-01,5.498678015690695170e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,1.757138123999599788e+00,2.677435326607124563e-02,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.290157819963923091e-01,5.338348555377494566e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,9.405814325730290637e-01,1.970817641832011205e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.552787977691076460e+00,3.872553962572034686e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.613533944827931332e-01,2.109723424471386666e-02,4.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,3.070634046587384924e-01,5.455242891226940241e-03,1.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,1.430155124549819856e+00,2.475504267463204955e-02,8.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,7.262344875450179593e-01,2.069429571835752074e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.833290733285501739e-01,5.491196798254792399e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.173527473489395678e+00,4.466809938152541126e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.007341680422168873e+00,3.360819510705489316e-02,8.000000000000000000e+00,3.500000000000000000e+00
9.996000000000000441e+00,2.606023082084396592e-01,5.569969090331621658e-03,1.000000000000000000e+00,3.500000000000000000e+00
9.996000000000000441e+00,6.538904233568427760e-01,2.170809597204322386e-02,4.000000000000000000e+00,3.500000000000000000e+00
9.996000000000000441e+00,5.689606498849539840e-01,2.103760641508210794e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,8.500966449079631060e-01,4.633723806055702055e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.430101230922056266e-01,5.582252740585863689e-03,1.000000000000000000e+00,4.000000000000000000e+00
