# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.097879347826087093e+00,3.141156062248742775e-01
6.899999999999999467e-01,1.217341213768116104e+00,1.685173538202894838e-01
1.034999999999999920e+00,1.285294142512077409e+00,1.299505771159036038e-01
1.379999999999999893e+00,1.291237817028985768e+00,1.193148191989348156e-01
1.721999999999999975e+00,1.316242414343786304e+00,9.060248264630658965e-02
2.067000000000000171e+00,1.366368226898887261e+00,7.969708069623208935e-02
2.411999999999999922e+00,1.365934649668325118e+00,7.716734626788114559e-02
2.757000000000000117e+00,1.383816829887558830e+00,6.292432219511852332e-02
3.101999999999999869e+00,1.397546139587363179e+00,4.753537172016152057e-02
3.447000000000000064e+00,1.393691815346678187e+00,5.874805902800140506e-02
3.791999999999999815e+00,1.410097409018987502e+00,5.636644183758136861e-02
4.136999999999999567e+00,1.441360844210781034e+00,5.418441495789077383e-02
4.482000000000000206e+00,1.429429495760821123e+00,4.788139674297613863e-02
4.826999999999999957e+00,1.414372242075823571e+00,4.440956902195917350e-02
5.168999999999999595e+00,1.396694065583285127e+00,4.133619321616394809e-02
5.514000000000000234e+00,1.401580703663402261e+00,4.415201367459383602e-02
5.858999999999999986e+00,1.376376674773852393e+00,4.592416411226010742e-02
6.203999999999999737e+00,1.394584904900064481e+00,4.113205475952422252e-02
6.549000000000000377e+00,1.423703208505115114e+00,3.851532177720522199e-02
6.894000000000000128e+00,1.442482793008413200e+00,3.673663910846855507e-02
7.238999999999999879e+00,1.446675594004696919e+00,3.854962410653919869e-02
7.583999999999999631e+00,1.435694191719409263e+00,3.689832883695170346e-02
7.929000000000000270e+00,1.438832056375331181e+00,3.562390386217285237e-02
8.273999999999999133e+00,1.433941337321730902e+00,3.286796440528367419e-02
8.615999999999999659e+00,1.413997308785979623e+00,3.241629805771673728e-02
8.961000000000000298e+00,1.418911533311014272e+00,3.319299201048664383e-02
9.305999999999999162e+00,1.427468024661509016e+00,3.285045659011370800e-02
9.650999999999999801e+00,1.425374650295306189e+00,2.744450507129404804e-02
9.996000000000000441e+00,1.430155124549819856e+00,2.475504267463204955e-02
