# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,-2.013540511981580516e-02,0.000000000000000000e+00
2.470278535103650856e-03,-7.263636773092976839e-02,0.000000000000000000e+00
4.392845456035934966e-03,-1.666314867524305021e-01,2.500000000000000000e-01
7.811706625951745156e-03,-2.974633737953858437e-01,1.000000000000000000e+00
1.389139705019461560e-02,-4.433788244492442576e-01,1.000000000000000000e+00
2.470278535103651030e-02,-5.616626566313139834e-01,1.000000000000000000e+00
4.392845456035934792e-02,-6.492756696261535732e-01,1.500000000000000000e+00
7.811706625951746197e-02,-7.147438050195864534e-01,1.500000000000000000e+00
1.389139705019461490e-01,-7.814733634684996044e-01,1.500000000000000000e+00
2.470278535103651030e-01,-8.611747323889585859e-01,1.500000000000000000e+00
4.392845456035935348e-01,-9.462181201223576199e-01,1.750000000000000000e+00
7.811706625951745364e-01,-1.034306435198717455e+00,1.500000000000000000e+00
