# pos_1,concentration
1.389139705019461386e-03,1.205804887475383280e+00
2.470278535103650856e-03,7.345800782058988787e-01
4.392845456035934966e-03,9.532724645463126478e-01
7.811706625951745156e-03,1.107866635359583185e+00
1.389139705019461560e-02,1.045030902478665258e+00
2.470278535103651030e-02,1.039713341460657192e+00
4.392845456035934792e-02,9.628051891917756011e-01
7.811706625951746197e-02,1.027456960212516757e+00
1.389139705019461490e-01,9.927793573547319950e-01
2.470278535103651030e-01,9.837722431972846238e-01
4.392845456035935348e-01,1.002842632702720893e+00
7.811706625951745364e-01,1.004048810336370723e+00
