# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,-9.070170681124918310e-01,7.373268687217080647e-03
1.794000000000000039e+00,-8.859016038665926684e-01,7.933328275128314136e-03
2.684499999999999886e+00,-8.688271850645261640e-01,8.359980851220631670e-03
3.581500000000000128e+00,-8.547039131705482795e-01,8.719631435116627013e-03
4.478500000000000369e+00,-8.424989579786275051e-01,9.031731279025262404e-03
5.375499999999999723e+00,-8.312120241277382027e-01,9.308516243526262710e-03
6.272499999999999964e+00,-8.208594118503802495e-01,9.560292286757057084e-03
7.169500000000000206e+00,-8.116169651314383282e-01,9.794998302334082321e-03
8.060000000000000497e+00,-8.028584587537823669e-01,1.000445595252598928e-02
8.957000000000000739e+00,-7.944380110620562485e-01,1.019737492617083310e-02
9.853999999999999204e+00,-7.863992147180659531e-01,1.037056302065890445e-02
1.075099999999999945e+01,-7.785255106142630055e-01,1.052686085688851053e-02
1.165450000000000053e+01,-7.705813232021767600e-01,1.067096683922119475e-02
1.255150000000000077e+01,-7.629103196300449641e-01,1.080687418426764905e-02
1.344200000000000017e+01,-7.554497393523186277e-01,1.093202577170733145e-02
1.433900000000000041e+01,-7.479922118724728897e-01,1.104939350680519267e-02
1.523600000000000065e+01,-7.406891873576270102e-01,1.115702574620977376e-02
1.613299999999999912e+01,-7.335420469852944603e-01,1.125756729569073883e-02
1.703000000000000114e+01,-7.265201662035827290e-01,1.135018174751127422e-02
1.792699999999999960e+01,-7.195156551596412209e-01,1.143222277691995949e-02
1.881749999999999901e+01,-7.127868686545254517e-01,1.150853338070999092e-02
1.971450000000000102e+01,-7.061440873089801507e-01,1.158154472287539934e-02
2.061149999999999949e+01,-6.995932807823733723e-01,1.164893089582664555e-02
2.150850000000000151e+01,-6.930554364677811163e-01,1.170921732256102570e-02
2.240549999999999997e+01,-6.866461096941983699e-01,1.176562470383961216e-02
2.330249999999999844e+01,-6.803842704573320743e-01,1.181741397792473308e-02
2.419300000000000139e+01,-6.742863149182719562e-01,1.186504347942130173e-02
2.508999999999999986e+01,-6.682513381959364063e-01,1.190916406797555040e-02
2.598699999999999832e+01,-6.623321978516371056e-01,1.195038990902561570e-02
