# pos_1,average_velocity_axis
1.389139705019461386e-03,1.349193479267612183e-01
2.470278535103650856e-03,1.212769230769394496e-01
4.392845456035934966e-03,6.028181164628070021e-02
7.811706625951745156e-03,-2.087317554240195744e-02
1.389139705019461560e-02,-1.076725168035831959e-01
2.470278535103651030e-02,-1.722567749936183279e-01
4.392845456035934792e-02,-2.493939283986455480e-01
7.811706625951746197e-02,-3.310271828817167861e-01
1.389139705019461490e-01,-4.207692369463037485e-01
2.470278535103651030e-01,-5.159005628120405529e-01
4.392845456035935348e-01,-6.148813707436145970e-01
7.811706625951745364e-01,-7.086932389366137341e-01
