# time,average_velocity_axis_0_t_inf,95CLI,us,surftimeprefactor
2.598699999999999832e+01,1.098285105521958238e+00,4.696909030144170993e-03,1.000000000000000056e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.195615184553863619e+00,9.469774637224953606e-03,2.000000000000000111e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.794546562920392718e+00,4.216256075214807469e-02,8.000000000000000444e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.049414277877638524e+00,2.373178205578951091e-03,5.000000000000000278e-02,0.000000000000000000e+00
2.598699999999999832e+01,1.410659177675424480e+00,1.819570547620487713e-02,4.000000000000000222e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.136823772034621705e+00,3.576507610072729784e-03,1.000000000000000056e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.262705133735636531e+00,5.771671932564025921e-03,2.000000000000000111e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.077752807970153048e+00,1.851859974537706580e-03,5.000000000000000278e-02,2.500000000000000000e-01
2.598699999999999832e+01,1.478232759402507979e+00,8.720231713302689647e-03,4.000000000000000222e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.906512400627315307e+00,8.937344347191832419e-03,8.000000000000000444e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.091901308566860740e+00,1.741880677749753142e-03,5.000000000000000278e-02,5.000000000000000000e-01
2.598699999999999832e+01,1.494868689659866634e+00,5.832982469368364932e-03,4.000000000000000222e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.285311420994024623e+00,4.486916285663996445e-03,2.000000000000000111e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.894816489092269851e+00,4.969665331186016825e-03,8.000000000000000444e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.160896377493577658e+00,3.084906915297021875e-03,1.000000000000000056e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.499373070377477024e+00,3.873799414473770228e-03,4.000000000000000222e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.872454055128035089e+00,4.393771425053729501e-03,8.000000000000000444e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.103000455960699844e+00,1.651245070257325968e-03,5.000000000000000278e-02,7.500000000000000000e-01
2.598699999999999832e+01,1.294914117884975235e+00,3.827674617951563711e-03,2.000000000000000111e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.174491630057700853e+00,2.791164023947710626e-03,1.000000000000000056e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.296325153671473496e+00,3.466456937020198116e-03,2.000000000000000111e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.487406256471877519e+00,3.794502611753570488e-03,4.000000000000000222e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.180178964383001849e+00,2.572950374044982551e-03,1.000000000000000056e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.109627581158221910e+00,1.582775538768286085e-03,5.000000000000000278e-02,1.000000000000000000e+00
2.598699999999999832e+01,1.848551041611857793e+00,2.957748252813019278e-03,8.000000000000000444e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.179823399965546749e+00,2.561710274381049594e-03,1.000000000000000056e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.292754251776894403e+00,3.381996478792511241e-03,2.000000000000000111e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.827368774654203554e+00,3.055677385449991502e-03,8.000000000000000444e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.480365552316166289e+00,3.745219636644310773e-03,4.000000000000000222e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.111424493909584754e+00,1.560854948541156402e-03,5.000000000000000278e-02,1.250000000000000000e+00
2.598699999999999832e+01,1.796734649899518255e+00,4.079629920553115054e-03,8.000000000000000444e-01,1.500000000000000000e+00
