# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,1.204956790883691953e-01
2.470278535103651030e-02,2.710387994330583639e-01
4.392845456035934792e-02,9.271992657113888869e-01
7.811706625951746197e-02,1.149942420152074485e+00
1.389139705019461490e-01,1.128642860794391467e+00
2.470278535103651030e-01,9.667050513112412924e-01
4.392845456035935348e-01,9.589526652220531355e-01
7.811706625951745364e-01,1.061375426301852443e+00
