# pos_1,average_velocity_axis
1.389139705019461386e-03,nan
2.470278535103650856e-03,2.282307692307647684e-01
4.392845456035934966e-03,3.227252747252534748e-01
7.811706625951745156e-03,4.824253393665029477e-01
1.389139705019461560e-02,7.915765702187750330e-01
2.470278535103651030e-02,9.158764320785596214e-01
4.392845456035934792e-02,9.984987043755091385e-01
7.811706625951746197e-02,1.061860920522688101e+00
1.389139705019461490e-01,1.122159264814422963e+00
2.470278535103651030e-01,1.188299891853753509e+00
4.392845456035935348e-01,1.264404384707269902e+00
7.811706625951745364e-01,1.327344690392134208e+00
